npu_id,label,active_ms,compute_ms,request_count,completed_count,conditional_utilization
0,LL,842.9034864176085,831.1237529123407,3,2,0.9860248134038069
0,SL,0.0,0.0,0,0,
0,SS,157.09651358239148,25.40404523910729,2,2,0.16170979647988037
1,LL,963.0083232686659,950.1944645240512,4,3,0.9866939273160988
1,SL,0.0,0.0,0,0,
1,SS,36.99167673133411,26.582071198022277,3,3,0.7185960071797911
2,LL,841.8331055340896,816.5139210342786,6,5,0.9699237481475054
2,SL,122.76005761417127,102.1837949161818,2,2,0.8323863388639028
2,SS,35.40683685173917,9.424207671319891,1,1,0.26616915006506653
3,LL,1000.0,977.88710184108,4,3,0.9778871018410801
3,SL,0.0,0.0,0,0,
3,SS,0.0,0.0,0,0,
4,LL,941.9281314900345,930.6911556458988,5,4,0.9880702407450556
4,SL,0.0,0.0,0,0,
4,SS,58.0718685099655,18.848415342639782,2,2,0.3245704990430138
5,LL,786.0234811221167,759.09382110775,5,4,0.9657393695466677
5,SL,136.59062402042127,51.0918974580909,1,1,0.37405127785676046
5,SS,77.38589485746206,15.9798375677874,1,1,0.20649548082658783
6,LL,892.5128090110652,883.06064619733,4,3,0.9894094933783544
6,SL,72.14152091572919,51.0918974580909,1,1,0.7082176367999362
6,SS,35.34567007320561,9.424207671319891,1,1,0.2666297640361916
7,LL,976.1348186115417,972.7470682982032,4,3,0.9965294237550534
7,SL,0.0,0.0,0,0,
7,SS,23.865181388458268,15.9798375677874,1,1,0.6695879368222863
8,LL,884.3931168202034,866.2218571975761,4,3,0.9794534135589371
8,SL,115.60688317979657,51.0918974580909,1,1,0.4419451165258965
8,SS,0.0,0.0,0,0,
9,LL,911.5241528049607,907.5953435343836,3,2,0.9956898462224096
9,SL,0.0,0.0,0,0,
9,SS,88.47584719503925,18.848415342639782,2,2,0.21303458446789073
10,LL,817.1962399407696,808.2473776015793,4,3,0.9890493104326582
10,SL,116.62024038334266,102.1837949161818,2,2,0.8762097778249573
10,SS,66.18351967588774,25.40404523910729,2,2,0.383842463554603
11,LL,938.9459471052794,924.6538675312024,7,6,0.9847785917622428
11,SL,0.0,0.0,0,0,
11,SS,61.0540528947206,25.40404523910729,2,2,0.41609105431400445
12,LL,1000.0,996.874706423645,4,3,0.996874706423645
12,SL,0.0,0.0,0,0,
12,SS,0.0,0.0,0,0,
13,LL,885.9193294250497,876.4654693993434,2,1,0.9893287574706812
13,SL,0.0,0.0,0,0,
13,SS,114.08067057495032,15.9798375677874,1,1,0.14007489162932946
14,LL,984.0201624322126,980.3015106377647,4,3,0.9962209597562957
14,SL,0.0,0.0,0,0,
14,SS,15.9798375677874,15.9798375677874,1,1,1.0
15,LL,879.2922295335609,876.1561185312921,4,3,0.9964333689108883
15,SL,52.67346849935666,51.0918974580909,1,1,0.9699740479158862
15,SS,68.03430196708246,50.80809047821458,4,4,0.7468010842941761
16,LL,889.2880872745372,885.6815940790548,4,3,0.9959445164653723
16,SL,0.0,0.0,0,0,
16,SS,110.71191272546275,18.848415342639782,2,2,0.17024740047061634
17,LL,816.7419568040557,787.5004941444183,5,4,0.9641974280664356
17,SL,61.979467515639044,51.0918974580909,1,1,0.8243358567932045
17,SS,121.27857568030527,9.424207671319891,1,1,0.07770711041464112
18,LL,801.8609413233805,794.3025476045611,3,2,0.9905739345448786
18,SL,58.60111334594649,51.0918974580909,1,1,0.8718588187305316
18,SS,139.53794533067298,18.848415342639782,2,2,0.1350773461510656
19,LL,698.2884651251884,698.2884651251884,3,2,1.0
19,SL,205.38953955518923,102.1837949161818,2,2,0.4975121670630382
19,SS,96.32199531962237,9.424207671319891,1,1,0.09784066079661065
20,LL,969.2356050488647,964.986647853483,3,2,0.9956161771469718
20,SL,0.0,0.0,0,0,
20,SS,30.764394951135273,9.424207671319891,1,1,0.3063348941621918
21,LL,905.2767299096606,894.1725750824428,3,2,0.9877339663548781
21,SL,0.0,0.0,0,0,
21,SS,94.72327009033938,9.424207671319891,1,1,0.09949200088142908
22,LL,1000.0,1000.0,3,2,1.0
22,SL,0.0,0.0,0,0,
22,SS,0.0,0.0,0,0,
23,LL,918.664677065766,902.311774184082,5,4,0.9821992689063483
23,SL,58.01043787518802,51.0918974580909,1,1,0.880736283494659
23,SS,23.324885059045982,15.9798375677874,1,1,0.6850982342393157
24,LL,798.6193526599923,772.9411721819688,6,5,0.9678467840874427
24,SL,0.0,0.0,0,0,
24,SS,201.38064734000773,34.82825291042718,3,3,0.17294736793463444
25,LL,1000.0,1000.0,2,1,1.0
25,SL,0.0,0.0,0,0,
25,SS,0.0,0.0,0,0,
26,LL,852.6914791312261,845.0236228834708,4,3,0.9910074670201141
26,SL,67.23200553486981,51.0918974580909,1,1,0.7599341571268782
26,SS,80.07651533390413,18.848415342639782,2,2,0.23538006448014637
27,LL,961.1091197564986,953.9575039707036,5,4,0.9925589970599729
27,SL,0.0,0.0,0,0,
27,SS,38.89088024350144,25.40404523910729,2,2,0.6532134289594085
28,LL,1000.0,1000.0,3,2,1.0
28,SL,0.0,0.0,0,0,
28,SS,0.0,0.0,0,0,
29,LL,1000.0,997.0566005271435,4,3,0.9970566005271435
29,SL,0.0,0.0,0,0,
29,SS,0.0,0.0,0,0,
30,LL,854.6749123641794,846.6104255945497,3,2,0.9905642640810389
30,SL,0.0,0.0,0,0,
30,SS,145.32508763582064,39.02783088906472,3,3,0.268555357674148
31,LL,1000.0,943.8515279763019,4,3,0.9438515279763019
31,SL,0.0,0.0,0,0,
31,SS,0.0,0.0,0,0,
