npu_id,active_ms,compute_ms,warm_request_count,warm_completed_count,stall_ms,idle_ms,utilization
0,1000.0,856.527798151448,5,4,143.472201848552,0.0,0.856527798151448
1,1000.0,976.7765357220735,7,6,23.223464277926496,0.0,0.9767765357220735
2,1000.0,928.1219236217803,9,8,71.8780763782197,0.0,0.9281219236217803
3,1000.0,977.88710184108,4,3,22.11289815891996,0.0,0.9778871018410801
4,1000.0,949.5395709885386,7,6,50.46042901146143,0.0,0.9495395709885386
5,1000.0,826.1655561336283,7,6,173.83444386637166,0.0,0.8261655561336283
6,1000.0,943.5767513267408,6,5,56.423248673259195,0.0,0.9435767513267408
7,1000.0,988.7269058659906,5,4,11.273094134009398,0.0,0.9887269058659907
8,1000.0,917.313754655667,5,4,82.68624534433297,0.0,0.917313754655667
9,1000.0,926.4437588770234,5,4,73.55624112297664,0.0,0.9264437588770233
10,1000.0,935.8352177568684,8,7,64.16478224313164,0.0,0.9358352177568684
11,1000.0,950.0579127703097,9,8,49.94208722969029,0.0,0.9500579127703097
12,1000.0,996.874706423645,4,3,3.125293576355034,0.0,0.996874706423645
13,1000.0,892.4453069671308,3,2,107.55469303286918,0.0,0.8924453069671309
14,1000.0,996.2813482055521,5,4,3.718651794447851,0.0,0.9962813482055521
15,1000.0,978.0561064675976,9,8,21.9438935324024,0.0,0.9780561064675976
16,1000.0,904.5300094216946,6,5,95.46999057830544,0.0,0.9045300094216946
17,1000.0,848.0165992738291,7,6,151.98340072617088,0.0,0.8480165992738291
18,1000.0,864.2428604052918,6,5,135.75713959470818,0.0,0.8642428604052919
19,1000.0,809.8964677126901,6,5,190.10353228730992,0.0,0.8098964677126901
20,1000.0,974.4108555248029,4,3,25.589144475197145,0.0,0.9744108555248029
21,1000.0,903.5967827537627,4,3,96.40321724623732,0.0,0.9035967827537627
22,1000.0,1000.0,3,2,0.0,0.0,1.0
23,1000.0,969.3835092099603,7,6,30.616490790039734,0.0,0.9693835092099603
24,1000.0,807.769425092396,9,8,192.23057490760402,0.0,0.807769425092396
25,1000.0,1000.0,2,1,0.0,0.0,1.0
26,1000.0,914.9639356842015,7,6,85.03606431579851,0.0,0.9149639356842015
27,1000.0,979.3615492098108,7,6,20.638450790189154,0.0,0.9793615492098109
28,1000.0,1000.0,3,2,0.0,0.0,1.0
29,1000.0,997.0566005271435,4,3,2.9433994728565267,0.0,0.9970566005271435
30,1000.0,885.6382564836144,6,5,114.36174351638556,0.0,0.8856382564836145
31,1000.0,943.8515279763019,4,3,56.148472023698105,0.0,0.9438515279763019
