request_id,npu_id,input_order,profile_id,seq_len_k,nql,category,arrival_ms,admission_ms,completion_ms,layer_compute_ms,layer_kv_gib,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_conditional_utilization
6,0,6,P7,192,2048,LL,347.30624586318265,908.8262771733426,1453.2757663960128,68.05618615283375,0.255126953125,453.27576639601284,453.27576639601284,0.0,1.0
7,0,7,P1,32,128,SS,854.3621707212551,1453.2757663960128,1563.3153457397352,1.1780259589150035,0.0428009033203125,110.03957934372238,9.424207671319891,100.61537167240249,0.08564379950855865
8,0,8,P5,192,512,LL,895.0115230670459,1563.3153457397352,1708.9769741248433,17.12390630166978,0.25714111328125,145.6616283851081,136.991250413359,8.670377971749076,0.9404758956227932
9,0,9,P2,32,256,SS,1051.390670198493,1708.9769741248433,1756.0339083635124,1.9974796959734433,0.042633056640625,47.0569342386691,15.9798375677874,31.0770966708817,0.33958518178721353
10,0,10,P7,192,2048,LL,1079.5112389569974,1756.0339083635124,2303.592753119701,68.05618615283375,0.255126953125,243.9660916364876,240.85673610296885,3.1093555335187375,0.9872549684562242
1000006,1,6,P1,32,128,SS,664.8066570361394,972.2892420577444,1002.8903978930667,1.1780259589150035,0.0428009033203125,2.8903978930667336,1.1780259589149864,1.7123719341517472,0.40756532577772264
1000007,1,7,P1,32,128,SS,678.9222968657036,1002.8903978930667,1015.6241039618944,1.1780259589150035,0.0428009033203125,12.7337060688277,9.424207671319891,3.3094983975078094,0.7400993568078731
1000008,1,8,P5,192,512,LL,688.3450246299269,1015.6241039618944,1156.5888430159478,17.12390630166978,0.25714111328125,140.96473905405333,136.991250413359,3.9734886406943133,0.971812180355467
1000009,1,9,P2,32,256,SS,824.605540875751,1156.5888430159478,1177.9564157853874,1.9974796959734433,0.042633056640625,21.367572769439676,15.9798375677874,5.387735201652276,0.747854599126115
1000010,1,10,P6,192,1024,LL,846.5262991993096,1177.9564157853874,1453.8988800253114,34.100781654707006,0.2564697265625,275.942464239924,272.80625323765526,3.1362110022687375,0.9886345473832476
1000011,1,11,P5,192,512,LL,1198.2794329042242,1453.8988800253114,1596.594289540322,17.12390630166978,0.25714111328125,142.69540951501062,136.991250413359,5.704159101651612,0.9600256299691857
1000012,1,12,P7,192,2048,LL,1296.7137247701703,1596.594289540322,2141.043778762992,68.05618615283375,0.255126953125,403.40571045967795,403.40571045967795,0.0,1.0
2000001,2,1,P7,192,2048,LL,0,571.4761615859512,1115.9256508086214,68.05618615283375,0.255126953125,115.92565080862141,115.92565080862141,0.0,1.0
2000002,2,2,P5,192,512,LL,0,1115.9256508086214,1252.9169012219804,17.12390630166978,0.25714111328125,136.991250413359,136.991250413359,0.0,1.0
2000003,2,3,P1,32,128,SS,0,1252.9169012219804,1288.3237380737196,1.1780259589150035,0.0428009033203125,35.40683685173917,9.424207671319891,25.98262918041928,0.26616915006506653
2000004,2,4,P5,192,512,LL,9.422727764223277,1288.3237380737196,1432.021922493623,17.12390630166978,0.25714111328125,143.69818441990333,136.991250413359,6.706934006544316,0.9533262439353732
2000005,2,5,P5,192,512,LL,195.58925776912545,1432.021922493623,1574.7923082358104,17.12390630166978,0.25714111328125,142.7703857421875,136.991250413359,5.779135328828488,0.9595214700948952
2000006,2,6,P4,96,512,LL,297.3448766537925,1574.7923082358104,1658.6940472004728,9.070841799535495,0.12823486328125,83.9017389646624,72.56673439628321,11.33500456837919,0.8649014346037184
2000007,2,7,P3,64,512,SL,359.77967400015706,1658.6940472004728,1722.077946975951,6.386487182261469,0.08526611328125,63.383899775478085,51.0918974580909,12.292002317387187,0.8060705895199161
2000008,2,8,P3,64,512,SL,400.4474781627186,1722.077946975951,1781.454104814644,6.386487182261469,0.08526611328125,59.37615783869319,51.0918974580909,8.28426038060229,0.8604783353764976
2000009,2,9,P7,192,2048,LL,425.4127862534381,1781.454104814644,2327.4017046333724,68.05618615283375,0.255126953125,218.5458951853559,217.04778458929695,1.4981105960589503,0.993145098448139
3000004,3,4,P7,192,2048,LL,49.9798210261608,774.553704763886,1323.9068144228827,68.05618615283375,0.255126953125,323.9068144228827,323.9068144228827,0.0,1.0
3000005,3,5,P4,96,512,LL,563.0448875458821,1323.9068144228827,1409.41235469559,9.070841799535495,0.12823486328125,85.50554027270732,72.56673439628321,12.938805876424112,0.8486787425100444
3000006,3,6,P7,192,2048,LL,619.421338385876,1409.41235469559,1963.0359362007562,68.05618615283375,0.255126953125,553.6235815051662,544.4494892226703,9.174092282495849,0.9834290073815972
3000007,3,7,P7,192,2048,LL,1229.5798647528745,1963.0359362007562,2507.485425423425,68.05618615283375,0.255126953125,36.96406379924383,36.96406379924383,0.0,1.0
4000004,4,4,P7,192,2048,LL,126.75168000333765,598.0153079109252,1142.4647971335955,68.05618615283375,0.255126953125,142.46479713359554,142.46479713359554,0.0,1.0
4000005,4,5,P4,96,512,LL,625.6888054823144,1142.4647971335955,1222.2497791096525,9.070841799535495,0.12823486328125,79.784981976057,72.56673439628321,7.218247579773788,0.9095287433675182
4000006,4,6,P1,32,128,SS,722.880675019035,1222.2497791096525,1245.463149182118,1.1780259589150035,0.0428009033203125,23.213370072465523,9.424207671319891,13.789162401145632,0.4059818820748647
4000007,4,7,P1,32,128,SS,735.4340610286824,1245.463149182118,1280.321647619618,1.1780259589150035,0.0428009033203125,34.858498437499975,9.424207671319891,25.434290766180084,0.2703560994807953
4000008,4,8,P5,192,512,LL,749.5558514638369,1280.321647619618,1421.331626297339,17.12390630166978,0.25714111328125,141.00997867772094,136.991250413359,4.0187282643619255,0.9715003980424197
4000009,4,9,P6,192,1024,LL,930.9372103195448,1421.331626297339,1694.1378795349942,34.100781654707006,0.2564697265625,272.80625323765526,272.80625323765526,0.0,1.0
4000010,4,10,P7,192,2048,LL,1238.9287852500152,1694.1378795349942,2238.587368757664,68.05618615283375,0.255126953125,305.8621204650058,305.8621204650058,0.0,1.0
5000001,5,1,P7,192,2048,LL,0,571.4593769179825,1115.9088661406527,68.05618615283375,0.255126953125,115.90886614065266,115.90886614065266,0.0,1.0
5000002,5,2,P5,192,512,LL,0,1115.9088661406527,1252.9001165540117,17.12390630166978,0.25714111328125,136.991250413359,136.991250413359,0.0,1.0
5000003,5,3,P4,96,512,LL,0,1252.9001165540117,1327.647880831939,9.070841799535495,0.12823486328125,74.74776427792722,72.56673439628321,2.181029881644008,0.9708214700103337
5000004,5,4,P4,96,512,LL,97.01350197460428,1327.647880831939,1420.5070202229338,9.070841799535495,0.12823486328125,92.85913939099487,72.56673439628321,20.29240499471166,0.7814711063682382
5000005,5,5,P3,64,512,SL,186.1665300049022,1420.5070202229338,1557.097644243355,6.386487182261469,0.08526611328125,136.59062402042127,51.0918974580909,85.49872656233038,0.37405127785676046
5000006,5,6,P2,32,256,SS,208.13649317318257,1557.097644243355,1634.483539100817,1.9974796959734433,0.042633056640625,77.38589485746206,15.9798375677874,61.40605728967466,0.20649548082658783
5000007,5,7,P7,192,2048,LL,219.04766749024006,1634.483539100817,2183.389253461498,68.05618615283375,0.255126953125,365.5164608991829,361.06023576117195,4.45622513801095,0.9878084146277613
6000004,6,4,P7,192,2048,LL,18.771648261363865,704.2904738841504,1254.6691232983655,68.05618615283375,0.255126953125,254.66912329836555,254.66912329836555,0.0,1.0
