npu_id,label,active_ms,compute_ms,request_count,completed_count,conditional_utilization
0,L,0.0,0.0,0,0,
0,S,1000.0,448.63786660264896,107,106,0.448637866602649
1,L,0.0,0.0,0,0,
1,S,1000.0,445.7415952058893,107,106,0.44574159520588935
2,L,0.0,0.0,0,0,
2,S,1000.0,447.2040219465814,107,106,0.44720402194658143
3,L,0.0,0.0,0,0,
3,S,1000.0,443.15143858308306,106,105,0.4431514385830831
4,L,0.0,0.0,0,0,
4,S,1000.0,445.5978760653077,107,106,0.44559787606530765
5,L,0.0,0.0,0,0,
5,S,1000.0,448.1953868991752,107,106,0.4481953868991752
6,L,0.0,0.0,0,0,
6,S,1000.0,447.8709828068527,106,105,0.44787098280685267
7,L,0.0,0.0,0,0,
7,S,1000.0,448.3404046826597,107,106,0.44834040468265973
8,L,0.0,0.0,0,0,
8,S,1000.0,444.38834826904804,106,105,0.44438834826904805
9,L,0.0,0.0,0,0,
9,S,1000.0,444.12203073147475,107,106,0.44412203073147477
10,L,0.0,0.0,0,0,
10,S,1000.0,444.5736155090058,107,106,0.44457361550900576
11,L,0.0,0.0,0,0,
11,S,1000.0,448.31220232707574,107,106,0.44831220232707575
12,L,0.0,0.0,0,0,
12,S,1000.0,447.3057008797191,107,106,0.4473057008797191
13,L,0.0,0.0,0,0,
13,S,1000.0,444.6595449754991,106,105,0.4446595449754991
14,L,0.0,0.0,0,0,
14,S,1000.0,447.0856317199009,107,106,0.4470856317199009
15,L,0.0,0.0,0,0,
15,S,1000.0,446.71278829473545,107,106,0.44671278829473543
16,L,0.0,0.0,0,0,
16,S,1000.0,445.6265911081848,106,105,0.4456265911081848
17,L,0.0,0.0,0,0,
17,S,1000.0,445.90872579166535,106,105,0.44590872579166535
18,L,0.0,0.0,0,0,
18,S,1000.0,446.2681389729685,106,105,0.44626813897296846
19,L,0.0,0.0,0,0,
19,S,1000.0,445.80624206948255,107,106,0.44580624206948255
20,L,0.0,0.0,0,0,
20,S,1000.0,449.54574166111297,107,106,0.449545741661113
21,L,0.0,0.0,0,0,
21,S,1000.0,449.15810010872474,107,106,0.44915810010872476
22,L,0.0,0.0,0,0,
22,S,1000.0,445.19104521489317,106,105,0.44519104521489317
23,L,1000.0,1000.0,8,7,1.0
23,S,0.0,0.0,0,0,
24,L,1000.0,1000.0,8,7,1.0
24,S,0.0,0.0,0,0,
25,L,1000.0,1000.0,8,7,1.0
25,S,0.0,0.0,0,0,
26,L,1000.0,1000.0,8,7,1.0
26,S,0.0,0.0,0,0,
27,L,1000.0,1000.0,8,7,1.0
27,S,0.0,0.0,0,0,
28,L,1000.0,1000.0,8,7,1.0
28,S,0.0,0.0,0,0,
29,L,1000.0,1000.0,8,7,1.0
29,S,0.0,0.0,0,0,
30,L,1000.0,1000.0,8,7,1.0
30,S,0.0,0.0,0,0,
31,L,1000.0,1000.0,8,7,1.0
31,S,0.0,0.0,0,0,
