npu_id,active_ms,compute_ms,warm_request_count,warm_completed_count,stall_ms,idle_ms,utilization
0,1000.0,503.8518349633275,120,119,496.1481650366725,0.0,0.5038518349633275
1,1000.0,508.0243743306505,121,120,491.9756256693495,0.0,0.5080243743306505
2,1000.0,499.579443064551,119,118,500.420556935449,0.0,0.499579443064551
3,1000.0,498.2431512892804,119,118,501.7568487107196,0.0,0.4982431512892804
4,1000.0,506.32674416314376,120,119,493.67325583685624,0.0,0.5063267441631437
5,1000.0,502.648392248188,120,119,497.351607751812,0.0,0.502648392248188
6,1000.0,503.3293241090205,119,118,496.6706758909795,0.0,0.5033293241090205
7,1000.0,502.36465520892966,120,119,497.63534479107034,0.0,0.5023646552089297
8,1000.0,501.290517253246,120,119,498.709482746754,0.0,0.501290517253246
9,1000.0,500.59902098823954,120,119,499.40097901176046,0.0,0.5005990209882395
10,1000.0,501.0505197391408,119,118,498.9494802608592,0.0,0.5010505197391408
11,1000.0,505.12428555931047,121,120,494.87571444068953,0.0,0.5051242855593104
12,1000.0,507.1277558319489,121,120,492.8722441680511,0.0,0.5071277558319489
13,1000.0,494.8242632689146,118,117,505.1757367310854,0.0,0.4948242632689146
14,1000.0,502.4148145345607,119,118,497.5851854654393,0.0,0.5024148145345607
15,1000.0,502.3282700760101,120,119,497.6717299239899,0.0,0.5023282700760101
16,1000.0,501.7002384824714,120,119,498.2997615175286,0.0,0.5017002384824714
17,1000.0,502.4850921068637,120,119,497.5149078931363,0.0,0.5024850921068637
18,1000.0,508.5347034587305,121,120,491.4652965412695,0.0,0.5085347034587305
19,1000.0,510.6891050849349,121,120,489.3108949150651,0.0,0.5106891050849349
20,1000.0,503.8389216152186,120,119,496.1610783847814,0.0,0.5038389216152186
21,1000.0,1000.0,8,7,0.0,0.0,1.0
22,1000.0,1000.0,8,7,0.0,0.0,1.0
23,1000.0,1000.0,8,7,0.0,0.0,1.0
24,1000.0,1000.0,8,7,0.0,0.0,1.0
25,1000.0,1000.0,8,7,0.0,0.0,1.0
26,1000.0,1000.0,8,7,0.0,0.0,1.0
27,1000.0,1000.0,8,7,0.0,0.0,1.0
28,1000.0,1000.0,8,7,0.0,0.0,1.0
29,1000.0,1000.0,8,7,0.0,0.0,1.0
30,1000.0,1000.0,8,7,0.0,0.0,1.0
31,1000.0,1000.0,8,7,0.0,0.0,1.0
