strategy,request_id,npu,role,layer,io_start_ms,io_ready_ms,read_latency_ms,C_ms,compute_start_ms,compute_end_ms,stall_start_ms,stall_end_ms,exposed_stall_ms,prior_unready_A_layers,prior_unready_A_layer0,prior_unready_A_internal
asu_baseline,5000006,5,B,7,2012.1688592727385,2014.897783578626,2.728924305887631,17.147176718561678,2029.3160359913002,2046.4632127098619,2029.3160359913002,2029.3160359913002,0,0,0,0
asu_baseline,1000006,1,B,7,2015.413041107558,2020.2341035785103,4.821062470952256,17.147176718561678,2032.5602178261197,2049.7073945446814,2032.5602178261197,2032.5602178261197,0,0,0,0
asu_baseline,2000006,2,B,6,2005.3585939890213,2007.3559828598559,1.997388870834584,17.147176718561678,2022.505770707583,2039.6529474261447,2022.505770707583,2022.505770707583,0,0,0,0
asu_baseline,2000006,2,B,7,2022.505770707583,2024.5031595784176,1.997388870834584,17.147176718561678,2039.6529474261447,2056.8001241447064,2039.6529474261447,2039.6529474261447,0,0,0,0
asu_baseline,6000006,6,B,6,2012.4513235890463,2015.965047578603,3.513723989556638,17.147176718561678,2029.598500307608,2046.7456770261697,2029.598500307608,2029.598500307608,0,0,0,0
asu_baseline,6000006,6,B,7,2029.598500307608,2033.1122242971646,3.513723989556638,17.147176718561678,2046.7456770261697,2063.8928537447314,2046.7456770261697,2046.7456770261697,0,0,0,0
asu_baseline,4000006,4,B,5,2002.3968764705096,2005.2214548599022,2.8245783893926273,17.147176718561678,2019.5440531890713,2036.691229907633,2019.5440531890713,2019.5440531890713,0,0,0,0
asu_baseline,4000006,4,B,6,2019.5440531890713,2022.368631578464,2.8245783893926273,17.147176718561678,2036.691229907633,2053.8384066261947,2036.691229907633,2036.691229907633,0,0,0,0
asu_baseline,4000006,4,B,7,2036.691229907633,2039.5158082970256,2.8245783893926273,17.147176718561678,2053.8384066261947,2070.9855833447564,2053.8384066261947,2053.8384066261947,0,0,0,0
asu_baseline,6,0,B,5,2009.489606070404,2010.6287275787188,1.1391215083147017,17.147176718561678,2026.6367827889658,2043.7839595075275,2026.6367827889658,2026.6367827889658,0,0,0,0
asu_baseline,6,0,B,6,2026.6367827889658,2027.7759042972805,1.1391215083147017,17.147176718561678,2043.7839595075275,2060.931136226089,2043.7839595075275,2043.7839595075275,0,0,0,0
asu_baseline,6,0,B,7,2043.7839595075275,2044.9230810158422,1.1391215083147017,17.147176718561678,2060.931136226089,2078.078312944651,2060.931136226089,2060.931136226089,0,0,0,0
asu_baseline,7000006,7,B,5,2016.5823356702501,2021.301367578487,4.719031908236957,17.147176718561678,2033.7295123888118,2050.8766891073733,2033.7295123888118,2033.7295123888118,0,0,0,0
