group,strategy,window,expected_case_count,completed_case_count,group_complete,all_windows_available,cases,weighting,start_ms,end_ms_min,end_ms_max,U_percent_mean,U_percent_min,U_percent_max,SLO_1p5_percent_mean,admitted_count_total,passed_count_total,every_case_all16active,every_case_all16computeAB,every_case_before_first_finish,every_case_nominal_under40,nominal_peak_GB_s_max
aligned,asu_baseline,before_first_finish,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,0.0,95938.89875153887,95938.89875153887,84.744354899651,84.744354899651,84.744354899651,50.04266211604096,4688,2346,True,True,True,True,39.83448536228155
aligned,asu_baseline,extra_2_90,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,90000.0,90000.0,84.85057484396934,84.85057484396934,84.85057484396934,50.72026022304833,4304,2183,True,True,True,True,39.83448536228155
aligned,asu_baseline,extra_60_90,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,60000.0,90000.0,90000.0,84.83375520958597,84.83375520958597,84.83375520958597,50.34153005464481,1464,737,True,True,True,True,39.8325392507745
aligned,asu_baseline,full,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,0.0,96067.97979032132,96067.97979032132,84.70296360188414,84.70296360188414,84.70296360188414,50.04266211604096,4688,2346,False,True,False,True,39.83448536228155
aligned,asu_baseline,late_20_40,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,20000.0,40000.0,40000.0,84.70708543691522,84.70708543691522,84.70708543691522,48.872950819672134,976,477,True,True,True,True,39.83253925077438
aligned,asu_baseline,late_20_60,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,20000.0,60000.0,60000.0,84.76871435205507,84.76871435205507,84.76871435205507,49.53893442622951,1952,967,True,True,True,True,39.83253925077442
aligned,asu_baseline,late_40_60,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,40000.0,60000.0,60000.0,84.83034326719489,84.83034326719489,84.83034326719489,50.204918032786885,976,490,True,True,True,True,39.83253925077442
aligned,asu_baseline,late_4_10,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,4000.0,10000.0,10000.0,85.03046135833138,85.03046135833138,85.03046135833138,54.513888888888886,288,157,True,True,True,True,39.83253925077437
aligned,asu_baseline,long_2_60,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,60000.0,60000.0,84.85927465485727,84.85927465485727,84.85927465485727,50.91549295774648,2840,1446,True,True,True,True,39.83448536228155
aligned,asu_baseline,post_start_before_first_finish,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,95938.89875153887,95938.89875153887,84.8139917391536,84.8139917391536,84.8139917391536,50.218150087260035,4584,2302,True,True,True,True,39.83448536228155
aligned,asu_baseline,steady_2_10,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,10000.0,10000.0,85.45807459945387,85.45807459945387,85.45807459945387,60.75,400,243,True,True,True,True,39.83448536228155
aligned,asu_baseline,warm_2_4,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,4000.0,4000.0,86.74091432282128,86.74091432282128,86.74091432282128,76.78571428571429,112,86,True,True,True,True,39.83448536228155
aligned,once,before_first_finish,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,0.0,81480.519031184,81480.519031184,99.70758895997915,99.70758895997915,99.70758895997915,100.0,4686,4686,True,True,True,True,39.833025778651155
aligned,once,extra_2_90,1,1,True,False,"[""full_input_aligned_A10B45""]",one native run,,,,,,,,,,,,,,
aligned,once,extra_60_90,1,1,True,False,"[""full_input_aligned_A10B45""]",one native run,,,,,,,,,,,,,,
aligned,once,full,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,0.0,81800.47368271578,81800.47368271578,99.47671729932337,99.47671729932337,99.47671729932337,100.0,4688,4688,False,True,False,True,39.833025778651155
aligned,once,late_20_40,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,20000.0,40000.0,40000.0,99.79999986749628,99.79999986749628,99.79999986749628,100.0,1191,1191,True,True,True,True,39.832782514712775
aligned,once,late_20_60,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,20000.0,60000.0,60000.0,99.7957990152131,99.7957990152131,99.7957990152131,100.0,2242,2242,True,True,True,True,39.832782514712775
aligned,once,late_40_60,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,40000.0,60000.0,60000.0,99.79159816292992,99.79159816292992,99.79159816292992,100.0,1051,1051,True,True,True,True,39.83253925077442
aligned,once,late_4_10,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,4000.0,10000.0,10000.0,99.7734651722476,99.7734651722476,99.7734651722476,100.0,401,401,True,True,True,True,39.833025778651155
aligned,once,long_2_60,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,60000.0,60000.0,99.75273314852899,99.75273314852899,99.75273314852899,100.0,3256,3256,True,True,True,True,39.833025778651155
aligned,once,post_start_before_first_finish,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,81480.519031184,81480.519031184,99.78690530449022,99.78690530449022,99.78690530449022,100.0,4542,4542,True,True,True,True,39.833025778651155
aligned,once,steady_2_10,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,10000.0,10000.0,99.4238502443361,99.4238502443361,99.4238502443361,100.0,493,493,True,True,True,True,39.833025778651155
aligned,once,warm_2_4,1,1,True,True,"[""full_input_aligned_A10B45""]",one native run,2000.0,4000.0,4000.0,98.37500546060161,98.37500546060161,98.37500546060161,100.0,92,92,True,True,True,True,39.83253925077435
same_pool_random,asu_baseline,before_first_finish,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,0.0,83875.10858165141,84122.4095867314,96.40265770577666,96.3394949912484,96.45377940088211,99.67863807445501,13994,13949,True,True,True,True,39.83399883440474
same_pool_random,asu_baseline,extra_2_90,3,3,True,False,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,,,,,,,,,,,,,,
same_pool_random,asu_baseline,extra_60_90,3,3,True,False,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,,,,,,,,,,,,,,
