A_key,B_key,A_C_ms,B_C_ms,A_V_MB,B_V_MB,A_B_GB_s,B_B_GB_s,x,y,ideal_min_S_any_mix,ideal_total_peak_GB_s,single_A_service_over_C_B,A_count_needed_ahead_of_B,heuristic_nA,heuristic_nB,no_stall_count_ratio_B_per_A,hypothetical_B_wait_ms,hypothetical_fleet_wait_scale,note
"[200, 128]","[32, 64]",4.701241393630131,0.7845500408232926,288.178176,46.047232,61.29831503450605,58.69253661841489,6.258317025440313,5.992277291448144,25,980.7730405520967,0.36731650118530496,3,9,7,4.660660115570779,1.8090535431767072,0.1683514754660729,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 128]","[32, 64]",4.533469108194381,0.7845500408232926,276.64384,46.047232,61.0225488246866,58.69253661841489,6.007827788649706,5.77843205952426,25,976.3607811949856,0.3526146524824535,3,9,7,4.494336046296646,1.7052445191767078,0.1645637059247436,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 128]","[32, 64]",3.8623805178090707,0.7845500408232926,230.506496,46.047232,59.67990334902436,58.69253661841489,5.00587084148728,4.923051834598031,24,954.8784535843897,0.30604922674067453,4,10,6,2.9538311007588183,1.6165592925100407,0.15695235927586357,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 128]","[32, 64]",4.197924834778913,0.7845500408232926,253.575168,46.047232,60.404885265973256,58.69253661841489,5.506849315068493,5.350741974818696,25,966.4781642555721,0.3232109550767505,4,10,6,3.210445184891218,1.7512016391767071,0.15643458149861103,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 256]","[32, 256]",9.043910535256627,1.9974796959734433,287.997952,45.776896,31.844405235685787,22.917327316156413,6.291338582677165,4.527660808511601,13,509.5104837709726,0.2772705106845696,4,10,6,2.7165964851069604,3.54094245787271,0.14682292759595364,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 128]","[32, 64]",3.5268362439928436,0.7845500408232926,207.437824,46.047232,58.81697069245071,58.69253661841489,4.504892367906066,4.495361749381653,24,941.0715310792114,0.2754203752764006,4,10,6,2.697217049628992,1.3762606258433743,0.14633447628035454,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 256]","[32, 256]",8.708365857991268,1.9974796959734433,276.463616,45.776896,31.74689953411891,22.917327316156413,6.039370078740157,4.35967678447283,13,507.95039254590256,0.2661658093805568,4,10,6,2.615806070683698,3.319128304026557,0.1429284362080148,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 256]","[32, 128]",9.043910535256627,1.1780259589150035,287.997952,45.95712,31.844405235685787,39.01197562940621,6.266666666666667,7.677174231021474,16,624.1916100704993,0.3819922613712691,3,9,7,5.971135513016701,2.8719452410849966,0.13893061392817424,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 512]","[32, 512]",17.794995171132317,3.7021326666852694,287.637504,45.416448,16.163955158954803,12.267644649445785,6.333333333333332,4.806687596926447,7,258.62328254327684,0.27748243849936893,4,10,6,2.884012558155868,6.57063533331473,0.1384652384727923,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 256]","[32, 128]",8.708365857991268,1.1780259589150035,276.463616,45.95712,31.74689953411891,39.01197562940621,6.015686274509804,7.392337827607745,16,624.1916100704993,0.366693447398953,3,9,7,5.7495960881393575,2.709743641084996,0.1361349376343433,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 128]","[32, 128]",4.701241393630131,1.1780259589150035,288.178176,45.95712,61.29831503450605,39.01197562940621,6.270588235294118,3.990779114884796,25,980.7730405520967,0.24462803541733544,5,10,6,2.394467468930878,1.7037558010849965,0.13590206754168208,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 512]","[32, 512]",17.12390630166978,3.7021326666852694,276.103168,45.416448,16.123842488736155,12.267644649445785,6.079365079365078,4.625416710687948,7,257.9814798197785,0.2663553231710734,4,10,6,2.775250026412769,6.15869476188616,0.13487054267997867,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 256]","[32, 256]",8.037277445758114,1.9974796959734433,253.394944,45.776896,31.52746010201948,22.917327316156413,5.535433070866142,4.0237092081385395,13,504.43936163231166,0.24395640677253116,5,10,6,2.4142255248831237,2.8754999963342494,0.13416390138360243,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 128]","[32, 64]",3.1912918804865735,0.7845500408232926,184.369152,46.047232,57.77257577952706,58.69253661841489,4.003913894324853,4.067671549844914,24,939.0805858946383,0.2447915238121267,5,10,6,2.440602929906949,1.1359619591767074,0.13348378983946638,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 128]","[32, 128]",4.533469108194381,1.1780259589150035,276.64384,45.95712,61.0225488246866,39.01197562940621,6.019607843137255,3.84836095833562,25,976.3607811949856,0.2348367944750531,5,10,6,2.309016575001372,1.5884124410849967,0.13139047629776723,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 256]","[32, 128]",8.037277445758114,1.1780259589150035,253.394944,45.95712,31.52746010201948,39.01197562940621,5.513725490196078,6.822665820675703,16,624.1916100704993,0.33609581945432065,3,9,7,5.306517860525547,2.385340441084997,0.1298432771566778,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 512]","[32, 512]",15.781728493623882,3.7021326666852694,253.034496,45.416448,16.033382915073638,12.267644649445785,5.571428571428571,4.262874919540407,7,256.5341266411782,0.24410109251448245,5,10,6,2.557724951724244,5.334813619029015,0.12676400483914946,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 256]","[32, 256]",7.366188833782921,1.9974796959734433,230.326272,45.776896,31.268037949784066,22.917327316156413,5.031496062992126,3.6877415318072178,13,500.28860719654506,0.22174700416450555,5,10,6,2.2126449190843305,2.431871688641941,0.12380240363352091,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 256]","[32, 128]",7.366188833782921,1.1780259589150035,230.326272,45.95712,31.268037949784066,39.01197562940621,5.011764705882352,6.252993644187092,16,624.1916100704993,0.3054981915096884,4,10,6,3.751796186512255,2.420822041084996,0.12323988508731547,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 128]","[32, 128]",4.197924834778913,1.1780259589150035,253.575168,45.95712,60.404885265973256,39.01197562940621,5.5176470588235285,3.5635248977410696,25,966.4781642555721,0.2152543125904884,5,10,6,2.138114938644642,1.3577257210849962,0.12128543636339029,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 256]","[48, 256]",9.043910535256627,2.6685683140655256,287.997952,68.845568,31.844405235685787,25.798690495247154,4.183246073298429,3.389049659170373,13,509.5104837709726,0.20754282828939266,5,10,6,2.0334297955022236,2.8698538397806277,0.11899666474168606,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
