length_k,miss,hit_tokens,C_ms,V_bytes,V_MB,B_GB_s,source_key,source,original_row
32,64,32704,0.7845500408232926,46047232,46.047232,58.69253661841489,"[32, 64]",data,"[54.66168431417541, 784.5500408232926, 61.19490318421683, 0.04288482666015625]"
32,128,32640,1.1780259589150035,45957120,45.95712,39.01197562940621,"[32, 128]",data,"[36.332733584014896, 1178.0259589150035, 91.88602479537028, 0.0428009033203125]"
32,256,32512,1.9974796959734433,45776896,45.776896,22.917327316156413,"[32, 256]",data,"[21.343424279388426, 1997.4796959734433, 155.80341628592856, 0.042633056640625]"
32,512,32256,3.7021326666852694,45416448,45.416448,12.267644649445785,"[32, 512]",data,"[11.425134399389648, 3702.132666685269, 288.76634800145104, 0.04229736328125]"
32,1024,31744,7.257231579079756,44695552,44.695552,6.1587606118072316,"[32, 1024]",data,"[5.735792789428712, 7257.231579079756, 566.0640631682209, 0.04162597656250001]"
32,2048,30720,14.369102622125,43253760,43.25376,3.010192155869184,"[32, 2048]",data,"[2.8034599086914067, 14369.102622125, 1120.79000452575, 0.04028320312500001]"
32,4096,28672,28.592841995880782,40370176,40.370176,1.4118979850207236,"[32, 4096]",data,"[1.3149324665039066, 28592.841995880783, 2230.2416756787015, 0.03759765625]"
48,64,49088,0.9523222038962862,69115904,69.115904,72.57617612738888,"[48, 64]",data,"[67.59183120670623, 952.3222038962862, 74.28113190391032, 0.06436920166015625]"
48,128,49024,1.5135702759005252,69025792,69.025792,45.604616514374854,"[48, 128]",data,"[42.47260886651917, 1513.570275900525, 118.05848152024096, 0.0642852783203125]"
48,256,48896,2.6685683140655256,68845568,68.845568,25.798690495247154,"[48, 256]",data,"[24.026902853741458, 2668.5683140655256, 208.14832849711098, 0.064117431640625]"
48,512,48640,5.044309980560046,68485120,68.48512,13.576707272933378,"[48, 512]",data,"[12.644293972229006, 5044.309980560046, 393.45617848368363, 0.06378173828125]"
48,1024,48128,9.941586459040689,67764224,67.764224,6.816238462461542,"[48, 1024]",data,"[6.348116754052736, 9941.586459040689, 775.4437438051738, 0.06311035156250001]"
