seed,order,strategy,label,status,path,file_sha256,error,audit_passed,main_window_valid,full_run_nominal_capacity_satisfied,all_study_conditions_met,input_fingerprint,device_utilization_percent,makespan_ms,warm_count,warm_completion_after_4000ms_count,warm_admission_passed,warm_admission_slo_percent,warm_arrival_passed,warm_arrival_slo_percent,warm_short_count,warm_short_admission_passed,warm_short_admission_slo_percent,warm_short_arrival_passed,warm_short_arrival_slo_percent,warm_long_count,warm_long_admission_passed,warm_long_admission_slo_percent,warm_long_arrival_passed,warm_long_arrival_slo_percent,warm_arrivals_count,warm_arrivals_completion_after_4000ms_count,warm_arrivals_admission_passed,warm_arrivals_admission_slo_percent,warm_arrivals_arrival_passed,warm_arrivals_arrival_slo_percent,warm_arrivals_short_count,warm_arrivals_short_admission_passed,warm_arrivals_short_admission_slo_percent,warm_arrivals_short_arrival_passed,warm_arrivals_short_arrival_slo_percent,warm_arrivals_long_count,warm_arrivals_long_admission_passed,warm_arrivals_long_admission_slo_percent,warm_arrivals_long_arrival_passed,warm_arrivals_long_arrival_slo_percent,full_count,full_completion_after_4000ms_count,full_admission_passed,full_admission_slo_percent,full_arrival_passed,full_arrival_slo_percent,full_short_count,full_short_admission_passed,full_short_admission_slo_percent,full_short_arrival_passed,full_short_arrival_slo_percent,full_long_count,full_long_admission_passed,full_long_admission_slo_percent,full_long_arrival_passed,full_long_arrival_slo_percent,nominal_full_max_ssu_gib_s,nominal_full_any_ssu_over_capacity_ms,nominal_full_max_npu_link_gib_s,max_fourth_completion_ms,all_32_active_whole_window,each_npu_has_short_and_long_compute,min_per_npu_short_compute_ms,min_per_npu_long_compute_ms,family,warm_mixed_card_count,warm_nonmixed_npu_ids,window_request_equal_utilization_percent,full_run_device_utilization_percent,fourth_completions_by_1500,window_nominal_peak_ssu_gib_s,window_any_ssu_over_capacity_ms
7,random,baseline,raw_feasible_q2_seed7,complete,runs/raw_feasible_q2_seed7/baseline/raw_feasible_q2_seed7_23926100626d_baseline_104671470b.json.gz,9aa996864056f355181efa9752e1e4298f699abea5fd246cc904b4e76c5e7780,,True,True,True,True,23926100626de4f197417d4ee360bc3be6103b42c0b83d3839915c179adf2c0f,99.99973194132782,4961.950873849805,640,32,640,100.0,0,0.0,550,550,100.0,0,0.0,90,90,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,313,1568,100.0,35,2.232142857142857,1344,1344,100.0,27,2.0089285714285716,224,224,100.0,8,3.571428571428571,36.986777667718506,0.0,7.430755796191406,780.7534871674409,True,True,1080.5738423671864,229.8565394082034,raw_feasible_q2,32,[],99.99988901617807,99.74642811113486,True,36.867185077972415,0.0
7,random,once,raw_feasible_q2_seed7,complete,runs/raw_feasible_q2_seed7/once/raw_feasible_q2_seed7_23926100626d_once_dc98615fa8.json.gz,f2beb52b63b21ff0910cfdcecdec6f8ab89b7231cd84320831c7f3d1e5335661,,True,True,True,True,23926100626de4f197417d4ee360bc3be6103b42c0b83d3839915c179adf2c0f,99.85642923969078,4984.639573436474,640,32,640,100.0,0,0.0,551,551,100.0,0,0.0,89,89,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,318,1568,100.0,34,2.1683673469387754,1344,1344,100.0,27,2.0089285714285716,224,224,100.0,7,3.125,36.986777667718506,0.0,7.430755796191406,778.2893979096284,True,True,1079.1603558680454,229.8565394082034,raw_feasible_q2,32,[],99.81345737390077,99.29240998025192,True,36.85744182263489,0.0
7,ordered,baseline,raw_feasible_q2_seed7__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed7__exact_cohort4_p1/baseline/raw_feasible_q2_seed7__exact_cohort4_p1_9ac5d0e18113_baseline_104671470b.json.gz,cc568bec8bd0d859d154b117c2b80353152959820c3a3d28231777ee501e351c,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.8155782851757,4994.533644775107,625,32,625,100.0,0,0.0,537,537,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,485.6439777787575,True,True,1299.16316364056,564.9940249637482,raw_feasible_q2,32,[],99.7410009241119,99.09571370035862,True,37.682210497851564,0.0
7,ordered,once,raw_feasible_q2_seed7__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed7__exact_cohort4_p1/once/raw_feasible_q2_seed7__exact_cohort4_p1_9ac5d0e18113_once_dc98615fa8.json.gz,654804b5c9de471b425eed9f5903342653dda0ecad9bbc0a7c4338dfa02e4bdc,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.68796674931843,5027.056742244673,635,32,635,100.0,0,0.0,547,547,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,507.7307711211092,True,True,1298.5506058662095,552.5383730256733,raw_feasible_q2,32,[],99.6155327552225,98.45460306231678,True,37.6291788631897,0.0
19,random,baseline,raw_feasible_q2_seed19,complete,runs/raw_feasible_q2_seed19/baseline/raw_feasible_q2_seed19_cfe2f85ff261_baseline_104671470b.json.gz,2f5698de195d68780f13396b817b9288f7b3f982c29012f216a42e9bc743d637,,True,True,True,True,cfe2f85ff2619a8026f9611227813d4b2c8e7df72b96ffa7efdb4da4718a3480,99.99901729667931,4960.366075747552,629,32,629,100.0,0,0.0,533,533,100.0,0,0.0,96,96,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,311,1568,100.0,34,2.1683673469387754,1344,1344,100.0,29,2.1577380952380953,224,224,100.0,5,2.232142857142857,37.21755997990723,0.0,7.430755796191406,608.3009375744933,True,True,926.227649147997,344.9216957206081,raw_feasible_q2,32,[],99.99958667492473,99.77829631351409,True,37.21755997990723,0.0
19,random,once,raw_feasible_q2_seed19,complete,runs/raw_feasible_q2_seed19/once/raw_feasible_q2_seed19_cfe2f85ff261_once_dc98615fa8.json.gz,18e7d00359d89ead0e5a45fe120ebd5664e55f1081f48c22a46e7d001700cf88,,True,True,True,True,cfe2f85ff2619a8026f9611227813d4b2c8e7df72b96ffa7efdb4da4718a3480,99.85005282513609,4976.95825758878,631,32,631,100.0,0,0.0,535,535,100.0,0,0.0,96,96,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,312,1568,100.0,34,2.1683673469387754,1344,1344,100.0,29,2.1577380952380953,224,224,100.0,5,2.232142857142857,37.21755997990723,0.0,7.430755796191406,613.1590724616682,True,True,935.2388429047201,343.72223762622843,raw_feasible_q2,32,[],99.78956957522561,99.44565546129931,True,37.21755997990723,0.0
19,ordered,baseline,raw_feasible_q2_seed19__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed19__exact_cohort4_p1/baseline/raw_feasible_q2_seed19__exact_cohort4_p1_9ac5d0e18113_baseline_104671470b.json.gz,ac6c4a4421bb830befc3767f609b9627029bf9ba8e7677dae7cf00b76ee1047e,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.82597415703509,4995.422665261981,625,32,625,100.0,0,0.0,537,537,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,485.52768292942835,True,True,1300.889950943193,565.2334911924331,raw_feasible_q2,32,[],99.75836391883179,99.0780779314669,True,37.682210497851564,0.0
19,ordered,once,raw_feasible_q2_seed19__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed19__exact_cohort4_p1/once/raw_feasible_q2_seed19__exact_cohort4_p1_9ac5d0e18113_once_dc98615fa8.json.gz,285f83ac4bc3d8a0123dffbf7ef0a27fcdc43bd5460a43c964d3c98cfb5f087a,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.58820402392311,5037.274194592762,635,32,635,100.0,0,0.0,547,547,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,505.8851158613225,True,True,1298.6125092516186,548.6998865951828,raw_feasible_q2,32,[],99.49617821653885,98.25490076770691,True,37.6291788631897,0.0
43,random,baseline,raw_feasible_q2_seed43,complete,runs/raw_feasible_q2_seed43/baseline/raw_feasible_q2_seed43_2b4444b16f96_baseline_104671470b.json.gz,9e9594e11fbb56ec0308ffc1528c83f5848cd6e631616f01b3f7573ca894cf4d,,True,True,True,True,2b4444b16f96a98141804e2b3724d249aeea80c9acebd09627b978fd65153de9,99.99884136121524,4965.311635665874,639,32,639,100.0,0,0.0,550,550,100.0,0,0.0,89,89,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,334,1568,100.0,36,2.295918367346939,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,12,5.357142857142857,37.21755997990723,0.0,7.430755796191406,803.7524694300726,True,True,620.8607635507799,229.8565394082034,raw_feasible_q2,32,[],99.9995067898681,99.67891492938868,True,36.62143633987427,0.0
43,random,once,raw_feasible_q2_seed43,complete,runs/raw_feasible_q2_seed43/once/raw_feasible_q2_seed43_2b4444b16f96_once_dc98615fa8.json.gz,2fd9f9cf55079ddeaac395abb9555012d105cb795d8ab767ba41496cf0d1474f,,True,True,True,True,2b4444b16f96a98141804e2b3724d249aeea80c9acebd09627b978fd65153de9,99.88346564941664,4985.075780720939,641,32,641,100.0,0,0.0,553,553,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,335,1568,100.0,34,2.1683673469387754,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,10,4.464285714285714,37.05654821259155,0.0,7.430755796191406,804.5369526576117,True,True,620.8607635507799,229.8565394082034,raw_feasible_q2,32,[],99.82921591478247,99.28372163238507,True,36.62143633987427,0.0
