condition,condition_name,strategy,n_seeds,all_recomputed_checks_passed,nominal_capacity_passed_count,seeds,device_utilization_percent_n,device_utilization_percent_mean,device_utilization_percent_sample_sd,device_utilization_percent_min,device_utilization_percent_max,warm_admission_slo_percent_n,warm_admission_slo_percent_mean,warm_admission_slo_percent_sample_sd,warm_admission_slo_percent_min,warm_admission_slo_percent_max,warm_count_n,warm_count_mean,warm_count_sample_sd,warm_count_min,warm_count_max,full_admission_slo_percent_n,full_admission_slo_percent_mean,full_admission_slo_percent_sample_sd,full_admission_slo_percent_min,full_admission_slo_percent_max
mixed_random,每卡长短混合 / Random,baseline,5,True,5,7;19;43;67;101,5,92.10990766199866,0.7443338371025197,91.29698473632209,92.92286610971522,5,94.80166519660054,1.490692822890529,93.19245497092611,96.60092320604281,5,7042.2,119.23799729951858,6850,7149,5,95.17166940789474,0.6160434585217998,94.66488486842105,95.98581414473684
mixed_random,每卡长短混合 / Random,once,5,True,5,7;19;43;67;101,5,98.46964865164445,0.19550741950458161,98.24823962667439,98.73930117404882,5,99.59738635055342,0.24341628599634188,99.36204146730462,99.8896551724138,5,7478,147.14108875497695,7250,7611,5,99.71114309210526,0.09382075829855818,99.62479440789474,99.84066611842105
mixed_ordered,每卡长短混合 / Ordered,baseline,5,True,5,7;19;43;67;101,5,85.25255358869404,1.402568484344866,83.59625215316386,87.30957690289014,5,81.35567622633663,2.972240796152411,76.7499611981996,84.97988377291014,5,6580.4,104.78692666549583,6443,6711,5,79.56003289473684,1.2515994588196084,77.95024671052632,81.36307565789474
mixed_ordered,每卡长短混合 / Ordered,once,5,True,5,7;19;43;67;101,5,98.71258634787463,0.15101590886254068,98.50978699188103,98.91452108092781,5,99.82194160726849,0.20842554010460815,99.462717861355,99.98695708882222,5,7649.4,13.831124321616086,7631,7667,5,99.72245065789474,0.14052449747627677,99.58367598684211,99.87664473684211
fixed_11_random,11 长卡 / 21 短卡 / Random,baseline,5,True,5,7;19;43;67;101,5,72.88372577973634,0.02460868641239629,72.84451386940083,72.91038427956008,5,62.90300252370753,0.1441763598839141,62.735849056603776,63.12136139722347,5,4458.6,6.308724118235001,4452,4466,5,79.84580592105263,0.055879843441311715,79.77487664473684,79.90851151315789
fixed_11_random,11 长卡 / 21 短卡 / Random,once,5,True,5,7;19;43;67;101,5,98.98328555856011,0.19677975576576207,98.81333204695213,99.30712379910156,5,98.85273771525699,0.3590598766045397,98.49959448499594,99.35587761674718,5,7416.6,33.09531688925187,7371,7452,5,98.89083059210526,0.46458243545411393,98.49917763157895,99.62993421052632
fixed_11_round_robin,11 长卡 / 21 短卡 / 轮转,baseline,5,True,5,7;19;43;67;101,5,72.84276555109855,0.00019695792671420355,72.84242740364525,72.84291043159935,5,62.158402512901056,0.0720072090459108,62.05968140004487,62.26161094906888,5,4457,0.0,4457,4457,5,79.44387335526316,0.041850746270198816,79.38425164473684,79.50246710526316
fixed_11_round_robin,11 长卡 / 21 短卡 / 轮转,once,5,True,5,7;19;43;67;101,5,98.91227090237739,0.31878828220152206,98.38116436571968,99.13234628656299,5,98.54372037084227,0.5254106095799324,97.64208804688565,98.89562289562289,5,7399.4,37.21961848273031,7337,7425,5,98.68112664473684,0.3842084118620561,98.36554276315789,99.25986842105263
fixed_6_random,6 长卡 / 26 短卡 / Random,baseline,5,True,5,7;19;43;67;101,5,83.36932033387188,0.02206848206926762,83.33778962313735,83.39163055595166,5,72.38167201204446,0.04862934091461192,72.30475671255282,72.42411868789982,5,7356,16.55294535724685,7337,7379,5,72.54317434210526,0.0195717853255135,72.52261513157895,72.56373355263158
fixed_6_random,6 长卡 / 26 短卡 / Random,once,5,True,5,7;19;43;67;101,5,98.11907110736769,0.4962053425907336,97.50976710515617,98.79225638178232,5,98.1361675371694,0.6316607846565382,97.37927958068474,99.01033648559489,5,9016.4,50.43114117289039,8967,9094,5,98.13836348684211,0.6175510827391923,97.47121710526316,99.04399671052632
