label,family,mode,seed,request_count,first_card_done_ms,makespan_ms,U_2_4,mixed_cards_2_4,U_4_to_first_drain,active_tail_duration_ms,tail_mixed_cards,worst_later_full_active_2s_U,all_run_stall_after4_ms,direct_raw,full_run_capacity_pass,qualifying_8s_or_more_windows,path,sha256
raw176_three_l20_fixed_seed19,raw176_three_l20,fixed,19,1212,5300.675170871964,6537.978379785323,91.05636162512047,0,91.32515017385467,1300,0,,3608.73752767646,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw176_three_l20_fixed_seed19/baseline/raw176_three_l20_fixed_seed19_d9e3e1fddcb4_baseline_104671470b.json.gz,f3d71fc3d67793ed4db1230e0b4bca819e8e941f96238bf2c4f5b4e4eb94cd1f
raw176_three_l20_fixed_seed43,raw176_three_l20,fixed,43,1212,5300.135983030167,6527.791237346169,91.42073591419324,0,91.4882451887517,1300,0,,3540.8900014792857,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw176_three_l20_fixed_seed43/baseline/raw176_three_l20_fixed_seed43_2e0815835349_baseline_104671470b.json.gz,a1dfe5ba09106f55a570d2a7ab7c4caf59bfac899b598b30f2d1c57aa4685146
raw176_three_l20_fixed_seed67,raw176_three_l20,fixed,67,1212,5300.40325925087,6528.741798179555,91.37793933471066,0,91.22710676991741,1300,0,,3649.523583714353,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw176_three_l20_fixed_seed67/baseline/raw176_three_l20_fixed_seed67_aad767c5e655_baseline_104671470b.json.gz,b7cf6c2fb9ca6c75b610e5d67a8b6147065f79073480f2350dd448a6064095c2
raw176_three_l20_fixed_seed101,raw176_three_l20,fixed,101,1212,5300.856445286026,6546.351245707869,91.23647920118053,0,91.63649777975742,1300,0,,3479.2169236209156,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw176_three_l20_fixed_seed101/baseline/raw176_three_l20_fixed_seed101_b189552136aa_baseline_104671470b.json.gz,b04f067e39d85ca5210c82ddb47b92880aecfa58aa10268310a4835b4fc99530
raw176_three_l20_fixed_seed7,raw176_three_l20,fixed,7,1212,5300.675170871964,6538.958288929429,91.32329819150895,0,91.3937526853409,1300,0,,3580.1988828981875,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw176_three_l20_fixed_seed7/baseline/raw176_three_l20_fixed_seed7_9a41d5b9643b_baseline_104671470b.json.gz,83fbf0a74c9b09868c45f919e793ab4a00502891e556ab210501727589b2cb0d
raw176_three_l20_mixed_seed7,raw176_three_l20,mixed,7,1212,5193.803426469362,5557.757301432502,99.96096350518249,32,99.99585768468492,1150,32,,1.5243720359494546,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw176_three_l20_mixed_seed7/baseline/raw176_three_l20_mixed_seed7_db8890018294_baseline_104671470b.json.gz,f271332c69efefbfdcf731c6354565fe428d6c56e12a069bf31360a337ff8276
raw160_three_l20_fixed_seed19,raw160_three_l20,fixed,19,1252,5307.630048112307,6520.834634039451,91.36653914781031,0,91.33805800483208,1300,0,,3603.36786998986,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_fixed_seed19/baseline/raw160_three_l20_fixed_seed19_5d52de23e5b5_baseline_104671470b.json.gz,6a325760f5924ec5600a5856272a17dbeb55696944c8e3969c343756dcee0989
raw160_three_l20_mixed_seed19,raw160_three_l20,mixed,19,1252,5142.786877520414,5481.086803868901,99.97586244828464,32,99.98228906694683,1100,32,,6.234248434720939,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_mixed_seed19/baseline/raw160_three_l20_mixed_seed19_bc6228625231_baseline_104671470b.json.gz,df8da333e0d49d5e5b5e591fdbb57ee2a5f2d7aaf987504e4645672e51c6fbc8
raw160_three_l20_fixed_seed43,raw160_three_l20,fixed,43,1252,5307.084546403323,6552.008607848085,91.4888789487072,0,91.35712547354566,1300,0,,3595.435803005004,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_fixed_seed43/baseline/raw160_three_l20_fixed_seed43_699130a9cba7_baseline_104671470b.json.gz,76d08b7c8f4c0c32d2116afe16fb4498318be60daad4d66504d7e79d1d02620a
raw160_three_l20_mixed_seed43,raw160_three_l20,mixed,43,1252,5143.971267922294,5556.187293783028,99.98291337350999,32,99.9484882768509,1100,32,,18.132126548485758,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_mixed_seed43/baseline/raw160_three_l20_mixed_seed43_268e5f941a43_baseline_104671470b.json.gz,f67909ffa0955060e901648eea2fd75f49dacf85ec24671e71c4398d31c5814a
raw160_three_l20_fixed_seed67,raw160_three_l20,fixed,67,1252,5307.364850358401,6465.8104882269445,91.94216215891181,0,91.89556876865903,1300,0,,3371.443392237842,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_fixed_seed67/baseline/raw160_three_l20_fixed_seed67_af9ffe937d83_baseline_104671470b.json.gz,92bf2e3429b8a5aaafc7e0fce02e1802a77d7673a7ba8ef57a971f7c366f09df
raw160_three_l20_mixed_seed67,raw160_three_l20,mixed,67,1252,5136.103454811946,5535.081142154116,99.98795932582306,32,99.98950913138678,1100,32,,3.69278575185308,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_mixed_seed67/baseline/raw160_three_l20_mixed_seed67_28abd4d0f494_baseline_104671470b.json.gz,1a72f0ab3a658598013e8b6c147e2c8e43b88f4686b5315de2814c9b98b1a485
raw160_three_l20_fixed_seed101,raw160_three_l20,fixed,101,1252,5307.798394791994,6484.475570116879,91.71511822899876,0,91.67151484558636,1300,0,,3464.649824236073,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_fixed_seed101/baseline/raw160_three_l20_fixed_seed101_83eb35facfbb_baseline_104671470b.json.gz,fadfe510974f02d9e77e4084dc903e64aebf5b194c3621dfc2b0d3a572907a07
raw160_three_l20_mixed_seed101,raw160_three_l20,mixed,101,1252,5139.042032381715,5612.208001660289,99.99585301587626,32,99.98668335822052,1100,32,,4.687457906381496,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_mixed_seed101/baseline/raw160_three_l20_mixed_seed101_0a35b6b45d9c_baseline_104671470b.json.gz,458d9bb71fe1d4a2561c68b0468af401ec1fade24b971811f1e266bc83e9dc7d
raw200_three_l20_fixed_seed19,raw200_three_l20,fixed,19,1172,5412.731698246957,6983.9588026143165,88.26718511397367,0,88.6311348384177,1400,0,,5093.251592388871,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_fixed_seed19/baseline/raw200_three_l20_fixed_seed19_6b06ffe7eec9_baseline_104671470b.json.gz,6f04882d78a4976c0f0f066442ffc0409989c201f9a61e6858db8af99c5fdeb9
raw200_three_l20_mixed_seed19,raw200_three_l20,mixed,19,1172,5121.684347033597,5585.275726972707,99.89725103946796,32,99.9009779923618,1100,32,,35.343644817757195,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_mixed_seed19/baseline/raw200_three_l20_mixed_seed19_07a05f4f04fd_baseline_104671470b.json.gz,eb041d05d236cd21c517c2b5dd63e15192a99cadc82f064eef101f8f63c3ea44
raw200_three_l20_fixed_seed43,raw200_three_l20,fixed,43,1172,5412.193749638559,6977.167566925297,88.46007584126454,0,88.79275339639725,1400,0,,5020.846478414029,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_fixed_seed43/baseline/raw200_three_l20_fixed_seed43_b813a65b39aa_baseline_104671470b.json.gz,8041d8ce9d936ac974d805298a26e9ff701de49b5c8856d4c8b4d3399366d704
raw200_three_l20_mixed_seed43,raw200_three_l20,mixed,43,1172,5037.909758731836,5513.261337776491,99.96398457514861,32,99.94655770926043,1000,31,,17.148011221788693,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_mixed_seed43/baseline/raw200_three_l20_mixed_seed43_dccde40716f9_baseline_104671470b.json.gz,60f25b5d234689d27e2950387c06c931971c874f9375137704d79020d5dd403f
raw200_three_l20_fixed_seed67,raw200_three_l20,fixed,67,1172,5412.46116509266,6962.039002947541,88.54798391109166,0,88.44087326472292,1400,0,,5178.488777404129,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_fixed_seed67/baseline/raw200_three_l20_fixed_seed67_5ae531c553e4_baseline_104671470b.json.gz,227ea8ea6d472406a671719dfe43321bdde1d966ce7e755afff9e7690fcfacfb
raw200_three_l20_mixed_seed67,raw200_three_l20,mixed,67,1172,5048.732488002464,5531.352337000411,99.82220798777887,32,99.91266144768767,1000,32,,35.46987916206763,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_mixed_seed67/baseline/raw200_three_l20_mixed_seed67_f7109d85cffe_baseline_104671470b.json.gz,b79dc47de3dda99b24fdcde25de135a1e6cd3030a215fe446232ed19d326cff0
raw200_three_l20_fixed_seed101,raw200_three_l20,fixed,101,1172,5412.9121334276215,6955.028192736761,88.44532789437038,0,88.42199961611186,1400,0,,5186.94417198189,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_fixed_seed101/baseline/raw200_three_l20_fixed_seed101_7355c3234e10_baseline_104671470b.json.gz,792eb69a3f7b2d28495430143d0402fc0b8ffad236577d0d8e657928e475ba41
raw200_three_l20_mixed_seed101,raw200_three_l20,mixed,101,1172,5067.592998739471,5600.6588818958235,99.91362888375656,32,99.97491837603573,1050,32,,9.756796482722166,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_mixed_seed101/baseline/raw200_three_l20_mixed_seed101_6712a30354c3_baseline_104671470b.json.gz,7ceb5312ab005cd3982ab0783d07c31640e7db5719141264f355b453527f82c8
raw160_three_l20_fixed_seed7,raw160_three_l20,fixed,7,1252,5307.626051945314,6482.614752510034,91.73494600173603,0,91.40505852862569,1300,0,,3575.49565209171,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_fixed_seed7/baseline/raw160_three_l20_fixed_seed7_3c6789f2fc85_baseline_104671470b.json.gz,7e13bede768ca2ac3091a7fc8ae7c959579fa94606864b7624f583ccba94616a
raw160_three_l20_mixed_seed7,raw160_three_l20,mixed,7,1252,5140.270755666132,5615.200024200604,99.99700320654537,32,99.99926670689092,1100,32,,0.2581191743938689,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l20_mixed_seed7/baseline/raw160_three_l20_mixed_seed7_9efdaf5c1c34_baseline_104671470b.json.gz,098c4d605307fd4c8857f97fe1ccf5e64d7656414c1ab0602270dd7ac7d6c911
raw200_three_l20_fixed_seed7,raw200_three_l20,fixed,7,1172,5412.731698246957,6962.924556480174,88.55268303238694,0,88.59100876955247,1400,0,,5111.228071240486,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_fixed_seed7/baseline/raw200_three_l20_fixed_seed7_754f92e5ffba_baseline_104671470b.json.gz,70e6b50e23beeffe0e36d64e0676e5e304d3a923c3bc57a9df6289515b3b0f8b
raw200_three_l20_mixed_seed7,raw200_three_l20,mixed,7,1172,5049.063474399102,5587.522037471715,99.94327134027945,32,99.94926113009024,1000,31,,19.101941134498702,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_three_l20_mixed_seed7/baseline/raw200_three_l20_mixed_seed7_92b201b7011e_baseline_104671470b.json.gz,a8824e404c91319c3a8bc9ce697ed9b4382b3b31af3baec30ada65d1c5f2ede3
raw160_three_l16_fixed_seed7,raw160_three_l16,fixed,7,1424,5305.117583317385,5971.6323445715425,93.6455232123185,0,93.58941277086214,1300,0,,2666.80428732135,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_three_l16_fixed_seed7/baseline/raw160_three_l16_fixed_seed7_90f2debf3cfa_baseline_104671470b.json.gz,dc9ed862805e6142ac43a41309ba1286754486d6e49d717c838a2c904abc269b
raw160_one_l16_fixed_seed7,raw160_one_l16,fixed,7,1808,5303.6923650068375,6512.126375525978,87.8193477946248,0,88.22090775743727,1300,0,,4900.102372906091,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw160_one_l16_fixed_seed7/baseline/raw160_one_l16_fixed_seed7_b7bf83a53850_baseline_104671470b.json.gz,56e2815e36848dad8fd3e06fdb39fed16c4948cdf95fb22c9d33706c108d64d5
