order,strategy,start_ms,end_ms,npu,U_percent,compute_ms,active_ms,computed_roles
random,baseline,2000.0,4000.0,0,99.44875251734803,1988.9750503469604,2000.0,"A,B"
random,baseline,2000.0,4000.0,1,99.16479731844723,1983.2959463689444,2000.0,"A,B"
random,baseline,2000.0,4000.0,2,99.98735515458527,1999.7471030917054,2000.0,"A,B"
random,baseline,2000.0,4000.0,3,99.02441781627249,1980.4883563254498,2000.0,"A,B"
random,baseline,2000.0,4000.0,4,99.73313396162634,1994.662679232527,2000.0,"A,B"
random,baseline,2000.0,4000.0,5,99.94805262388194,1998.9610524776385,2000.0,"A,B"
random,baseline,2000.0,4000.0,6,100.0,2000.0,2000.0,"A,B"
random,baseline,2000.0,4000.0,7,99.1320859518889,1982.6417190377779,2000.0,"A,B"
random,baseline,2000.0,4000.0,8,99.76387205503326,1995.2774411006653,2000.0,"A,B"
random,baseline,2000.0,4000.0,9,99.1657432742205,1983.31486548441,2000.0,"A,B"
random,baseline,2000.0,4000.0,10,98.5345383009638,1970.690766019276,2000.0,"A,B"
random,baseline,2000.0,4000.0,11,99.49471638919559,1989.8943277839116,2000.0,"A,B"
random,baseline,2000.0,4000.0,12,99.92702310791032,1998.540462158206,2000.0,"A,B"
random,baseline,2000.0,4000.0,13,100.0,2000.0,2000.0,"A,B"
random,baseline,2000.0,4000.0,14,99.21812502237825,1984.3625004475648,2000.0,"A,B"
random,baseline,2000.0,4000.0,15,99.68795984049345,1993.759196809869,2000.0,"A,B"
random,baseline,2000.0,4000.0,16,99.67873711603154,1993.5747423206308,2000.0,"A,B"
random,baseline,2000.0,4000.0,17,99.73758480461349,1994.7516960922699,2000.0,"A,B"
random,baseline,2000.0,4000.0,18,98.71352804886996,1974.2705609773993,2000.0,"A,B"
random,baseline,2000.0,4000.0,19,99.48826796153737,1989.7653592307474,2000.0,"A,B"
random,baseline,2000.0,4000.0,20,99.68628068229914,1993.7256136459828,2000.0,"A,B"
random,baseline,2000.0,4000.0,21,98.87218174560523,1977.4436349121047,2000.0,"A,B"
random,baseline,2000.0,4000.0,22,99.59876506066477,1991.9753012132956,2000.0,"A,B"
random,baseline,2000.0,4000.0,23,99.32300799638219,1986.4601599276439,2000.0,"A,B"
random,baseline,2000.0,4000.0,24,99.15795858594468,1983.1591717188935,2000.0,"A,B"
random,baseline,2000.0,4000.0,25,99.6972223888788,1993.944447777576,2000.0,"A,B"
random,baseline,2000.0,4000.0,26,98.83578757568199,1976.7157515136396,2000.0,"A,B"
random,baseline,2000.0,4000.0,27,100.0,2000.0,2000.0,"A,B"
random,baseline,2000.0,4000.0,28,100.0,2000.0,2000.0,"A,B"
random,baseline,2000.0,4000.0,29,99.19855294777537,1983.9710589555075,2000.0,"A,B"
random,baseline,2000.0,4000.0,30,99.96170241162832,1999.2340482325667,2000.0,"A,B"
random,baseline,2000.0,4000.0,31,99.3357507599432,1986.715015198864,2000.0,"A,B"
random,baseline,2000.0,20000.0,0,99.24438354563918,17863.98903821505,18000.0,"A,B"
random,baseline,2000.0,20000.0,1,98.43640542564943,17718.552976616895,18000.0,"A,B"
random,baseline,2000.0,20000.0,2,99.46593192008598,17903.867745615476,18000.0,"A,B"
random,baseline,2000.0,20000.0,3,98.51559222939645,17732.80660129136,18000.0,"A,B"
random,baseline,2000.0,20000.0,4,98.80043242293007,17784.077836127413,18000.0,"A,B"
random,baseline,2000.0,20000.0,5,99.234278945545,17862.1702101981,18000.0,"A,B"
random,baseline,2000.0,20000.0,6,99.36309118182406,17885.35641272833,18000.0,"A,B"
random,baseline,2000.0,20000.0,7,99.00339844147308,17820.611719465156,18000.0,"A,B"
random,baseline,2000.0,20000.0,8,98.4336899147377,17718.064184652787,18000.0,"A,B"
random,baseline,2000.0,20000.0,9,98.57466011915892,17743.438821448606,18000.0,"A,B"
random,baseline,2000.0,20000.0,10,98.96900677394244,17814.42121930964,18000.0,"A,B"
random,baseline,2000.0,20000.0,11,99.02621464984578,17824.71863697224,18000.0,"A,B"
random,baseline,2000.0,20000.0,12,98.90381377550517,17802.68647959093,18000.0,"A,B"
random,baseline,2000.0,20000.0,13,98.66596845853368,17759.874322536063,18000.0,"A,B"
random,baseline,2000.0,20000.0,14,99.54587691728696,17918.257845111653,18000.0,"A,B"
random,baseline,2000.0,20000.0,15,99.16278766616607,17849.301779909893,18000.0,"A,B"
random,baseline,2000.0,20000.0,16,99.03965381555818,17827.137686800474,18000.0,"A,B"
random,baseline,2000.0,20000.0,17,98.92507319113423,17806.51317440416,18000.0,"A,B"
random,baseline,2000.0,20000.0,18,99.06957944244922,17832.52429964086,18000.0,"A,B"
random,baseline,2000.0,20000.0,19,98.4200800676341,17715.614412174138,18000.0,"A,B"
random,baseline,2000.0,20000.0,20,99.00429635594455,17820.773344070018,18000.0,"A,B"
random,baseline,2000.0,20000.0,21,98.59435074512017,17746.98313412163,18000.0,"A,B"
random,baseline,2000.0,20000.0,22,99.18205366105198,17852.769658989357,18000.0,"A,B"
random,baseline,2000.0,20000.0,23,99.22376283582297,17860.277310448135,18000.0,"A,B"
random,baseline,2000.0,20000.0,24,98.81497778737688,17786.696001727836,18000.0,"A,B"
random,baseline,2000.0,20000.0,25,99.12654005127565,17842.777209229618,18000.0,"A,B"
random,baseline,2000.0,20000.0,26,99.25777103832732,17866.398786898917,18000.0,"A,B"
random,baseline,2000.0,20000.0,27,98.70590826366075,17767.063487458934,18000.0,"A,B"
random,baseline,2000.0,20000.0,28,98.898865644365,17801.7958159857,18000.0,"A,B"
random,baseline,2000.0,20000.0,29,98.98318708019592,17816.973674435267,18000.0,"A,B"
