start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,9437.957859533024,initial,A,446.0011795654297,16,16
0.0,9437.957859533024,initial,B,159.86958776855468,16,16
0.0,9437.957859533024,A,A,10864.784281037559,288,288
0.0,9437.957859533024,A,B,1891.8097137231161,96,96
0.0,9437.957859533024,B,A,393.0232169587744,80,44
0.0,9437.957859533024,B,B,0.0,656,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,1807.301150501713,48,48
2000.0,4000.0,A,B,0.0,0,0
2000.0,4000.0,B,A,111.13853117813414,32,14
2000.0,4000.0,B,B,0.0,176,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,3618.104421975108,96,96
2000.0,6000.0,A,B,631.0113850838097,32,32
2000.0,6000.0,B,A,111.13853117813414,32,14
2000.0,6000.0,B,B,0.0,352,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,1810.803271473395,48,48
4000.0,6000.0,A,B,631.0113850838097,32,32
4000.0,6000.0,B,A,0.0,0,0
4000.0,6000.0,B,B,0.0,176,0
6000.0,8000.0,initial,A,0.0,0,0
6000.0,8000.0,initial,B,0.0,0,0
6000.0,8000.0,A,A,3613.030416848109,96,96
6000.0,8000.0,A,B,630.068086743966,32,32
6000.0,8000.0,B,A,112.85010422212963,32,14
6000.0,8000.0,B,B,0.0,68,0
