start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,8486.86232361771,initial,A,1097.3973625976562,32,32
0.0,8486.86232361771,initial,B,0.0,0,0
0.0,8486.86232361771,A,A,0.0,0,0
0.0,8486.86232361771,A,B,4880.502425400314,384,384
0.0,8486.86232361771,B,A,0.0,352,0
0.0,8486.86232361771,B,B,0.0,384,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,0.0,0,0
2000.0,4000.0,A,B,1220.125606350105,96,96
2000.0,4000.0,B,A,0.0,96,0
2000.0,4000.0,B,B,0.0,64,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,0.0,0,0
2000.0,6000.0,A,B,2440.2512127001664,192,192
2000.0,6000.0,B,A,0.0,192,0
2000.0,6000.0,B,B,0.0,160,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,0.0,0,0
4000.0,6000.0,A,B,1220.1256063500614,96,96
4000.0,6000.0,B,A,0.0,96,0
4000.0,6000.0,B,B,0.0,96,0
6000.0,8000.0,initial,A,0.0,0,0
6000.0,8000.0,initial,B,0.0,0,0
6000.0,8000.0,A,A,0.0,0,0
6000.0,8000.0,A,B,828.5014303737371,64,69
6000.0,8000.0,B,A,0.0,96,0
6000.0,8000.0,B,B,0.0,96,0
