start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,6130.955343655675,initial,A,75.85245378417969,8,8
0.0,6130.955343655675,initial,B,120.05997687988281,24,24
0.0,6130.955343655675,A,A,162.49345128271648,288,200
0.0,6130.955343655675,A,B,0.0,88,0
0.0,6130.955343655675,B,A,0.0,88,0
0.0,6130.955343655675,B,B,0.0,656,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,57.940320567939125,88,67
2000.0,4000.0,A,B,0.0,32,0
2000.0,4000.0,B,A,0.0,32,0
2000.0,4000.0,B,B,0.0,224,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,110.98158333669426,176,135
2000.0,6000.0,A,B,0.0,64,0
2000.0,6000.0,B,A,0.0,64,0
2000.0,6000.0,B,B,0.0,448,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,53.04126276875513,88,68
4000.0,6000.0,A,B,0.0,32,0
4000.0,6000.0,B,A,0.0,32,0
4000.0,6000.0,B,B,0.0,224,0
