start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,6121.717756163644,initial,A,75.85121455078125,8,8
0.0,6121.717756163644,initial,B,120.20524272460938,24,24
0.0,6121.717756163644,A,A,14.46053195284395,109,4
0.0,6121.717756163644,A,B,10.662489254124523,261,5
0.0,6121.717756163644,B,A,0.0,267,0
0.0,6121.717756163644,B,B,0.0,483,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,0.0,51,0
2000.0,4000.0,A,B,0.0,92,0
2000.0,4000.0,B,A,0.0,92,0
2000.0,4000.0,B,B,0.0,156,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,0.0,86,0
2000.0,6000.0,A,B,0.0,177,0
2000.0,6000.0,B,A,0.0,175,0
2000.0,6000.0,B,B,0.0,320,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,0.0,35,0
4000.0,6000.0,A,B,0.0,85,0
4000.0,6000.0,B,A,0.0,83,0
4000.0,6000.0,B,B,0.0,164,0
