policy,seed,window,start_ms,end_ms,U_percent,slo_passed,slo_count,slo_percent,A_passed,A_count,A_percent,B_passed,B_count,B_percent,B_admission_fraction_percent,completed_after_window_count,admission_cohort_passed_per_window_second,completion_window_count,completion_window_timely_count,completion_window_timely_per_second,full_run_U_percent,makespan_ms,all_npus_active_whole_window,manifest_sha256,result_sha256,origin,case
aggressive,7,warm_2_4s,2000.0,4000.0,89.29423019635477,286,338,84.61538461538461,59,111,53.153153153153156,227,227,100.0,67.15976331360947,32,143.0,338,285,142.5,87.8222670103959,23031.86112300866,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,5de8e60595a7179b121b39864105fa745e357574d8e63969e99ca3c957a7e5f1,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed7_remote_v2
aggressive,7,long_2_20s,2000.0,20000.0,88.93421560275185,2518,3028,83.15719947159842,518,998,51.90380761523046,2000,2030,98.52216748768473,67.04095112285337,32,139.88888888888889,3028,2508,139.33333333333334,87.8222670103959,23031.86112300866,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,5de8e60595a7179b121b39864105fa745e357574d8e63969e99ca3c957a7e5f1,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed7_remote_v2
aggressive,7,full_population,0.0,23031.86112300866,87.82226701039478,3181,3840,82.83854166666667,654,1280,51.09375,2527,2560,98.7109375,66.66666666666667,0,138.11302451898706,3840,3181,138.11302451898706,87.8222670103959,23031.86112300866,False,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,5de8e60595a7179b121b39864105fa745e357574d8e63969e99ca3c957a7e5f1,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed7_remote_v2
aggressive,19,warm_2_4s,2000.0,4000.0,90.3427714864852,268,335,80.0,43,110,39.09090909090909,225,225,100.0,67.16417910447761,32,134.0,335,274,137.0,86.36555782212645,23420.33454420663,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,96c8ba2cdf7a39935246d4ffcff2f05196fba744be54269bb551f43ca1ae4e19,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed19_local_v2
aggressive,19,long_2_20s,2000.0,20000.0,87.38849727924122,2440,2993,81.52355496157702,481,1005,47.86069651741293,1959,1988,98.54124748490946,66.42165051787504,32,135.55555555555554,2993,2440,135.55555555555554,86.36555782212645,23420.33454420663,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,96c8ba2cdf7a39935246d4ffcff2f05196fba744be54269bb551f43ca1ae4e19,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed19_local_v2
aggressive,19,full_population,0.0,23420.33454420663,86.3655578221254,3131,3840,81.53645833333333,601,1280,46.953125,2530,2560,98.828125,66.66666666666667,0,133.68724490634995,3840,3131,133.68724490634995,86.36555782212645,23420.33454420663,False,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,96c8ba2cdf7a39935246d4ffcff2f05196fba744be54269bb551f43ca1ae4e19,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed19_local_v2
aggressive,43,warm_2_4s,2000.0,4000.0,91.4040706979411,284,337,84.27299703264094,62,109,56.88073394495413,222,228,97.36842105263158,67.65578635014836,32,142.0,337,294,147.0,87.10257935658827,23222.16256088666,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,497f486c8966a0548c9fce71215daad2a95051089326ef35961c25518de341bc,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed43_local_v2
aggressive,43,long_2_20s,2000.0,20000.0,88.71249393939719,2494,3014,82.7471798274718,510,996,51.204819277108435,1984,2018,98.31516352824579,66.95421366954214,32,138.55555555555554,3014,2498,138.77777777777777,87.10257935658827,23222.16256088666,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,497f486c8966a0548c9fce71215daad2a95051089326ef35961c25518de341bc,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed43_local_v2
aggressive,43,full_population,0.0,23222.16256088666,87.10257935658719,3172,3840,82.60416666666667,660,1280,51.5625,2512,2560,98.125,66.66666666666667,0,136.59365236477305,3840,3172,136.59365236477305,87.10257935658827,23222.16256088666,False,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,497f486c8966a0548c9fce71215daad2a95051089326ef35961c25518de341bc,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/aggressive_seed43_local_v2
baseline,7,warm_2_4s,2000.0,4000.0,90.67794278896096,264,341,77.41935483870968,31,108,28.703703703703702,233,233,100.0,68.32844574780059,32,132.0,341,253,126.5,89.04979400331443,22714.373232754904,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,925babccab069971122c1fb14fdcad0845bc9b33a04b6f5301895272e1ba1615,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/baseline_seed7_remote_v2
