policy,control,seed,window,same_full_input,same_window_request_cohort,U_delta_pp,slo_delta_pp,A_delta_pp,B_delta_pp,B_admission_fraction_delta_pp
aggressive,baseline,7,warm_2_4s,True,False,-1.3837125926061873,7.1960297766749335,24.449449449449453,0.0,-1.168682434191112
aggressive,once,7,warm_2_4s,True,False,-1.9485801897881032,5.023547880690742,19.190889002209758,0.0,-1.9364465989269632
aggressive,baseline,7,long_2_20s,True,False,-2.3256702132664486,4.287578405445558,15.849385846522978,-1.477832512315274,0.08526711514623742
aggressive,once,7,long_2_20s,True,False,-1.9300768721371213,5.756617512335566,20.433219379936347,-1.477832512315274,0.018642684444060365
aggressive,baseline,7,full_population,True,True,-1.2275269929184986,4.21875,15.234375,-1.2890625,0.0
aggressive,once,7,full_population,True,True,-0.8361283219621498,5.729166666666671,19.765625,-1.2890625,0.0
aggressive,baseline,19,warm_2_4s,True,False,-3.2408678708177376,-0.6179775280898809,-2.4345146379044635,0.0,0.3102465202079543
aggressive,baseline,19,long_2_20s,True,False,-3.920403360551333,3.0230743463895777,12.566578870354107,-1.4587525150905378,-0.35181952377827486
aggressive,baseline,19,full_population,True,True,-3.0257473972568363,3.203125,11.953125,-1.171875,0.0
aggressive,baseline,43,warm_2_4s,True,False,-2.562208775286905,4.216016975660892,18.82763659982139,-2.631578947368425,-0.15048145611945074
aggressive,baseline,43,long_2_20s,True,False,-2.9619535906791867,4.3748632622683346,17.0584778136938,-1.6848364717542097,-0.20374852206310834
aggressive,baseline,43,full_population,True,True,-2.2597627133897333,5.208333333333343,19.375,-1.875,0.0
baseline,once,7,warm_2_4s,True,False,-0.5648675971819159,-2.172481895984191,-5.258560447239695,0.0,-0.7677641647358513
baseline,once,7,long_2_20s,True,False,0.3955933411293273,1.4690391068900084,4.583833533413369,0.0,-0.06662443070217705
baseline,once,7,full_population,True,True,0.39139867095634884,1.5104166666666714,4.53125,0.0,0.0
mild,baseline,7,warm_2_4s,True,False,-0.26350003358936647,5.176515367779999,17.16785592932382,0.0,-0.48183807818406876
mild,once,7,warm_2_4s,True,False,-0.8283676307712824,3.0040334717958075,11.909295482084126,0.0,-1.24960224291992
mild,baseline,7,long_2_20s,True,False,-1.3824050593554347,2.9247469757593905,8.611580225310462,-0.04875670404680932,0.20214179451944858
mild,once,7,long_2_20s,True,False,-0.9868117182261074,4.393786082649399,13.19541375872383,-0.04875670404680932,0.13551736381727153
mild,baseline,7,full_population,True,True,-0.8453965536910744,2.760416666666657,8.359375,-0.0390625,0.0
mild,once,7,full_population,True,True,-0.4539978827347255,4.270833333333329,12.890625,-0.0390625,0.0
mild,baseline,19,warm_2_4s,True,False,-3.4903979150315223,-0.7960190711165893,-2.2397094430992723,0.0,-0.08835394925482376
mild,baseline,19,long_2_20s,True,False,-2.57721489860171,2.0267022513694,6.660472678706228,-0.14836795252224988,-0.1507352805330413
mild,baseline,19,full_population,True,True,-1.8034111508464576,2.083333333333343,6.484375,-0.1171875,0.0
mild,baseline,43,warm_2_4s,True,False,-3.791701842038165,0.3584502100822675,1.9469026548672588,0.0,-0.4472173611639505
mild,baseline,43,long_2_20s,True,False,-2.3162518783680923,2.526928593969501,8.058226560418532,0.0,-0.20686274953108352
mild,baseline,43,full_population,True,True,-1.871040786201391,3.59375,10.78125,0.0,0.0
once,baseline,7,warm_2_4s,True,False,0.5648675971819159,2.172481895984191,5.258560447239695,0.0,0.7677641647358513
once,baseline,7,long_2_20s,True,False,-0.3955933411293273,-1.4690391068900084,-4.583833533413369,0.0,0.06662443070217705
once,baseline,7,full_population,True,True,-0.39139867095634884,-1.5104166666666714,-4.53125,0.0,0.0
static_aggressive,baseline,7,warm_2_4s,True,False,-5.297005022158984,13.6300278773397,48.866389754240224,-2.3041474654377936,-1.353137105825283
static_aggressive,once,7,warm_2_4s,True,False,-5.8618726193409,11.457545981355509,43.60782930700053,-2.3041474654377936,-2.1209012705611343
static_aggressive,baseline,7,long_2_20s,True,False,-5.3965001837328685,12.975434999086687,46.208575173188535,-3.36391437308869,-0.28901734104046284
static_aggressive,once,7,long_2_20s,True,False,-5.000906842603541,14.444474105976695,50.792408706601904,-3.36391437308869,-0.3556417717426399
static_aggressive,baseline,7,full_population,True,True,-4.590648541607763,11.276041666666657,42.578125,-4.375,0.0
static_aggressive,once,7,full_population,True,True,-4.199249870651414,12.786458333333329,47.109375,-4.375,0.0
static_aggressive,baseline,19,warm_2_4s,True,False,-8.478006789362766,7.544016241380518,24.512312120243045,-0.9302325581395365,0.12426056214778214
static_aggressive,baseline,19,long_2_20s,True,False,-6.995946184821847,8.969232088170116,39.808763011377394,-6.25978090766823,-0.4183298547374221
static_aggressive,baseline,19,full_population,True,True,-6.02013446848872,10.104166666666671,40.15625,-4.921875,0.0
static_aggressive,baseline,43,warm_2_4s,True,False,-6.276805888572113,16.273295172377743,53.20903857719736,-1.3392857142857082,0.6952612457199621
static_aggressive,baseline,43,long_2_20s,True,False,-4.411237539625233,14.641520761829952,50.52444042958948,-2.9131089904570615,0.03744786576903891
static_aggressive,baseline,43,full_population,True,True,-3.947404375726265,15.338541666666671,52.734375,-3.359375,0.0
