panel,strategy,input_fingerprint,start_ms,end_ms,compute_npu_ms,active_npu_ms,stall_npu_ms,idle_npu_ms,fleet_utilization,active_npu_ms_by_home_ssu
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,0,100,2282.1004242958943,3200.0,917.8995757041057,0.0,0.7131563825924669,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,100,200,2782.4421125834137,3200.0,417.55788741658625,0.0,0.8695131601823168,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,200,300,2813.5345189941263,3200.0,386.4654810058737,0.0,0.8792295371856644,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,300,400,2814.2995146727644,3200.0,385.7004853272356,0.0,0.8794685983352388,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,400,500,2801.449220261229,3200.0,398.55077973877087,0.0,0.8754528813316341,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,500,600,2787.9530266910806,3200.0,412.0469733089194,0.0,0.8712353208409627,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,600,700,2786.325503223284,3200.0,413.67449677671584,0.0,0.8707267197572763,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,700,800,2762.6201982957637,3200.0,437.37980170423634,0.0,0.8633188119674261,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,800,900,2774.176956894871,3200.0,425.8230431051288,0.0,0.8669302990296472,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,900,1000,2774.7476356058082,3200.0,425.2523643941918,0.0,0.8671086361268151,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1000,1100,2774.7476356058014,3200.0,425.2523643941986,0.0,0.867108636126813,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1100,1200,2774.7476356057978,3200.0,425.25236439420223,0.0,0.8671086361268118,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1200,1300,2774.7476356057973,3200.0,425.2523643942027,0.0,0.8671086361268117,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1300,1400,2774.7476356057978,3200.0,425.25236439420223,0.0,0.8671086361268118,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1400,1500,2762.049519584817,3200.0,437.95048041518294,0.0,0.8631404748702554,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1500,1600,2774.7476356057973,3200.0,425.2523643942027,0.0,0.8671086361268117,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1600,1700,2788.9604708243587,3200.0,411.0395291756413,0.0,0.8715501471326121,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1700,1800,2814.299514672746,3200.0,385.7004853272538,0.0,0.8794685983352332,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1800,1900,2814.299514672746,3200.0,385.7004853272538,0.0,0.8794685983352332,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1900,2000,2784.6824533392646,3200.0,415.3175466607354,0.0,0.8702132666685202,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,2000,2100,2801.0781166532543,3200.0,398.92188334674574,0.0,0.8753369114541419,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,2100,2200,2782.6838262635174,3200.0,417.3161737364826,0.0,0.8695886957073492,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,2200,2300,2762.0495195848343,3200.0,437.95048041516566,0.0,0.8631404748702607,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,2300,2400,2774.747635605818,3200.0,425.2523643941822,0.0,0.8671086361268181,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,2400,2500,2774.747635605818,3200.0,425.2523643941822,0.0,0.8671086361268181,"[400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0]"
