input_fingerprint,start_ms,end_ms,reference_suite,reference_input,reference_strategy,reference_result,candidate_suite,candidate_input,candidate_strategy,candidate_variant,candidate_assignment,candidate_result,reference_utilization,candidate_utilization,delta_utilization_percentage_points,delta_makespan_ms,delta_admission_slo_percentage_points,reference_all_active,candidate_all_active
045a0a2c92b28a3c6d7b5ef2c980b39667202018db266dbd4b4560b4b37eda81,1000.0,2000.0,grid,m3_long512,baseline_native,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/grid/runs/m3_long512/baseline_native/aligned_fixed_local_exact_npu4_ssu1_seed42_045a0a2c92b2_baseline_native_d70038071a.json.gz,grid,m3_long512,once_native,once_native,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/grid/runs/m3_long512/once_native/aligned_fixed_local_exact_npu4_ssu1_seed42_045a0a2c92b2_once_native_f042c2145f.json.gz,0.7561864065206162,1.0,24.381359347938382,-1043.749291116982,24.649050371593727,True,True
045a0a2c92b28a3c6d7b5ef2c980b39667202018db266dbd4b4560b4b37eda81,2000.0,3000.0,grid,m3_long512,baseline_native,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/grid/runs/m3_long512/baseline_native/aligned_fixed_local_exact_npu4_ssu1_seed42_045a0a2c92b2_baseline_native_d70038071a.json.gz,grid,m3_long512,once_native,once_native,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/grid/runs/m3_long512/once_native/aligned_fixed_local_exact_npu4_ssu1_seed42_045a0a2c92b2_once_native_f042c2145f.json.gz,0.7603188403084113,1.0,23.968115969158866,-1043.749291116982,24.649050371593727,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,cross_environment,strong32_local,once,once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_once_d8f13cde8c.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,deadline,deadline,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/deadline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_deadline_2214bb75d3.json.gz,0.5220962719092338,1.0,47.79037280907662,-2616.0741959030765,35.86413586413587,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,new_once,new_once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/new_once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_new_once_d6233f2cac.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,stall_interchange,stall_interchange,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/stall_interchange/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_stall_interchange_76d3e974c4.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.7524033005375,35.889110889110896,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy1,strategy1_fixed,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy1_fixed/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy1_fc5c4aa4c9.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.6449228073734,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy1,strategy1_pipeline,pipeline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy1_pipeline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy1_6c75d74ceb.json.gz,0.5220962719092338,0.04225725271928055,-47.98390191899532,10860.878377486808,34.05760905760906,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy2,strategy2_fixed,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy2_fixed/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy2_6c3a50412c.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.6449228073734,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy2,strategy2_pipeline,pipeline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy2_pipeline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy2_b602b12632.json.gz,0.5220962719092338,0.04226918556916458,-47.98270863400692,12630.13834200135,22.073759573759578,True,True
