input,short_npu_count,long_nql,rho_ssu,capacity_feasible,nominal_gib_s,rho_link_max,short_compute_ms,long_compute_ms,short_nominal_gib_s,long_nominal_gib_s,short_construction,long_construction,long_run_compute_utilization_relaxation,long_ssd_service_ms,request_count,exact_blocks,partial_tail_commands_present,compute_scale,minimum_lane_ideal_compute_ms,input_fingerprint,manifest_sha256
m1_long1024,1,1024,0.6197106541813622,True,24.78842616725449,0.15041867905517575,0.5279088447555552,34.100781654707006,2.2256243089780816,7.52093395275879,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,1.0,6.4117431640625,906,True,False,1.0,3648.905934950329,15624d31ae7ea0373747aa234e8e47421fc5c4f349e920035c7a9628b5b93b69,a3164559a5497e7a8e6ae90297927b6c2fe2bd2f0005bfc2d681ccbef98dea54
m1_long1536,1,1536,0.43123663215667235,True,17.249465286266894,0.10015893984859177,0.5279088447555552,51.078483903770376,2.2256243089780816,5.007946992429588,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,1.0,6.39495849609375,958,True,False,1.0,3919.19526346516,3a7a29daaf0641723171917f55b73f709e300e048fdcc5eeb9b49b8ef52d37d7,185e41a0c5330bb933d7529248a8a42fa990cc42b577221eddcadeb34e430f19
m1_long256,1,256,2.273135923487542,False,90.92543693950168,0.5913320842034905,0.5279088447555552,8.708365857991268,2.2256243089780816,29.566604210174557,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,0.5694006946359338,6.436920166015625,909,True,False,1.0,3243.4719421780824,61418eb5996cbda794f87678ffb07c21cae9e3c14438d46dca0c588e800d5349,b19a08847b06bbed68969906ee0bed072db5b89418cf6778c81182bb54ca8333
m1_long384,1,384,1.5497540080319783,False,61.990160321279134,0.3984302400820068,0.5279088447555552,12.916136079830524,2.2256243089780816,19.921512004100354,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,0.7240400186899341,6.4327239990234375,882,True,False,1.0,3306.821003548746,e20eec545727ffab4ef846b522b6a529146f1fff698389620f7380472a083932,cef771d05892a13f9582bb7d817dd981b2d4cbf55954eb041816c217335b395e
m1_long512,1,512,1.1818779951722682,False,47.27511980689073,0.3003299699860841,0.5279088447555552,17.12390630166978,2.2256243089780816,15.0164984993042,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,0.8788812217570597,6.42852783203125,874,True,False,1.0,3374.3933356774537,110e9a6ebf952b6fe5a470cb012f369e5ab9988e8b0acbfb911ad1cbf72b7750,d53fd80988d37a1017f82968763bde0cffae6261ef08a4cbd1111153f66ab4c7
m1_long768,1,768,0.8076376334766795,True,32.30550533906718,0.20053254020059377,0.5279088447555552,25.612343978188395,2.2256243089780816,10.026627010029689,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,1.0,6.420135498046875,886,True,False,1.0,3513.7612706929135,d5517e731c0a893b5be49a7f0d4a6a67e113c0c615227e80624c6de39d934412,af678ee2cf7ee0414cf544262125f5b8a123aa634bf69693b828e7fe66297148
m2_long1024,2,1024,0.4873279130868456,True,19.493116523473823,0.15041867905517575,0.5279088447555552,34.100781654707006,2.2256243089780816,7.52093395275879,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,1.0,6.4117431640625,1756,True,False,1.0,3648.905934950329,f918fd99fb9b779fc704f8177455465ea778bbb17826c6277d51fdbcf81c174f,b1a8d8aa8464007724b09ddd742141f2242cf75410fa0aeace3bd0adc967ba96
m2_long1536,2,1536,0.3616785650703858,True,14.467142602815432,0.10015893984859177,0.5279088447555552,51.078483903770376,2.2256243089780816,5.007946992429588,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,1.0,6.39495849609375,1876,True,False,1.0,3919.19526346516,22b6f474c57a2d79f13797fb50977ecce164ae6a69957923c557035ce74ef141,42b6c3d3524ad300377ecd25aa3b8014142e850ca592e6b84f72f613dc6e6dcf
m2_long256,2,256,1.589611425957632,False,63.58445703830528,0.5913320842034905,0.5279088447555552,8.708365857991268,2.2256243089780816,29.566604210174557,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,0.8005819600498008,6.436920166015625,1630,True,False,1.0,3243.4719421780824,588ce6d9774e8329159eac00ce9ad4f4ede673fa90252de79125246d9f371284,45f660bfab2b11ad06b068bed348e4e5acb3bab78479cbe2a991d305b0eb5784
m2_long384,2,384,1.1073568156539229,False,44.29427262615691,0.3984302400820068,0.5279088447555552,12.916136079830524,2.2256243089780816,19.921512004100354,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,0.9461101066867691,6.4327239990234375,1632,True,False,1.0,3306.821003548746,451de3ba72e5dbbd6171c7078d560a00806b8fcdde308d7c981c7d90baa41dea,89e3c3643770b3c3e7ac51b247b89fd77dd587123014a9321e0e33a37a78a3c4
m2_long512,2,512,0.862106140414116,True,34.48424561656464,0.3003299699860841,0.5279088447555552,17.12390630166978,2.2256243089780816,15.0164984993042,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,1.0,6.42852783203125,1648,True,False,1.0,3374.3933356774537,49f87446517abcaa936946b4bd679a0532a385a8dfdb337819539a477fedad0a,57d359a5e375fdd0447b09d393bf480ea9659b24b43c213d399359d8e5d084d7
m2_long768,2,768,0.6126125659503905,True,24.50450263801562,0.20053254020059377,0.5279088447555552,25.612343978188395,2.2256243089780816,10.026627010029689,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,1.0,6.420135498046875,1700,True,False,1.0,3513.7612706929135,32b65467402bc671e6e9eaddf3768bf0db8bb101f72a4997e06fa9da1025f193,3f337647722fc1954300c9723e2f4c95c9185839646bcfa13e6a08f777016eff
m3_long1024,3,1024,0.35494517199232894,True,14.197806879693157,0.15041867905517575,0.5279088447555552,34.100781654707006,2.2256243089780816,7.52093395275879,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,1.0,6.4117431640625,2606,True,False,1.0,3648.905934950329,b5cf67e5f1d5db032a96cc60c9cae5ef0295146d26b5583fb885e97b489b1b1b,9aee365b12e99d7e218491689f190082b05538d1ab272ca0e7ad5881820d5bda
m3_long1536,3,1536,0.29212049798409934,True,11.684819919363974,0.10015893984859177,0.5279088447555552,51.078483903770376,2.2256243089780816,5.007946992429588,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,1.0,6.39495849609375,2794,True,False,1.0,3919.19526346516,b0daf13869c77b597d4ee06c920e40d43086e21583b118078c78b6cf6d45db83,6c3cd2878b22bf1d679371f02d996eed1fb933a7118bf115529d4ec90058c054
m3_long256,3,256,0.9060869284277218,True,36.24347713710887,0.5913320842034905,0.5279088447555552,8.708365857991268,2.2256243089780816,29.566604210174557,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,1.0,6.436920166015625,2351,True,False,1.0,3243.4719421780824,ec541d557a539769a1abcd2e083ac48e7c55c4e245070ffd761e3dc6ff871c2e,d962d342d777d333f8e7737b5b7d275a967c31f75570602904755b045ebffc03
m3_long384,3,384,0.6649596232758672,True,26.59838493103469,0.3984302400820068,0.5279088447555552,12.916136079830524,2.2256243089780816,19.921512004100354,piecewise_linear_nql_then_linear_seq_extrapolation,piecewise_linear_nql_then_linear_seq_extrapolation,1.0,6.4327239990234375,2382,True,False,1.0,3306.821003548746,8d5905b2cd7cbe676c55f0d3891c424f5bd1874fe1b94e73e99d02538b344db9,b6d7bac32b53aa39e3424b142fc1d2e6ad41dce8220f1691cd7c80f98f10082d
m3_long512,3,512,0.5423342856559639,True,21.693371426238556,0.3003299699860841,0.5279088447555552,17.12390630166978,2.2256243089780816,15.0164984993042,piecewise_linear_nql_then_linear_seq_extrapolation,direct_data_row,1.0,6.42852783203125,2422,True,False,1.0,3374.3933356774537,045a0a2c92b28a3c6d7b5ef2c980b39667202018db266dbd4b4560b4b37eda81,fc5faf32ae2bd1a4200d933da97d120fa997b72fd8f58da41cdd31e2ae795dbd
