experiment,case,ssu,seed,strategy,seq_len_k,nql,share_of_total_compute,request_count,compute_ms,processing_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,mean_io_stall_ms,mean_admission_wait_ms,admission_slo_passed,arrival_slo_passed
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,32,128,0.00855656167132576,128,1206.2985819289636,11174.170725198936,0.10795419289671607,0.14208076211502227,0.05537659670431329,77.87400111929676,1084.3389527971196,2,0
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,32,256,0.00725432155228549,64,1022.7096043384022,5410.633123317787,0.18901847178122458,0.2766185558643207,0.09210720295106191,68.56130498405261,1100.9169487121403,5,0
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,64,512,0.023194043825860464,64,3269.8814373178748,6043.423706477822,0.5410644025857323,0.6036943915753865,0.30474484391982914,43.336597955623695,1166.6947634289813,24,0
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,96,512,0.03294291466210599,64,4644.271001362178,6891.549727251839,0.6739080736799945,0.7129939021625873,0.425170011638633,35.11373009202555,1126.4298464060005,34,0
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,192,512,0.12437905906521143,128,17534.880052909888,19051.1545016875,0.9204103641780186,0.9277417248207387,0.6482593425913828,11.845894131074992,1116.5902854772153,127,1
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,192,1024,0.18576762192341098,96,26189.400310814995,26887.437208064533,0.9740385484920753,0.9751705341535631,0.8946883707831912,7.271217679682383,1020.3909800786265,96,9
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,192,2048,0.6179054772998038,160,87111.91827562709,88076.55420323726,0.9890477558263205,0.9892933803812921,0.9451496757607308,6.028974547564085,975.1956292776451,160,13
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,32,128,0.00855656167132576,128,1206.2985819289636,1286.0951374763263,0.9379543913804499,0.9725982794830134,0.3891961732173915,0.6234105902138996,1102.8078844571696,122,0
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,32,256,0.00725432155228549,64,1022.7096043384022,1043.367190998251,0.9802010386773955,0.986273445408852,0.6178208954452694,0.32277479155985705,1113.6207525693496,63,1
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,64,512,0.023194043825860464,64,3269.8814373178748,3290.838483515222,0.9936317001571705,0.994034656749551,0.8911731050734853,0.32745384683310963,1187.6183752172992,64,3
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,96,512,0.03294291466210599,64,4644.271001362178,12434.820718711066,0.3734891806179238,0.4010087036390144,0.27293442343545504,121.72733933357603,1079.2660528555382,1,0
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,192,512,0.12437905906521143,128,17534.880052909888,27952.578913095458,0.6273081316548936,0.6527037718631065,0.4562738046778859,81.38827234519974,1056.8871239150708,47,0
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,192,1024,0.18576762192341098,96,26189.400310814995,28552.569879656206,0.9172344353309866,0.9214635730897904,0.7669957040763681,24.616349675428932,1002.8996623314948,96,10
coflow,npu32_ssu5_arrival218_seed20260906_new_once,5,20260906,new_once,192,2048,0.6179054772998038,160,87111.91827562709,89611.15080336476,0.972110250729602,0.9728866826118636,0.9009798291920015,15.620203298360295,956.874135482654,160,16
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,32,128,0.00855656167132576,128,1206.2985819289636,1322.853733893507,0.9118911267525466,0.9641737164507334,0.29493456962485143,0.910587124723121,1102.760126112263,122,0
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,32,256,0.00725432155228549,64,1022.7096043384022,1048.2529965866652,0.9756324166671235,0.9861356813752705,0.4989828367830539,0.39911550387880695,1112.4625990797745,62,0
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,64,512,0.023194043825860464,64,3269.8814373178748,3290.004553468366,0.9938835597873938,0.9942299915736069,0.8978746853041044,0.3144236898510018,1201.4825758133206,64,2
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,96,512,0.03294291466210599,64,4644.271001362178,11596.972545342733,0.40047270813168273,0.4423176377067694,0.2317342861751305,108.63596162469571,1094.9841601840956,4,0
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,192,512,0.12437905906521143,128,17534.880052909888,27553.129770073858,0.6364024776580902,0.6685326947146837,0.339730871364891,78.26757591534356,1063.2460340642535,60,0
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,192,1024,0.18576762192341098,96,26189.400310814995,29354.395148212265,0.8921798653517812,0.8996269576744774,0.6922753064710669,32.96869622288787,1002.7312897445796,96,10
coflow,npu32_ssu5_arrival218_seed20260906_once,5,20260906,once,192,2048,0.6179054772998038,160,87111.91827562709,89821.57141557231,0.9698329354826289,0.9710732340710557,0.8482192494764316,16.935332124657457,963.0211408211295,160,16
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,32,128,0.00855656167132576,128,1206.2985819289636,1507.2452320273537,0.8003333208799771,0.8402184710283362,0.32754810018695285,2.3511457038938017,1032.2267279890996,117,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,32,256,0.00725432155228549,64,1022.7096043384022,1162.1446188819473,0.8800192228419128,0.8962548848091983,0.5400922293657521,2.178672102242478,1093.7141174435374,61,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,64,512,0.023194043825860464,64,3269.8814373178748,3648.899063466937,0.8961282240049289,0.9018788486184648,0.6837068772076894,5.922150408578727,1129.0269595331283,64,3
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,96,512,0.03294291466210599,64,4644.271001362178,5546.081455839248,0.8373968248288908,0.8477890921726601,0.6785260817893459,14.090788351203779,1118.745598658995,64,2
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,192,512,0.12437905906521143,128,17534.880052909888,24282.752260904424,0.7221125457488315,0.7731919663498127,0.27967274182322355,52.717751624957145,1130.1165056250643,101,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,192,1024,0.18576762192341098,96,26189.400310814995,31954.58549287569,0.8195819131077119,0.8506820123217298,0.32242695465064025,60.0540123131319,1007.8554316590498,85,5
coflow,npu32_ssu5_arrival218_seed20260906_strategy1,5,20260906,strategy1,192,2048,0.6179054772998038,160,87111.91827562709,93370.74470683774,0.9329680142226359,0.9370282601855969,0.6436527503411019,39.11766519506696,885.4342720457759,159,14
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,32,128,0.00855656167132576,128,1206.2985819289636,1396.9565676560073,0.8635190311986907,0.8953495469791747,0.37596425052884636,1.4895155134926543,1044.1083872832257,121,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,32,256,0.00725432155228549,64,1022.7096043384022,1111.507842761562,0.9201101107819997,0.938547061804667,0.4989581048882141,1.387472475361462,1077.7143214586476,61,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,64,512,0.023194043825860464,64,3269.8814373178748,3564.4211748813987,0.9173667411586611,0.9218405875972331,0.7135712045704459,4.602183399429668,1152.516973528232,64,3
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,96,512,0.03294291466210599,64,4644.271001362178,6127.422439059403,0.7579485579053862,0.782936558687421,0.48032410367106965,23.17424121401873,1143.2966728129998,52,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,192,512,0.12437905906521143,128,17534.880052909888,24771.021359427934,0.7078787668250931,0.7634124554314343,0.24817526415388483,56.53235395717216,1097.198657042266,95,0
coflow,npu32_ssu5_arrival218_seed20260906_strategy2,5,20260906,strategy2,192,1024,0.18576762192341098,96,26189.400310814995,31512.00234767227,0.8310928649302273,0.8587228033309909,0.3467969579923843,55.44377121726313,1045.5212301733595,85,5
