experiment,case,ssu,seed,strategy,start_ms,end_ms,seq_len_k,nql,compute_ms,active_ms,share_of_fleet_time_compute,share_of_fleet_time_active,profile_compute_fraction,all_cards_active
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,32,128,211.36568534207257,2584.2869003884935,0.006605177666939768,0.08075896563714043,0.0817887848714855,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,32,256,131.8336599342466,954.838724831629,0.004119801872945207,0.029838710150988403,0.13806903355065897,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,64,512,426.6397610849215,1078.458554876497,0.013332492533903796,0.03370182983989053,0.39560144351933807,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,96,512,671.2422931656276,1253.939183295713,0.020976321661425865,0.03918559947799103,0.5353068969432869,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,192,512,3013.807509093879,3592.9691751423848,0.09418148465918372,0.11228028672319952,0.8388069482879562,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,192,1024,6363.865203915493,6735.108138844234,0.19887078762235916,0.21047212933888232,0.9448794396057837,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0,1000,192,2048,15334.777213406054,15800.39932262105,0.4792117879189392,0.4937624788319078,0.9705309910396773,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,32,128,244.5303607580281,2431.195422355546,0.007641573773688379,0.07597485694861081,0.10058029828022076,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,32,256,209.7353680772096,1228.034072292862,0.0065542302524128,0.03837606475915194,0.17078953492358137,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,64,512,589.1273896879501,1260.0795611926767,0.01841023092774844,0.03937748628727115,0.46753189864482503,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,96,512,1097.5718577437838,1768.3162350525902,0.034299120554493245,0.055259882345393446,0.6206875421867863,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,192,512,3722.3533806995947,4153.536211391385,0.11632354314686233,0.1297980066059808,0.8961889800047392,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,192,1024,4614.990887157054,4696.635626025946,0.14421846522365794,0.14676986331331082,0.9826163353153339,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,1000,2000,192,2048,16329.821269709699,16462.202871688994,0.510306914678428,0.5144438397402811,0.9919584515504325,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,2000,3000,32,128,216.1039376758331,1269.415984489809,0.006753248052369785,0.03966924951530653,0.17023886599528476,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,2000,3000,32,256,233.70512442891504,847.1027369734668,0.007303285138403595,0.02647196053042084,0.27588758037059113,True
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,2000,3000,64,512,670.265465344158,884.0760944444455,0.020945795792004937,0.027627377951388924,0.7581535905745236,True
