label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,seq_len_k,nql,compute_ms,active_ms,fleet_time_compute_share,fleet_time_active_share,profile_active_compute_fraction,all_active
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,4219.7744274841225,6397.001184819536,0.13186795085887884,0.1999062870256105,0.6596488425698431,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,6071.556713251098,8051.108674516839,0.1897361472890968,0.2515971460786512,0.7541267865963147,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,7494.016158690033,9081.997290350197,0.23418800495906353,0.28381241532344365,0.8251506710591705,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,7908.007020171492,8469.892850313427,0.2471252193803591,0.2646841515722946,0.9336608101103495,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,4842.1939321475875,6871.419638728952,0.1513185603796121,0.21473186371027975,0.7046861037064063,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,6373.761405287574,8030.371921591697,0.1991800439152367,0.25094912254974056,0.7937068752880667,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,7995.380848166386,9323.221903273548,0.24985565150519956,0.2913506844772984,0.8575770190945543,True
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,7260.197009424225,7774.9865364058005,0.22688115654450702,0.24296832926268128,0.9337890137081124,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,4767.801417376924,4934.1640485854505,0.1489937942930289,0.15419262651829532,0.9662835224831611,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,6938.827649963265,7079.91281589065,0.216838364061352,0.2212472754965828,0.9800724712865498,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,8401.256018693712,8498.82249315755,0.2625392505841785,0.2655882029111734,0.9885200009127866,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8908.887101281514,11487.100642366353,0.27840272191504734,0.35897189507394855,0.7755557628200841,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5581.065860332873,5778.042787197249,0.17440830813540228,0.18056383709991403,0.9659094032150767,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,6813.749442718938,6921.65655764334,0.2129296700849668,0.21630176742635437,0.9844102182727855,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,8998.7929919364,9104.740342418303,0.2812122809980125,0.28452313570057197,0.9883634956629896,True
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8335.796460830943,10195.560312741098,0.260493639400967,0.3186112597731593,0.8175908145444384,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,4874.942186133374,4874.942186133374,0.15234194331666795,0.15234194331666795,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,7047.005606001996,7047.005606001996,0.22021892518756236,0.22021892518756236,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,8433.035292913388,8433.035292913388,0.2635323529035434,0.2635323529035434,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8963.534739878738,11645.016914951244,0.2801104606212106,0.36390677859222637,0.7697313628089536,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5609.270129478737,5609.270129478737,0.17528969154621052,0.17528969154621052,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,6836.327303268493,6836.327303268493,0.2136352282271404,0.2136352282271404,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,9228.223560001008,9228.223560001008,0.28838198625003153,0.28838198625003153,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8343.335226355153,10326.179007251765,0.26072922582359853,0.32269309397661766,0.8079789455999048,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,5300.063269135078,5306.725472374634,0.1656269771604712,0.1658351710117073,0.9987445736030182,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,7053.977952877535,7059.849374873301,0.22043681102742296,0.22062029296479066,0.9991683360814095,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,9123.346863304403,9129.922518003601,0.2851045894782626,0.28531007868761254,0.9992797688385382,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8435.470454451062,10503.502634748465,0.2636084517015957,0.3282344573358895,0.8031102335847676,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5487.109459448935,5491.614145210198,0.17147217060777922,0.1716129420378187,0.9991797155367894,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,7067.064836555779,7069.427723891911,0.22084577614236808,0.22091961637162222,0.9996657597434447,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,9046.856075396321,9049.363736650084,0.282714252356135,0.28279261677031514,0.9997228908764484,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8614.596595344576,10389.594394247797,0.269206143604518,0.3246748248202437,0.8291561988323674,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,5315.678049363156,5330.599542667902,0.1661149390425986,0.16658123570837194,0.9972007851677266,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,7001.732874483599,7015.383220943256,0.21880415232761247,0.21923072565447674,0.9980542265433332,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,9035.813301111959,9053.232193671784,0.28236916565974873,0.28291350605224325,0.9980759476629794,True
