case,num_ssu,seq_len_k,nql,category,role,C_ms_per_layer,V_MiB_per_layer,requests_per_npu,requests_total,request_fraction,compute_fraction,direct_data_row
V38,8,32,128,SS,short,1.1780259589150035,43.828125,28,896,0.30434782608695654,0.043226630151582755,True
V38,8,48,256,SS,short,2.6685683140655256,65.65625,28,896,0.30434782608695654,0.09792077557661541,True
V38,8,64,512,SL,short,6.386487182261469,87.3125,28,896,0.30434782608695654,0.23434655009615035,True
V38,8,192,1024,LL,long,34.100781654707006,262.625,2,64,0.021739130434782608,0.08937844980122221,True
V38,8,192,2048,LL,long,68.05618615283375,261.25,6,192,0.06521739130434782,0.53512759437443,True
E72,8,1,128,SS,short,0.5279088447555552,1.203125,188,6016,0.3230240549828179,0.17844471070318849,False
E72,8,1,256,SS,short,0.697245498420034,1.03125,188,6016,0.3230240549828179,0.23568419527480206,False
E72,8,1,384,SS,short,0.8994548097364616,0.859375,188,6016,0.3230240549828179,0.3040353555514574,False
E72,8,192,256,LS,long,8.708365857991268,263.65625,18,576,0.030927835051546393,0.281835738470554,True
A6,6,1,128,SS,short,0.5279088447555552,1.203125,195,6240,0.32663316582914576,0.1984240331622796,False
A6,6,1,256,SS,short,0.697245498420034,1.03125,195,6240,0.32663316582914576,0.26207225977585047,False
A6,6,1,384,SS,short,0.8994548097364616,0.859375,195,6240,0.32663316582914576,0.3380762659465585,False
A6,6,192,256,LS,long,8.708365857991268,263.65625,12,384,0.020100502512562814,0.20142744111530944,True
B6,6,32,128,SS,short,1.1780259589150035,43.828125,18,576,0.2727272727272727,0.02358663517782539,True
B6,6,48,256,SS,short,2.6685683140655256,65.65625,18,576,0.2727272727272727,0.05343052654708904,True
B6,6,64,512,SL,short,6.386487182261469,87.3125,18,576,0.2727272727272727,0.12787132753390193,True
B6,6,192,1024,LL,long,34.100781654707006,262.625,3,96,0.045454545454545456,0.11379527053731196,True
B6,6,192,2048,LL,long,68.05618615283375,261.25,9,288,0.13636363636363635,0.6813162402038717,True
