case,group_type,group,input_count,categories,mean_C_ms_per_layer,min_C_ms_per_layer,max_C_ms_per_layer,mean_C_ms_per_8_layer_request,mean_V_MiB_per_layer,min_V_MiB_per_layer,max_V_MiB_per_layer,mean_V_MiB_per_8_layer_request,demand_GiBps_ratio_of_sums,min_request_demand_GiBps,max_request_demand_GiBps,total_input_compute_NPU_ms,total_input_read_GiB
high,category,LL,448,LL,37.80147032385999,9.070841799535495,68.05618615283375,302.4117625908799,243.57142857142858,131.3125,263.3125,1948.5714285714287,6.292419876169436,3.748769473388672,15.0164984993042,135480.4696407142,852.5
high,category,SL,64,SL,6.386487182261469,6.386487182261469,6.386487182261469,51.09189745809175,87.3125,87.3125,87.3125,698.5,13.351019245458986,13.351019245458986,13.351019245458986,3269.881437317872,43.65625
high,category,SS,192,SS,1.45117720460115,1.1780259589150035,1.9974796959734433,11.6094176368092,43.770833333333336,43.65625,43.828125,350.1666666666667,29.455365128086893,21.343424279388426,36.332733584014896,2229.0081862673665,65.65625
low4,category,LL,117,LL,17.39221793721841,17.11350245757665,17.654433656452195,139.13774349774727,263.21796645466077,263.1285400390625,263.30712890625,2105.743731637286,14.779529344317215,14.563595783136055,15.016318384667478,16279.11598923643,240.59767246246338
low4,category,LS,105,LS,16.835840248848392,16.590792621298718,17.089561416234776,134.68672199078713,263.24531017485117,263.14599609375,263.3299560546875,2105.9624813988094,15.269537749101216,15.044878373845327,15.493560671989115,14142.105809032648,215.94341850280762
low4,category,SS,30737,SS,0.5288699986612104,0.509657622289839,0.5505504864426145,4.230959989289683,1.2033673693604208,1.095703125,1.310546875,9.626938954883366,2.2220270569626988,1.9540173719377918,2.499907172673222,130047.017190797,288.96799087524414
low5,category,LL,174,LL,17.387437805083472,17.11350245757665,17.654433656452195,139.09950244066778,263.2183206492457,263.12451171875,263.30712890625,2105.7465651939656,14.7836124068767,14.563595783136055,15.016332606625367,24203.313424676195,357.81240463256836
low5,category,LS,159,LS,16.831387380810238,16.589840300946566,17.089561416234776,134.6510990464819,263.2421184035967,263.14599609375,263.3299560546875,2105.9369472287735,15.273392230672867,15.044878373845327,15.493560671989115,21409.52474839062,326.9960689544678
low5,category,SS,27189,SS,0.5288845477596917,0.509657622289839,0.5505504864426145,4.231076382077534,1.2033597841009922,1.095703125,1.310546875,9.626878272807938,2.221951925309564,1.9540173719377918,2.499907172673222,115038.73575230608,255.61054039001465
low6,category,LL,217,LL,17.394737200588104,17.11350245757665,17.654433656452195,139.15789760470483,263.2161173315092,263.12451171875,263.30712890625,2105.728938652074,14.77728502692535,14.563568251232962,15.016332606625367,30197.26378022095,446.2335739135742
low6,category,LS,190,LS,16.82794438814461,16.589046700653103,17.089561416234776,134.62355510515687,263.2419478567023,263.14599609375,263.3299560546875,2105.9355828536186,15.276507265196326,15.044878373845327,15.493560671989115,25578.475469979803,390.7497663497925
low6,category,SS,24826,SS,0.5288664211309871,0.509657622289839,0.5505504864426145,4.230931369047897,1.2033178756174223,1.095703125,1.310546875,9.626543004939379,2.2219506967272404,1.9540173719377918,2.499907172673222,105037.10216798309,233.38726234436035
