case,group,window_start_ms,window_end_ms,input_count,warm_active_npus,warm_compute_NPU_ms,warm_stall_NPU_ms,per_npu_conditional_U,pooled_conditional_U,occupancy_share,fleet_U
high,P1,1000,2000,128,19,243.85137349540219,989.2599418481364,0.31024758246781314,0.1977529282727135,0.03853472860448558,0.9326046448453305
high,P2,1000,2000,64,13,239.697563516811,447.4991027194924,0.5225171268338887,0.3488048986465648,0.02147489581988448,0.9326046448453305
high,P3,1000,2000,64,11,715.2865644132726,352.31879402637765,0.7306510435450592,0.6699915458074261,0.03336266745123907,0.9326046448453305
high,P4,1000,2000,64,12,1140.911866961759,179.15306740388905,0.8692219523574729,0.8642846554438776,0.0412520291989265,0.9326046448453305
high,P5,1000,2000,128,21,4143.232074428917,117.156581522122,0.9743460590836913,0.972500963883078,0.13313714549846997,0.9326046448453305
high,P6,1000,2000,96,17,4338.1017432884055,11.701032442266296,0.997590243137156,0.9973099855222055,0.1359313367415835,0.9326046448453305
high,P7,1000,2000,160,32,19022.267448946004,59.56284498714376,0.99719032523735,0.9968785570320222,0.5963071966854109,0.9326046448453305
low4,L,1566.7396150429704,2566.7396150429704,222,6,6000.0,0.0,1.0,1.0,0.1875,0.6405520297691528
low4,S,1566.7396150429704,2566.7396150429704,30737,26,14497.664952612891,11502.335047387109,0.5576024981774188,0.5576024981774189,0.8125,0.6405520297691528
low5,L,1569.007715423868,2569.007715423868,333,9,9000.0,0.0,1.0,1.0,0.28125,0.6021688756383028
low5,S,1569.007715423868,2569.007715423868,27189,23,10269.404020425689,12730.595979574311,0.44649582697503,0.44649582697502993,0.71875,0.6021688756383028
low6,L,1572.1530782324462,2572.153078232446,407,11,11000.0,0.0,1.0,1.0,0.34375,0.6739492321055213
low6,S,1572.1530782324462,2572.153078232446,24826,21,10566.37542737668,10433.62457262332,0.5031607346369849,0.5031607346369849,0.65625,0.6739492321055213
