order,policy,window,ssu_id,seed_count,seeds,complete_seed_set,seed_interpretation,mean_capacity_GiB_s,min_capacity_GiB_s,max_capacity_GiB_s,mean_mean_demand_GiB_s,min_mean_demand_GiB_s,max_mean_demand_GiB_s,mean_maximum_demand_GiB_s,min_maximum_demand_GiB_s,max_maximum_demand_GiB_s,mean_minimum_demand_GiB_s,min_minimum_demand_GiB_s,max_minimum_demand_GiB_s,mean_overload_percent,min_overload_percent,max_overload_percent,mean_at_or_above_capacity_percent,min_at_or_above_capacity_percent,max_at_or_above_capacity_percent,mean_actual_GiB_s,min_actual_GiB_s,max_actual_GiB_s,mean_busy_percent,min_busy_percent,max_busy_percent
ordered,asu_baseline,full_population,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,23.325663374182355,23.325507230330803,23.325888763104437,37.773144253710946,37.7487417366211,37.82194928789063,0.5829833478637696,0.5820060078002931,0.5834720178955078,0.0,0.0,0.0,0.0,0.0,0.0,23.27254307569498,23.272508233565063,23.272589686497195,58.18135768923745,58.181270583912664,58.18147421624299
ordered,asu_baseline,full_population,1,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,25.571425236762476,25.571304166339953,25.57150452942064,41.1387394107422,41.10164758476563,41.183640042187506,0.6469991220214845,0.6274523207519532,0.6567725226562501,15.388573923849131,15.387666140362677,15.389434960693167,15.388573923849131,15.387666140362677,15.389434960693167,25.51246112889653,25.51242293330775,25.512512225859837,63.78115282224132,63.78105733326937,63.7812805646496
ordered,asu_baseline,full_population,2,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,25.086262628665867,25.08610143274182,25.086469740972074,40.19387394902344,40.13530790800782,40.28757961464844,0.5995981289428712,0.5893360582763673,0.620122270275879,10.88096892483192,10.858107744108597,10.913207885321215,10.88096892483192,10.858107744108597,10.913207885321215,25.029543016509038,25.029505543913686,25.02959314627248,62.57385754127259,62.573763859784215,62.573982865681195
ordered,asu_baseline,long_2_6s,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,24.830386150609694,24.83035760641895,24.83043683872773,37.67260588330078,37.67260588330078,37.67260588330078,16.943362698120115,16.90747743988037,16.96820633843994,0.0,0.0,0.0,0.0,0.0,0.0,25.09936124518798,25.099361245187975,25.099361245187982,62.748403112969946,62.74840311296994,62.74840311296996
ordered,asu_baseline,long_2_6s,1,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,27.21700632335447,27.216941814296227,27.217064612167814,40.712183412011726,40.712183412011726,40.712183412011726,18.101812444885255,18.08340974835205,18.13861783795166,19.375341054339074,19.374293679257697,19.3767039752782,19.375341054339074,19.374293679257697,19.3767039752782,27.432327343244438,27.432327343244435,27.43232734324444,68.5808183581111,68.58081835811107,68.5808183581111
ordered,asu_baseline,long_2_6s,2,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,26.65813122571676,26.65802094366685,26.65821619554719,40.05917205468751,40.05917205468751,40.05917205468751,18.00979896221924,17.961951951232912,18.072368130432128,10.024870556487818,10.024557510630075,10.025289339853702,10.024870556487818,10.024557510630075,10.025289339853702,26.938900066633106,26.9389000666331,26.938900066633114,67.34725016658275,67.34725016658274,67.34725016658278
ordered,asu_baseline,warm_2_4s,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,26.755795420507198,26.755686048472793,26.75590185206834,37.152440681103506,37.13562527409667,37.18607149511718,16.943362698120115,16.90747743988037,16.96820633843994,0.0,0.0,0.0,0.0,0.0,0.0,27.12175843392279,27.12175843392279,27.12175843392279,67.80439608480698,67.80439608480698,67.80439608480698
ordered,asu_baseline,warm_2_4s,1,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,29.175431912649312,29.175303533370684,29.175507606988727,40.52633198697509,40.51191878096923,40.555158398986805,18.101812444885255,18.08340974835205,18.13861783795166,18.63016564576762,18.630025773534545,18.630445390233763,18.63016564576762,18.630025773534545,18.630445390233763,29.502503977003443,29.50250397700344,29.50250397700345,73.7562599425086,73.75625994250859,73.75625994250862
ordered,asu_baseline,warm_2_4s,2,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,28.668368621183266,28.6682032198601,28.66849515300129,39.68676273713378,39.614696707104486,39.74801886265868,18.00979896221924,17.961951951232912,18.072368130432128,0.0,0.0,0.0,0.0,0.0,0.0,29.0227899280634,29.022789928063396,29.022789928063407,72.55697482015852,72.5569748201585,72.55697482015852
ordered,od_baseline,full_population,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,40.0,40,40,23.294885826614834,23.294885826614834,23.294885826614834,37.67260588330078,37.67260588330078,37.67260588330078,0.5776079775146485,0.5776079775146485,0.5776079775146485,0.0,0.0,0.0,0.0,0.0,0.0,23.173444007969255,23.17344400796926,23.17344400796926,57.93361001992315,57.93361001992315,57.93361001992315
