order,policy,window,dimension,value,seed_count,seeds,complete_seed_set,seed_interpretation,mean_active_U_percent,min_active_U_percent,max_active_U_percent,mean_compute_ms,min_compute_ms,max_compute_ms,mean_active_ms,min_active_ms,max_active_ms,mean_cohort_count,min_cohort_count,max_cohort_count,mean_admission_latency_mean_ms,min_admission_latency_mean_ms,max_admission_latency_mean_ms,mean_admission_latency_p50_ms,min_admission_latency_p50_ms,max_admission_latency_p50_ms,mean_admission_latency_p95_ms,min_admission_latency_p95_ms,max_admission_latency_p95_ms,mean_admission_latency_minimum_ms,min_admission_latency_minimum_ms,max_admission_latency_minimum_ms,mean_admission_latency_maximum_ms,min_admission_latency_maximum_ms,max_admission_latency_maximum_ms,mean_admission_normalized_mean,min_admission_normalized_mean,max_admission_normalized_mean,mean_admission_normalized_p50,min_admission_normalized_p50,max_admission_normalized_p50,mean_admission_normalized_p95,min_admission_normalized_p95,max_admission_normalized_p95,mean_admission_normalized_minimum,min_admission_normalized_minimum,max_admission_normalized_minimum,mean_admission_normalized_maximum,min_admission_normalized_maximum,max_admission_normalized_maximum,mean_admission_slo1_count,min_admission_slo1_count,max_admission_slo1_count,mean_admission_slo1_passed,min_admission_slo1_passed,max_admission_slo1_passed,mean_admission_slo1_percent,min_admission_slo1_percent,max_admission_slo1_percent,mean_admission_slo1p5_count,min_admission_slo1p5_count,max_admission_slo1p5_count,mean_admission_slo1p5_passed,min_admission_slo1p5_passed,max_admission_slo1p5_passed,mean_admission_slo1p5_percent,min_admission_slo1p5_percent,max_admission_slo1p5_percent,mean_arrival_latency_mean_ms,min_arrival_latency_mean_ms,max_arrival_latency_mean_ms,mean_arrival_latency_p50_ms,min_arrival_latency_p50_ms,max_arrival_latency_p50_ms,mean_arrival_latency_p95_ms,min_arrival_latency_p95_ms,max_arrival_latency_p95_ms,mean_arrival_latency_minimum_ms,min_arrival_latency_minimum_ms,max_arrival_latency_minimum_ms,mean_arrival_latency_maximum_ms,min_arrival_latency_maximum_ms,max_arrival_latency_maximum_ms,mean_arrival_normalized_mean,min_arrival_normalized_mean,max_arrival_normalized_mean,mean_arrival_normalized_p50,min_arrival_normalized_p50,max_arrival_normalized_p50,mean_arrival_normalized_p95,min_arrival_normalized_p95,max_arrival_normalized_p95,mean_arrival_normalized_minimum,min_arrival_normalized_minimum,max_arrival_normalized_minimum,mean_arrival_normalized_maximum,min_arrival_normalized_maximum,max_arrival_normalized_maximum,mean_arrival_slo1_count,min_arrival_slo1_count,max_arrival_slo1_count,mean_arrival_slo1_passed,min_arrival_slo1_passed,max_arrival_slo1_passed,mean_arrival_slo1_percent,min_arrival_slo1_percent,max_arrival_slo1_percent,mean_arrival_slo1p5_count,min_arrival_slo1p5_count,max_arrival_slo1p5_count,mean_arrival_slo1p5_passed,min_arrival_slo1p5_passed,max_arrival_slo1p5_passed,mean_arrival_slo1p5_percent,min_arrival_slo1p5_percent,max_arrival_slo1p5_percent
ordered,asu_baseline,full_population,category,LL,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.92742956902039,99.92711223175137,99.9277902479857,159441.7297432579,159441.72974325786,159441.7297432579,159557.52132538243,159556.94541786573,159558.02802894972,256.0,256,256,623.2715676772751,623.269318038538,623.2735469880848,471.21836344401044,471.17919921875,471.29669189453125,915.9373744307095,915.9373744307095,915.9373744307095,372.65086947459713,372.65086947459713,372.65086947459713,916.5830538241729,916.437586701777,916.7900647291208,1.0009800628907393,1.0009773410486955,1.0009849752740017,0.9999999999999979,0.999999999999998,0.999999999999998,1.0056546142545046,1.005618239587581,1.0057006999336735,0.9999999999999963,0.9999999999999963,0.9999999999999963,1.0276265984289552,1.0275411896191409,1.027797416048584,256.0,256,256,222.66666666666666,222,223,86.97916666666667,86.71875,87.109375,256.0,256,256,256.0,256,256,100.0,100.0,100.0,5829.8346728030565,5829.830304737152,5829.841364990704,5599.005177740488,5598.988426405852,5599.017699574797,8344.905069340179,8344.820500401001,8344.968334644727,3733.9887399395884,3733.9719886049534,3734.0012617738985,8363.866246474208,8363.849495139573,8363.878768308517,9.965387109999236,9.965381964201573,9.965397123002933,9.131482653683246,9.131464364949647,9.131496324742708,14.203527945687725,14.203343518895307,14.203665913803476,6.518648811498849,6.518626300457762,6.518665638786511,14.244446234753175,14.24440970367042,14.24447354219914,256.0,256,256,0.0,0,0,0.0,0.0,0.0,256.0,256,256,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,category,SL,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.67112823004925,99.67106861619725,99.67117747629142,107221.23181451515,107221.23181451515,107221.23181451515,107575.01567260434,107574.96252115577,107575.08001383155,384.0,384,384,280.1432699807405,280.1431315655098,280.1434375360197,228.74273596704643,228.74273596704643,228.74273596704643,486.44082678401537,486.44082678401537,486.44082678401537,114.9528209770001,114.9528209770001,114.9528209770001,486.44082678401537,486.44082678401537,486.44082678401537,1.008014697878749,1.008013493774061,1.008016155479161,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0955107579745456,1.0953404088481493,1.0956324359219713,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.098187672817914,1.098187672817914,1.098187672817914,384.0,384,384,352.0,352,352,91.66666666666667,91.66666666666667,91.66666666666667,384.0,384,384,384.0,384,384,100.0,100.0,100.0,1475.6140351698211,1475.6123741870533,1475.6160458331715,1100.3823505384971,1100.3823505384971,1100.3823505384971,3361.642725266424,3361.6231431537935,3361.656712489731,125.62719723839321,125.6104459037578,125.63971907270312,3361.9504441791846,3361.950444179184,3361.950444179184,4.847132568341748,4.847125175918587,4.8471415170645225,4.478569121814041,4.478569121814041,4.478569121814041,9.79796080415911,9.797880484375652,9.79801817543301,1.0928587586687322,1.0927130351058563,1.0929676888733455,9.79922297218489,9.79922297218489,9.79922297218489,384.0,384,384,0.0,0,0,0.0,0.0,0.0,384.0,384,384,32.0,32,32,8.333333333333334,8.333333333333334,8.333333333333334
ordered,asu_baseline,full_population,length,128,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.9913551737261,99.99115935248032,99.99159364115631,71474.52614997956,71474.52614997956,71474.52614997956,71480.70553302346,71480.53506026011,71480.84551957603,128.0,128,128,558.4430119767458,558.4416801582821,558.4441056216878,376.1266608490385,376.10990951440317,376.1391826833483,744.1386016188335,744.1386016188335,744.1386016188335,372.65086947459713,372.65086947459713,372.65086947459713,744.1386016188335,744.1386016188335,744.1386016188335,1.0001295486848,1.0001259747807179,1.0001324834557386,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,0.9999999999999963,0.9999999999999963,0.9999999999999963,1.0093272058625289,1.0092822540429909,1.0093608079156449,128.0,128,128,124.33333333333333,124,125,97.13541666666667,96.875,97.65625,128.0,128,128,128.0,128,128,100.0,100.0,100.0,4572.155318283677,4572.152001673173,4572.159343182862,4110.72797450282,4110.711223168185,4110.74049633713,5595.504209364092,5595.504209364092,5595.504209364092,3733.9887399395884,3733.9719886049534,3734.0012617738985,5599.005177740488,5598.988426405852,5599.017699574797,8.77051746523754,8.770510786723946,8.770525570001093,7.524142902357382,7.524120391316295,7.524159729645044,11.021648793996418,11.021648793996418,11.021648793996418,6.518648811498849,6.518626300457762,6.518665638786511,11.031043561762104,11.030998609942566,11.03107716381522,128.0,128,128,0.0,0,0,0.0,0.0,0.0,128.0,128,128,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,length,160,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.8755493208759,99.87478143201638,99.87636111824081,87967.20359327832,87967.20359327832,87967.20359327833,88076.81579235899,88076.0998982897,88077.4929686896,128.0,128,128,688.1001233778046,688.0945304553883,688.1054138178876,471.21836344401044,471.17919921875,471.29669189453125,916.2823285230661,916.2487591871286,916.324290192988,458.5501817142649,458.5501817142649,458.5501817142649,916.5830538241729,916.437586701777,916.7900647291208,1.0018305770966787,1.0018232612433027,1.0018439757672855,0.9999999999999979,0.999999999999998,0.999999999999998,1.0178041738664416,1.0174776448146046,1.0179994666960406,0.9999999999999978,0.9999999999999978,0.9999999999999978,1.0276265984289552,1.0275411896191409,1.027797416048584,128.0,128,128,98.33333333333333,98,99,76.82291666666667,76.5625,77.34375,128.0,128,128,128.0,128,128,100.0,100.0,100.0,7087.514027322436,7087.501266291441,7087.530728308236,6531.793409365159,6531.776658030524,6531.805931199469,8353.052724135341,8353.04436513469,8353.069442136642,6053.466994366117,6053.450243031482,6053.4795162004275,8363.866246474208,8363.849495139573,8363.878768308517,11.160256754760931,11.160238915585314,11.160283459281922,9.131482653683246,9.131464364949647,9.131496324742708,14.220403654790408,14.22007712573857,14.220598947620005,8.109675134861535,8.109656846127935,8.109688805920998,14.244446234753175,14.24440970367042,14.24447354219914,128.0,128,128,0.0,0,0,0.0,0.0,0.0,128.0,128,128,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,length,32,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,98.41709567272052,98.41681235352424,98.41732971939321,21996.515644418974,21996.515644418974,21996.515644418974,22350.299502508165,22350.2463510596,22350.36384373538,128.0,128,128,174.61171486334504,174.61129961765312,174.61221752918266,126.23977095258594,126.23977095258593,126.23977095258593,228.74273596704643,228.74273596704643,228.74273596704643,114.9528209770001,114.9528209770001,114.9528209770001,228.74273596704643,228.74273596704643,228.74273596704643,1.0240440936362483,1.0240404813221842,1.024048466437484,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0979686525125476,1.0979686525125476,1.0979686525125476,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.098187672817914,1.098187672817914,1.098187672817914,128.0,128,128,96.0,96,96,75.0,75.0,75.0,128.0,128,128,128.0,128,128,100.0,100.0,100.0,383.78023425032217,383.7785732675544,383.78224491367257,241.19259192958603,241.19259192958603,241.19259192958603,698.6528868617257,698.6528868617257,698.6528868617257,125.62719723839321,125.6104459037578,125.63971907270312,698.6780638636789,698.6780638636789,698.6780638636789,2.074796470489851,2.0747856151830026,2.0748096111244574,2.054427328194297,2.054427328194297,2.054427328194297,3.0543172613025704,3.0543172613025704,3.0543172613025704,1.0928587586687322,1.0927130351058563,1.0929676888733455,3.0544273281942984,3.054427328194298,3.054427328194298,128.0,128,128,0.0,0,0,0.0,0.0,0.0,128.0,128,128,32.0,32,32,25.0,25.0,25.0
ordered,asu_baseline,full_population,length,64,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,38489.18419346686,38489.18419346686,38489.18419346686,38489.18419346686,38489.18419346686,38489.18419346686,128.0,128,128,300.69675151145987,300.69675151145987,300.69675151145987,200.8521433374093,200.8521433374093,200.8521433374093,400.54135968551054,400.54135968551054,400.54135968551054,200.85214333740896,200.85214333740896,200.85214333740896,400.54135968551054,400.54135968551054,400.54135968551054,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.000000000000001,1.000000000000001,1.000000000000001,1.0000000000000013,1.0000000000000013,1.0000000000000013,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0000000000000013,1.0000000000000013,1.0000000000000013,128.0,128,128,128.0,128,128,100.0,100.0,100.0,128.0,128,128,128.0,128,128,100.0,100.0,100.0,1350.344130057979,1350.3424690752113,1350.3461407213294,1100.3823505384971,1100.3823505384971,1100.3823505384971,1901.439892907565,1901.439892907565,1901.439892907565,898.9176334868952,898.9008821522597,898.930155321205,1901.4650699095182,1901.4650699095182,1901.4650699095182,4.612039270728506,4.612033062466675,4.612046785992828,4.478569121814041,4.478569121814041,4.478569121814041,5.478443770889054,5.478443770889054,5.478443770889054,3.7457084024676064,3.745666580732521,3.7457396647430423,5.478569121814043,5.478569121814043,5.478569121814043,128.0,128,128,0.0,0,0,0.0,0.0,0.0,128.0,128,128,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,length,80,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,46735.53197662931,46735.53197662931,46735.53197662931,46735.53197662931,46735.53197662931,46735.53197662931,128.0,128,128,365.1213435674165,365.1213435674165,365.1213435674165,243.8018603508183,243.8018603508183,243.8018603508183,486.44082678401537,486.44082678401537,486.44082678401537,243.80186035081715,243.80186035081715,243.80186035081715,486.44082678401537,486.44082678401537,486.44082678401537,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.999999999999999,0.999999999999999,0.999999999999999,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999943,0.9999999999999943,0.9999999999999994,0.9999999999999994,0.9999999999999994,128.0,128,128,128.0,128,128,100.0,100.0,100.0,128.0,128,128,128.0,128,128,100.0,100.0,100.0,2692.717741201162,2692.7160802183944,2692.7197518645125,2389.0687906111534,2389.0687906111534,2389.0687906111534,3361.9252671772315,3361.925267177231,3361.925267177231,2144.654356546144,2144.6376052115083,2144.6668783804535,3361.9504441791846,3361.950444179184,3361.950444179184,7.854561963806887,7.854556850106083,7.854568154076282,6.911324582695691,6.911324582695691,6.911324582695691,9.79911970389187,9.79911970389187,9.79911970389187,5.910065285201601,5.9100308486705515,5.910091026943701,9.79922297218489,9.79922297218489,9.79922297218489,128.0,128,128,0.0,0,0,0.0,0.0,0.0,128.0,128,128,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,profile,128:2048,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.97409697734918,99.97351032773868,99.97481139011542,23849.655646374216,23849.655646374216,23849.655646374216,23855.835029418115,23855.664556654767,23855.97501597069,64.0,64,64,372.74742233465804,372.74475869773073,372.749609624542,372.65086947459713,372.65086947459713,372.65086947459713,372.7067470068261,372.6508694745976,372.7808936098545,372.65086947459713,372.65086947459713,372.65086947459713,376.1266608490385,376.10990951440317,376.1391826833483,1.0002590973695988,1.0002519495614344,1.000264966911476,0.9999999999999963,0.9999999999999963,0.9999999999999963,1.0001499460669618,0.9999999999999976,1.0003489167634019,0.9999999999999963,0.9999999999999963,0.9999999999999963,1.0093272058625289,1.0092822540429909,1.0093608079156449,64.0,64,64,60.333333333333336,60,61,94.27083333333333,93.75,95.3125,64.0,64,64,64.0,64,64,100.0,100.0,100.0,3920.888649700903,3920.885333090399,3920.8926746000884,3738.0771050282224,3738.0603536935873,3738.0896268625324,4107.295472159631,4107.239594627402,4107.369618762659,3733.9887399395884,3733.9719886049534,3734.0012617738985,4110.72797450282,4110.711223168185,4110.74049633713,10.521614118944564,10.52160521889689,10.521624919668552,10.031043561762107,10.03099860994257,10.031077163815223,11.021832521014959,11.021682574947995,11.0220314917114,10.020072528487992,10.020027576668454,10.020106130541107,11.031043561762104,11.030998609942566,11.03107716381522,64.0,64,64,0.0,0,0,0.0,0.0,0.0,64.0,64,64,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,profile,128:4096,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,47624.87050360534,47624.87050360534,47624.87050360534,47624.87050360534,47624.87050360534,47624.87050360534,64.0,64,64,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,64.0,64,64,64.0,64,64,100.0,100.0,100.0,64.0,64,64,64.0,64,64,100.0,100.0,100.0,5223.421986866451,5223.418670255947,5223.426011765637,4854.866576121653,4854.849824787018,4854.8790979559635,5595.572675397297,5595.516797865069,5595.646822000326,4850.778211033019,4850.761459698384,4850.790732867329,5599.005177740488,5598.988426405852,5599.017699574797,7.0194208115305186,7.019416354551003,7.019426220333632,6.52414290235738,6.524120391316294,6.524159729645042,7.519530183254083,7.5194550930328425,7.519629824104412,6.518648811498849,6.518626300457762,6.518665638786511,7.524142902357382,7.524120391316295,7.524159729645044,64.0,64,64,0.0,0,0,0.0,0.0,0.0,64.0,64,64,0.0,0,0,0.0,0.0,0.0
ordered,asu_baseline,full_population,profile,160:2048,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.64257136883737,99.63954024216952,99.64512153819582,29347.211629712954,29347.211629712954,29347.211629712954,29452.483253136044,29451.729474245883,29453.37920908291,64.0,64,64,460.1950508302507,460.18327303509193,460.20905014192044,458.5501817142649,458.5501817142649,458.5501817142649,471.16241455078125,471.15821838378906,471.1708068847656,458.5501817142649,458.5501817142649,458.5501817142649,471.21836344401044,471.17919921875,471.29669189453125,1.0035871081979195,1.0035614233424153,1.0036176377064183,0.9999999999999978,0.9999999999999978,0.9999999999999978,1.027504585843506,1.0274954348995973,1.0275228877313234,0.9999999999999978,0.9999999999999978,0.9999999999999978,1.0276265984289552,1.0275411896191409,1.027797416048584,64.0,64,64,45.333333333333336,45,46,70.83333333333333,70.3125,71.875,64.0,64,64,64.0,64,64,100.0,100.0,100.0,6285.104960673139,6285.096579122877,6285.120517494911,6060.614210146409,6060.597458811774,6060.626731980719,6526.272652325771,6526.216736765876,6526.342621775641,6053.466994366117,6053.450243031482,6053.4795162004275,6531.793409365159,6531.776658030524,6531.805931199469,13.706471420808521,13.706453142437697,13.706505346913866,13.216905045134034,13.21686851405128,13.21693235258,14.232406642883973,14.232284702991404,14.232559231308665,13.201318494162507,13.201281963079754,13.201345801608474,14.244446234753175,14.24440970367042,14.24447354219914,64.0,64,64,0.0,0,0,0.0,0.0,0.0,64.0,64,64,0.0,0,0,0.0,0.0,0.0
