order,policy,seed,window,dimension,value,active_U_percent,compute_ms,active_ms,cohort_count,admission_latency_mean_ms,admission_latency_p50_ms,admission_latency_p95_ms,admission_latency_minimum_ms,admission_latency_maximum_ms,admission_normalized_mean,admission_normalized_p50,admission_normalized_p95,admission_normalized_minimum,admission_normalized_maximum,admission_slo1_count,admission_slo1_passed,admission_slo1_percent,admission_slo1p5_count,admission_slo1p5_passed,admission_slo1p5_percent,arrival_latency_mean_ms,arrival_latency_p50_ms,arrival_latency_p95_ms,arrival_latency_minimum_ms,arrival_latency_maximum_ms,arrival_normalized_mean,arrival_normalized_p50,arrival_normalized_p95,arrival_normalized_minimum,arrival_normalized_maximum,arrival_slo1_count,arrival_slo1_passed,arrival_slo1_percent,arrival_slo1p5_count,arrival_slo1p5_passed,arrival_slo1p5_percent
ordered,asu_baseline,19,warm_2_4s,length,128,99.9695967791437,20418.827609589556,20425.03747884423,64,372.74789868170143,372.65086947459713,372.6884779360262,372.65086947459713,376.1391826833483,1.000260375635886,0.9999999999999963,1.0001009214374856,0.9999999999999963,1.0093608079156449,64,60,93.75,64,64,100.0,3920.887941412222,3738.0896268625324,4107.277203088831,3734.0012617738985,4110.74049633713,10.521612218268249,10.031077163815223,11.021783496385485,10.020106130541107,11.03107716381522,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,warm_2_4s,length,160,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,19,warm_2_4s,length,32,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,19,warm_2_4s,length,64,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,19,warm_2_4s,length,80,100.0,43574.96252115577,43574.96252115577,96,405.56117130628263,486.44082678401537,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999978,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999994,96,96,100.0,96,96,100.0,2875.2767520021025,2875.3207898805204,3361.9336595112154,2388.4687387312706,3361.950444179184,7.539986523408452,6.910936400815694,9.79915412665621,5.910091026943701,9.79922297218489,96,0,0.0,96,0,0.0
ordered,asu_baseline,19,warm_2_4s,category,LL,99.9695967791437,20418.827609589556,20425.03747884423,64,372.74789868170143,372.65086947459713,372.6884779360262,372.65086947459713,376.1391826833483,1.000260375635886,0.9999999999999963,1.0001009214374856,0.9999999999999963,1.0093608079156449,64,60,93.75,64,64,100.0,3920.887941412222,3738.0896268625324,4107.277203088831,3734.0012617738985,4110.74049633713,10.521612218268249,10.031077163815223,11.021783496385485,10.020106130541107,11.03107716381522,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,warm_2_4s,category,SL,100.0,43574.96252115577,43574.96252115577,96,405.56117130628263,486.44082678401537,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999978,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999994,96,96,100.0,96,96,100.0,2875.2767520021025,2875.3207898805204,3361.9336595112154,2388.4687387312706,3361.950444179184,7.539986523408452,6.910936400815694,9.79915412665621,5.910091026943701,9.79922297218489,96,0,0.0,96,0,0.0
ordered,asu_baseline,19,warm_2_4s,profile,128:2048,99.9695967791437,20418.827609589556,20425.03747884423,64,372.74789868170143,372.65086947459713,372.6884779360262,372.65086947459713,376.1391826833483,1.000260375635886,0.9999999999999963,1.0001009214374856,0.9999999999999963,1.0093608079156449,64,60,93.75,64,64,100.0,3920.887941412222,3738.0896268625324,4107.277203088831,3734.0012617738985,4110.74049633713,10.521612218268249,10.031077163815223,11.021783496385485,10.020106130541107,11.03107716381522,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,warm_2_4s,profile,128:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,19,warm_2_4s,profile,160:2048,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
