request_id,runtime_request_id,npu_id,sequence,original_sequence,total_tokens_k,total_tokens,nql,hit_tokens,arrival_ms,per_layer_compute_ms,per_layer_read_GiB,per_layer_SSU0_read_GiB,per_layer_SSU1_read_GiB,per_layer_SSU2_read_GiB
0,0,0,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.011749267578125,0.0152740478515625,0.0132598876953125
1,1,0,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0132598876953125,0.013427734375,0.0135955810546875
2,2,0,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.009735107421875,0.014434814453125,0.013427734375
3,3,0,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0139312744140625,0.0146026611328125,0.009063720703125
4,4,0,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.0273590087890625,0.0283660888671875,0.02752685546875
5,5,0,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.027191162109375,0.0276947021484375,0.0283660888671875
6,6,0,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.025177001953125,0.0260162353515625,0.0293731689453125
7,7,0,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.02215576171875,0.029876708984375,0.028533935546875
8,8,0,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.029205322265625,0.0391082763671875,0.0364227294921875
9,9,0,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.035247802734375,0.033233642578125,0.0362548828125
10,10,0,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0322265625,0.0337371826171875,0.0360870361328125
11,11,0,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0310516357421875,0.0370941162109375,0.033905029296875
12,12,0,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.054046630859375,0.0562286376953125,0.0589141845703125
13,13,0,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.05706787109375,0.052703857421875,0.059417724609375
14,14,0,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.047332763671875,0.062103271484375,0.05706787109375
15,15,0,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.05303955078125,0.05975341796875,0.0537109375
16,16,0,16,16,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.06982421875,0.0699920654296875,0.0723419189453125
17,17,0,17,17,160,163840,2048,161792,0.0,57.31877271428324,0.212158203125,0.064453125,0.076202392578125,0.071502685546875
18,18,0,18,18,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.062774658203125,0.0706634521484375,0.0760345458984375
19,19,0,19,19,160,163840,4096,159744,0.0,114.4921718038388,0.20947265625,0.063446044921875,0.076873779296875,0.06915283203125
20,20,1,0,0,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0139312744140625,0.014434814453125,0.0119171142578125
21,21,1,1,1,32,32768,2048,30720,0.0,14.369102622125,0.040283203125,0.0129241943359375,0.015106201171875,0.0122528076171875
22,22,1,2,2,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.0115814208984375,0.014434814453125,0.0115814208984375
23,23,1,3,3,32,32768,4096,28672,0.0,28.592841995880782,0.03759765625,0.012420654296875,0.013092041015625,0.0120849609375
24,24,1,4,4,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.025848388671875,0.0293731689453125,0.0280303955078125
25,25,1,5,5,64,65536,2048,63488,0.0,25.106517917176127,0.083251953125,0.02685546875,0.0290374755859375,0.0273590087890625
26,26,1,6,6,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.02618408203125,0.0313873291015625,0.0229949951171875
27,27,1,7,7,64,65536,4096,61440,0.0,50.06766996068876,0.08056640625,0.0260162353515625,0.02685546875,0.0276947021484375
28,28,1,8,8,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.0322265625,0.037261962890625,0.035247802734375
29,29,1,9,9,80,81920,2048,79872,0.0,30.475232543852318,0.104736328125,0.033233642578125,0.0337371826171875,0.0377655029296875
30,30,1,10,10,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.0337371826171875,0.0340728759765625,0.03424072265625
31,31,1,11,11,80,81920,4096,77824,0.0,60.80510334800196,0.10205078125,0.029541015625,0.035919189453125,0.036590576171875
32,32,1,12,12,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.058074951171875,0.056732177734375,0.05438232421875
33,33,1,13,13,128,131072,2048,129024,0.0,46.58135868432481,0.169189453125,0.0542144775390625,0.0537109375,0.0612640380859375
34,34,1,14,14,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.04766845703125,0.0599212646484375,0.0589141845703125
35,35,1,15,15,128,131072,4096,126976,0.0,93.01732520235409,0.16650390625,0.0537109375,0.05706787109375,0.05572509765625
