order,policy,window,seed_count,seeds,complete_seed_set,seed_interpretation,mean_start_ms,min_start_ms,max_start_ms,mean_end_ms,min_end_ms,max_end_ms,mean_U_percent,min_U_percent,max_U_percent,mean_admitted_in_window,min_admitted_in_window,max_admitted_in_window,mean_completed_in_window,min_completed_in_window,max_completed_in_window,mean_completed_after_window,min_completed_after_window,max_completed_after_window,mean_timely_completions_per_second,min_timely_completions_per_second,max_timely_completions_per_second,mean_total_completions_per_second,min_total_completions_per_second,max_total_completions_per_second,mean_any_disk_overload_percent,min_any_disk_overload_percent,max_any_disk_overload_percent,mean_any_disk_at_or_above_capacity_percent,min_any_disk_at_or_above_capacity_percent,max_any_disk_at_or_above_capacity_percent,mean_makespan_ms,min_makespan_ms,max_makespan_ms,mean_cohort_count,min_cohort_count,max_cohort_count,mean_admission_latency_mean_ms,min_admission_latency_mean_ms,max_admission_latency_mean_ms,mean_admission_latency_p50_ms,min_admission_latency_p50_ms,max_admission_latency_p50_ms,mean_admission_latency_p95_ms,min_admission_latency_p95_ms,max_admission_latency_p95_ms,mean_admission_latency_minimum_ms,min_admission_latency_minimum_ms,max_admission_latency_minimum_ms,mean_admission_latency_maximum_ms,min_admission_latency_maximum_ms,max_admission_latency_maximum_ms,mean_admission_normalized_mean,min_admission_normalized_mean,max_admission_normalized_mean,mean_admission_normalized_p50,min_admission_normalized_p50,max_admission_normalized_p50,mean_admission_normalized_p95,min_admission_normalized_p95,max_admission_normalized_p95,mean_admission_normalized_minimum,min_admission_normalized_minimum,max_admission_normalized_minimum,mean_admission_normalized_maximum,min_admission_normalized_maximum,max_admission_normalized_maximum,mean_admission_slo1_count,min_admission_slo1_count,max_admission_slo1_count,mean_admission_slo1_passed,min_admission_slo1_passed,max_admission_slo1_passed,mean_admission_slo1_percent,min_admission_slo1_percent,max_admission_slo1_percent,mean_admission_slo1p5_count,min_admission_slo1p5_count,max_admission_slo1p5_count,mean_admission_slo1p5_passed,min_admission_slo1p5_passed,max_admission_slo1p5_passed,mean_admission_slo1p5_percent,min_admission_slo1p5_percent,max_admission_slo1p5_percent,mean_arrival_latency_mean_ms,min_arrival_latency_mean_ms,max_arrival_latency_mean_ms,mean_arrival_latency_p50_ms,min_arrival_latency_p50_ms,max_arrival_latency_p50_ms,mean_arrival_latency_p95_ms,min_arrival_latency_p95_ms,max_arrival_latency_p95_ms,mean_arrival_latency_minimum_ms,min_arrival_latency_minimum_ms,max_arrival_latency_minimum_ms,mean_arrival_latency_maximum_ms,min_arrival_latency_maximum_ms,max_arrival_latency_maximum_ms,mean_arrival_normalized_mean,min_arrival_normalized_mean,max_arrival_normalized_mean,mean_arrival_normalized_p50,min_arrival_normalized_p50,max_arrival_normalized_p50,mean_arrival_normalized_p95,min_arrival_normalized_p95,max_arrival_normalized_p95,mean_arrival_normalized_minimum,min_arrival_normalized_minimum,max_arrival_normalized_minimum,mean_arrival_normalized_maximum,min_arrival_normalized_maximum,max_arrival_normalized_maximum,mean_arrival_slo1_count,min_arrival_slo1_count,max_arrival_slo1_count,mean_arrival_slo1_passed,min_arrival_slo1_passed,max_arrival_slo1_passed,mean_arrival_slo1_percent,min_arrival_slo1_percent,max_arrival_slo1_percent,mean_arrival_slo1p5_count,min_arrival_slo1p5_count,max_arrival_slo1p5_count,mean_arrival_slo1p5_passed,min_arrival_slo1p5_passed,max_arrival_slo1p5_passed,mean_arrival_slo1p5_percent,min_arrival_slo1p5_percent,max_arrival_slo1p5_percent,mean_SSU0_mean_demand_GiB_s,min_SSU0_mean_demand_GiB_s,max_SSU0_mean_demand_GiB_s,mean_SSU0_maximum_demand_GiB_s,min_SSU0_maximum_demand_GiB_s,max_SSU0_maximum_demand_GiB_s,mean_SSU0_overload_percent,min_SSU0_overload_percent,max_SSU0_overload_percent,mean_SSU0_actual_GiB_s,min_SSU0_actual_GiB_s,max_SSU0_actual_GiB_s,mean_SSU1_mean_demand_GiB_s,min_SSU1_mean_demand_GiB_s,max_SSU1_mean_demand_GiB_s,mean_SSU1_maximum_demand_GiB_s,min_SSU1_maximum_demand_GiB_s,max_SSU1_maximum_demand_GiB_s,mean_SSU1_overload_percent,min_SSU1_overload_percent,max_SSU1_overload_percent,mean_SSU1_actual_GiB_s,min_SSU1_actual_GiB_s,max_SSU1_actual_GiB_s,mean_SSU2_mean_demand_GiB_s,min_SSU2_mean_demand_GiB_s,max_SSU2_mean_demand_GiB_s,mean_SSU2_maximum_demand_GiB_s,min_SSU2_maximum_demand_GiB_s,max_SSU2_maximum_demand_GiB_s,mean_SSU2_overload_percent,min_SSU2_overload_percent,max_SSU2_overload_percent,mean_SSU2_actual_GiB_s,min_SSU2_actual_GiB_s,max_SSU2_actual_GiB_s,all_seeds_all_npus_active,all_seeds_strict_underload_all_disks
ordered,asu_baseline,full_population,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,0.0,0.0,0.0,8363.866246474208,8363.849495139573,8363.878768308517,99.63355825078334,99.63340908593405,99.63375779924105,640.0,640,640,640.0,640,640,0.0,0,0,76.51963591253993,76.51952135234397,76.51978916788481,76.51963591253993,76.51952135234397,76.51978916788481,15.388573923849131,15.387666140362677,15.389434960693167,15.388573923849131,15.387666140362677,15.389434960693167,8363.866246474208,8363.849495139573,8363.878768308517,640.0,640,640,417.39458905935436,417.3936717198303,417.3954813168457,376.1266608490385,376.10990951440317,376.1391826833483,915.9373744307092,915.9373744307086,915.9373744307095,114.9528209770001,114.9528209770001,114.9528209770001,916.5830538241729,916.437586701777,916.7900647291208,1.0052008438835451,1.0051990326839149,1.0052036833970972,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0276265984289552,1.0275411896191409,1.027797416048584,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.098187672817914,1.098187672817914,1.098187672817914,640.0,640,640,574.6666666666666,574,575,89.79166666666667,89.6875,89.84375,640.0,640,640,640.0,640,640,100.0,100.0,100.0,3217.3022902231155,3217.300333188404,3217.306173496185,2389.0687906111534,2389.0687906111534,2389.0687906111534,7447.9288720435,7447.912120708864,7447.941393877809,125.62719723839321,125.6104459037578,125.63971907270312,8363.866246474208,8363.849495139573,8363.878768308517,6.894434385004743,6.894427891231781,6.894443759439888,6.52414290235738,6.524120391316294,6.524159729645042,13.216905045134034,13.21686851405128,13.21693235258,1.0928587586687322,1.0927130351058563,1.0929676888733455,14.244446234753175,14.24440970367042,14.24447354219914,640.0,640,640,0.0,0,0,0.0,0.0,0.0,640.0,640,640,32.0,32,32,5.0,5.0,5.0,23.325663374182355,23.325507230330803,23.325888763104437,37.773144253710946,37.7487417366211,37.82194928789063,0.0,0.0,0.0,23.27254307569498,23.272508233565063,23.272589686497195,25.571425236762476,25.571304166339953,25.57150452942064,41.1387394107422,41.10164758476563,41.183640042187506,15.388573923849131,15.387666140362677,15.389434960693167,25.51246112889653,25.51242293330775,25.512512225859837,25.086262628665867,25.08610143274182,25.086469740972074,40.19387394902344,40.13530790800782,40.28757961464844,10.88096892483192,10.858107744108597,10.913207885321215,25.029543016509038,25.029505543913686,25.02959314627248,False,False
ordered,asu_baseline,long_2_6s,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,2000.0,2000.0,2000.0,6000.0,6000.0,6000.0,99.98959038053084,99.98936133649981,99.98992994874578,256.0,256,256,256.0,256,256,32.0,32,32,64.0,64.0,64.0,64.0,64.0,64.0,19.375341054339074,19.374293679257697,19.3767039752782,19.375341054339074,19.374293679257697,19.3767039752782,8363.866246474208,8363.849495139573,8363.878768308517,256.0,256,256,488.661600769984,488.6599029289092,488.6627459901391,461.60903240592233,461.60903240592233,461.60903240592233,744.1386016188335,744.1386016188335,744.1386016188335,243.80186035081715,243.80186035081715,243.80186035081715,744.1386016188335,744.1386016188335,744.1386016188335,1.0001430271245433,1.0001395993782796,1.000145584468866,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.000000000000001,1.000000000000001,1.000000000000001,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.0093272058625289,1.0092822540429909,1.0093608079156449,256.0,256,256,247.33333333333334,246,248,96.61458333333333,96.09375,96.875,256.0,256,256,256.0,256,256,100.0,100.0,100.0,4121.098130512404,4121.0980301597465,4121.0982702806305,3738.0771050282224,3738.0603536935873,3738.0896268625324,6054.029214076404,6054.029214076404,6054.029214076404,2388.456216896961,2388.4394655623255,2388.4687387312706,6060.614210146409,6060.597458811774,6060.626731980719,8.863155049609892,8.86315467593882,8.863155527849312,7.524142902357382,7.524120391316295,7.524159729645044,13.202544575260513,13.202544575260513,13.202544575260513,5.910065285201601,5.9100308486705515,5.910091026943701,13.216905045134034,13.21686851405128,13.21693235258,256.0,256,256,0.0,0,0,0.0,0.0,0.0,256.0,256,256,0.0,0,0,0.0,0.0,0.0,24.830386150609694,24.83035760641895,24.83043683872773,37.67260588330078,37.67260588330078,37.67260588330078,0.0,0.0,0.0,25.09936124518798,25.099361245187975,25.099361245187982,27.21700632335447,27.216941814296227,27.217064612167814,40.712183412011726,40.712183412011726,40.712183412011726,19.375341054339074,19.374293679257697,19.3767039752782,27.432327343244438,27.432327343244435,27.43232734324444,26.65813122571676,26.65802094366685,26.65821619554719,40.05917205468751,40.05917205468751,40.05917205468751,10.024870556487818,10.024557510630075,10.025289339853702,26.938900066633106,26.9389000666331,26.938900066633114,True,False
ordered,asu_baseline,warm_2_4s,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,2000.0,2000.0,2000.0,4000.0,4000.0,4000.0,99.9903447139939,99.9901259850055,99.99061107768664,160.0,160,160,160.0,160,160,32.0,32,32,80.0,80.0,80.0,80.0,80.0,80.0,18.63016564576762,18.630025773534545,18.630445390233763,18.63016564576762,18.630025773534545,18.630445390233763,8363.866246474208,8363.849495139573,8363.878768308517,160.0,160,160,392.43567171763283,392.43460626286185,392.4365466335864,372.65086947459713,372.65086947459713,372.65086947459713,486.44082678401537,486.44082678401537,486.44082678401537,243.80186035081715,243.80186035081715,243.80186035081715,486.44082678401537,486.44082678401537,486.44082678401537,1.0001036389478382,1.0001007798245722,1.0001059867645892,0.9999999999999963,0.9999999999999963,0.9999999999999963,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.0093272058625289,1.0092822540429909,1.0093608079156449,160.0,160,160,156.33333333333334,156,157,97.70833333333333,97.5,98.125,160.0,160,160,160.0,160,160,100.0,100.0,100.0,3293.522507671283,3293.52122776615,3293.5239078226077,3361.7476294412286,3361.723851161606,3361.7616166645357,4107.218613792441,4107.218613792441,4107.218613792441,2388.456216896961,2388.4394655623255,2388.4687387312706,4110.72797450282,4110.711223168185,4110.74049633713,8.732640290015786,8.73263680135237,8.732644035906878,9.798391088713354,9.798293557547725,9.798448459987252,11.021626273362036,11.021626273362035,11.021626273362035,5.910065285201601,5.9100308486705515,5.910091026943701,11.031043561762104,11.030998609942566,11.03107716381522,160.0,160,160,0.0,0,0,0.0,0.0,0.0,160.0,160,160,0.0,0,0,0.0,0.0,0.0,26.755795420507198,26.755686048472793,26.75590185206834,37.152440681103506,37.13562527409667,37.18607149511718,0.0,0.0,0.0,27.12175843392279,27.12175843392279,27.12175843392279,29.175431912649312,29.175303533370684,29.175507606988727,40.52633198697509,40.51191878096923,40.555158398986805,18.63016564576762,18.630025773534545,18.630445390233763,29.502503977003443,29.50250397700344,29.50250397700345,28.668368621183266,28.6682032198601,28.66849515300129,39.68676273713378,39.614696707104486,39.74801886265868,0.0,0.0,0.0,29.0227899280634,29.022789928063396,29.022789928063407,True,False
ordered,od_baseline,full_population,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,0.0,0.0,0.0,8399.63353884995,8399.63353884995,8399.63353884995,99.20929895497994,99.20929895497994,99.20929895497994,640.0,640,640,640.0,640,640,0.0,0,0,76.19380024615057,76.19380024615057,76.19380024615057,76.19380024615057,76.19380024615057,76.19380024615057,15.19176320378543,15.19176320378543,15.19176320378543,15.19176320378543,15.19176320378543,15.19176320378543,8399.63353884995,8399.63353884995,8399.63353884995,640.0,640,640,418.2076762278709,418.2076762278708,418.2076762278708,391.6817852224108,391.6817852224108,391.6817852224108,915.9373744307095,915.9373744307095,915.9373744307095,114.9528209770001,114.9528209770001,114.9528209770001,919.7064007886911,919.7064007886911,919.7064007886911,1.0071127261772677,1.0071127261772677,1.0071127261772677,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0907418523575576,1.0907418523575576,1.0907418523575576,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.1188120849065943,1.1188120849065943,1.1188120849065943,640.0,640,640,527.0,527,527,82.34375,82.34375,82.34375,640.0,640,640,640.0,640,640,100.0,100.0,100.0,3220.881419306172,3220.881419306172,3220.881419306172,2391.4396249617394,2391.4396249617394,2391.4396249617394,7483.696164419241,7483.696164419241,7483.696164419241,125.38385288617968,125.38385288617968,125.38385288617968,8399.63353884995,8399.63353884995,8399.63353884995,6.900687560299097,6.900687560299097,6.900687560299097,6.5443360589812505,6.5443360589812505,6.5443360589812505,13.265697950748057,13.265697950748057,13.265697950748057,1.0907418523575576,1.0907418523575576,1.0907418523575576,14.322879047687449,14.322879047687449,14.322879047687449,640.0,640,640,0.0,0,0,0.0,0.0,0.0,640.0,640,640,32.0,32,32,5.0,5.0,5.0,23.294885826614834,23.294885826614834,23.294885826614834,37.67260588330078,37.67260588330078,37.67260588330078,0.0,0.0,0.0,23.173444007969255,23.17344400796926,23.17344400796926,25.54428134233441,25.54428134233441,25.54428134233441,41.318341936523446,41.318341936523446,41.318341936523446,15.19176320378543,15.19176320378543,15.19176320378543,25.40382404935438,25.40382404935438,25.40382404935438,25.053473664279043,25.053473664279043,25.053473664279043,40.10309658544922,40.10309658544922,40.10309658544922,10.373995786996169,10.373995786996169,10.373995786996169,24.922962297312633,24.922962297312633,24.922962297312633,False,False
ordered,od_baseline,long_2_6s,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,2000.0,2000.0,2000.0,6000.0,6000.0,6000.0,99.8570283033351,99.8570283033351,99.8570283033351,256.0,256,256,256.0,256,256,32.0,32,32,64.0,64.0,64.0,64.0,64.0,64.0,19.07954540901261,19.07954540901261,19.07954540901261,19.07954540901261,19.07954540901261,19.07954540901261,8399.63353884995,8399.63353884995,8399.63353884995,256.0,256,256,489.4244472563061,489.4244472563061,489.4244472563061,484.90615154654733,484.90615154654733,484.90615154654733,744.1386016188335,744.1386016188335,744.1386016188335,243.80186035081715,243.80186035081715,243.80186035081715,744.1386016188335,744.1386016188335,744.1386016188335,1.002011956857339,1.002011956857339,1.002011956857339,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.0139890666292795,1.0139890666292795,1.0139890666292795,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.0574767405690495,1.0574767405690495,1.0574767405690495,256.0,256,256,212.0,212,212,82.8125,82.8125,82.8125,256.0,256,256,256.0,256,256,100.0,100.0,100.0,4123.7236632451095,4123.7236632451095,4123.7236632451095,3753.1036123605795,3753.1036123605795,3753.1036123605795,6060.123291941657,6060.123291941657,6060.123291941657,2388.2128725447474,2388.2128725447474,2388.2128725447474,6082.988205882087,6082.988205882087,6082.988205882087,8.868628381683845,8.868628381683845,8.868628381683845,7.544336058981252,7.544336058981252,7.544336058981252,13.215834457389597,13.215834457389597,13.215834457389597,5.909565030414555,5.909565030414555,5.909565030414555,13.265697950748057,13.265697950748057,13.265697950748057,256.0,256,256,0.0,0,0,0.0,0.0,0.0,256.0,256,256,0.0,0,0,0.0,0.0,0.0,24.828151192856136,24.828151192856136,24.828151192856136,37.67260588330078,37.67260588330078,37.67260588330078,0.0,0.0,0.0,25.095879426584464,25.095879426584464,25.095879426584464,27.218465026037894,27.218465026037894,27.218465026037894,40.77495979057616,40.77495979057616,40.77495979057616,19.07954540901261,19.07954540901261,19.07954540901261,27.43203361155499,27.43203361155499,27.43203361155499,26.65656788579459,26.656567885794594,26.656567885794594,40.05917205468751,40.05917205468751,40.05917205468751,9.649207873178897,9.649207873178897,9.649207873178897,26.938606334943646,26.938606334943646,26.938606334943646,True,False
ordered,od_baseline,warm_2_4s,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,2000.0,2000.0,2000.0,4000.0,4000.0,4000.0,99.82696427204286,99.82696427204286,99.82696427204286,160.0,160,160,160.0,160,160,32.0,32,32,80.0,80.0,80.0,80.0,80.0,80.0,18.762904380749458,18.762904380749458,18.762904380749458,18.762904380749458,18.762904380749458,18.762904380749458,8399.63353884995,8399.63353884995,8399.63353884995,160.0,160,160,393.0891934854371,393.0891934854371,393.0891934854371,373.97435161132853,373.97435161132853,373.97435161132853,486.44082678401537,486.44082678401537,486.44082678401537,243.80186035081715,243.80186035081715,243.80186035081715,486.44082678401537,486.44082678401537,486.44082678401537,1.001857349515388,1.001857349515388,1.001857349515388,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.0116356603361352,1.0116356603361352,1.0116356603361352,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.0510690227951005,1.0510690227951005,1.0510690227951005,160.0,160,160,133.0,133,133,83.125,83.125,83.125,160.0,160,160,160.0,160,160,100.0,100.0,100.0,3295.0456948328306,3295.0456948328306,3295.0456948328306,3361.8329515034034,3361.832951503403,3361.832951503403,4111.705714745333,4111.705714745333,4111.705714745333,2388.2128725447474,2388.2128725447474,2388.2128725447474,4125.754481835177,4125.754481835177,4125.754481835177,8.736735869115462,8.736735869115462,8.736735869115462,9.798741053484138,9.798741053484138,9.798741053484138,11.03366730511709,11.03366730511709,11.03366730511709,5.909565030414555,5.909565030414555,5.909565030414555,11.071366847076165,11.071366847076165,11.071366847076165,160.0,160,160,0.0,0,0,0.0,0.0,0.0,160.0,160,160,0.0,0,0,0.0,0.0,0.0,26.75163198838843,26.75163198838843,26.75163198838843,37.13562527409667,37.13562527409667,37.13562527409667,0.0,0.0,0.0,27.121170970543883,27.121170970543883,27.121170970543883,29.178959634741023,29.178959634741023,29.178959634741023,40.77495979057616,40.77495979057616,40.77495979057616,18.762904380749458,18.762904380749458,18.762904380749458,29.50250397700344,29.50250397700344,29.50250397700344,28.668222544133837,28.668222544133837,28.668222544133837,39.7768452746704,39.7768452746704,39.7768452746704,0.0,0.0,0.0,29.022202464684494,29.02220246468449,29.02220246468449,True,False
random,asu_baseline,full_population,3,"[7, 19, 43]",True,queue_shuffle_and_simulator_submission_seed,0.0,0.0,0.0,8375.223182246391,8371.814495926397,8379.560620193986,99.49846835659298,99.44695105609847,99.53896556995186,640.0,640,640,640.0,640,640,0.0,0,0,76.41588543227608,76.3763195957623,76.44698772427586,76.41588543227608,76.3763195957623,76.44698772427586,0.0,0.0,0.0,0.0,0.0,0.0,8375.223182246391,8371.814495926397,8379.560620193986,640.0,640,640,418.06433071374136,417.8988262408734,418.2919315041766,400.5413596855069,400.5413596855069,400.5413596855069,915.9373744307086,915.9373744307086,915.9373744307086,114.95282097699965,114.95282097699965,114.95282097699965,950.8039854577286,949.3129474531713,952.5523883711401,1.004523131630368,1.0035598092236495,1.0061423019559879,1.0,0.9999999999999999,1.0,1.0136742422273715,1.0000000000000602,1.0393753078226218,0.9999999999999769,0.9999999999999769,0.9999999999999769,1.365416291735685,1.335763375948007,1.4031486232324384,640.0,640,640,607.3333333333334,607,608,94.89583333333333,94.84375,95.0,640.0,640,640,640.0,640,640,100.0,100.0,100.0,4466.392067198267,4403.564113554789,4498.2930793580645,4556.069152639281,4459.951986671553,4615.511234415692,8250.5884948665,8248.778514837202,8252.504711126268,156.5807995136745,153.5497682229844,160.1629274026719,8375.223182246391,8371.814495926397,8379.560620193986,15.108815916684385,14.553659877465389,15.39334610550704,11.055596443247849,10.736838907397745,11.217447086878217,40.80593806734549,38.58133366511225,42.119501126651286,1.0377458986855443,1.0362371299625524,1.0393753078226218,72.77369310943054,72.75794769305959,72.79036269825386,640.0,640,640,0.0,0,0,0.0,0.0,0.0,640.0,640,640,37.666666666666664,37,38,5.885416666666667,5.78125,5.9375,23.33052955833563,23.32462881464929,23.338870531201813,28.18397647145996,27.532070188879395,28.67456288474121,0.0,0.0,0.0,23.240988593080548,23.228955111430878,23.250447987674963,25.57728226545701,25.568887720939465,25.590580787683376,30.96987163970337,29.786927320907594,32.28709205340271,0.0,0.0,0.0,25.477869614401328,25.464677943347848,25.48823944962337,25.09343383333663,25.084755161928623,25.105361766307595,30.546678736688232,29.620013995349122,31.495807929226686,0.0,0.0,0.0,24.995606274942258,24.982664305274003,25.005779822506057,False,True
random,asu_baseline,long_2_6s,3,"[7, 19, 43]",True,queue_shuffle_and_simulator_submission_seed,2000.0,2000.0,2000.0,6000.0,6000.0,6000.0,100.0,100.0,100.0,301.0,297,307,301.0,297,307,32.0,32,32,75.25,74.25,76.75,75.25,74.25,76.75,0.0,0.0,0.0,0.0,0.0,0.0,8375.223182246391,8371.814495926397,8379.560620193986,301.0,297,307,424.5952156435939,413.27907288553007,433.8728748941511,391.24452961520484,372.65086947460077,400.5413596855069,915.9373744307086,915.9373744307086,915.9373744307086,114.95282097699965,114.95282097699965,114.95282097699965,915.9373744307092,915.937374430709,915.9373744307093,1.0,1.0,1.0000000000000002,0.9999999999999979,0.999999999999998,0.999999999999998,1.0000000000000133,1.0000000000000133,1.0000000000000133,0.999999999999992,0.999999999999992,0.999999999999992,1.0000000000000133,1.0000000000000133,1.0000000000000133,301.0,297,307,301.0,297,307,100.0,100.0,100.0,301.0,297,307,301.0,297,307,100.0,100.0,100.0,4443.352912326493,4413.839129189258,4459.061014904348,4480.493840816108,4416.925802461218,4534.406475253978,6230.295977960616,6191.125493687905,6289.889501297946,2219.614933716765,2127.6229014870405,2273.2095022979133,6883.712811429116,6860.634548542331,6895.684198072706,14.599632307330827,14.535565293389025,14.668030483131451,11.56211013193014,11.35307453594833,11.785540980181603,39.06492043939077,38.559277289841695,40.068686171415905,3.2236756754418856,3.2144434329991207,3.2412192135585887,52.56449654892655,51.413616933323354,53.14435370118076,301.0,297,307,0.0,0,0,0.0,0.0,0.0,301.0,297,307,0.0,0,0,0.0,0.0,0.0,23.395753039522422,22.927039659540803,23.640162758247257,26.961336591607665,25.813909860717775,27.53802972522583,0.0,0.0,0.0,23.36361500091323,22.918396400672755,23.59580604979132,25.73321374342031,25.23173516756047,26.166400196155287,29.703589056219485,28.488244302951053,30.835595544799805,0.0,0.0,0.0,25.698759095526963,25.21311228202041,26.132038740901972,25.246529224500488,24.78283439592159,25.493102886073334,28.966192440994263,27.701917092581176,29.620013995349122,0.0,0.0,0.0,25.219231314308413,24.771633552772364,25.457828176543195,True,True
random,asu_baseline,warm_2_4s,3,"[7, 19, 43]",True,queue_shuffle_and_simulator_submission_seed,2000.0,2000.0,2000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,145.0,142,148,145.0,142,148,32.0,32,32,72.5,71.0,74.0,72.5,71.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,8375.223182246391,8371.814495926397,8379.560620193986,145.0,142,148,434.82282822550684,416.6186140725031,446.61410957897766,400.5413596855087,400.5413596855078,400.54135968551054,915.9373744307087,915.9373744307086,915.937374430709,114.95282097699965,114.95282097699965,114.95282097699965,915.9373744307092,915.937374430709,915.9373744307093,0.9999999999999983,0.9999999999999982,0.9999999999999986,0.9999999999999979,0.9999999999999978,0.999999999999998,1.0000000000000047,1.0000000000000047,1.0000000000000047,0.9999999999999943,0.9999999999999943,0.9999999999999943,1.0000000000000053,1.0000000000000047,1.000000000000006,145.0,142,148,145.0,142,148,100.0,100.0,100.0,145.0,142,148,145.0,142,148,100.0,100.0,100.0,3419.104819475167,3388.011067750353,3443.0507044671995,3425.178230389254,3344.70547586333,3470.5079240793384,4362.226275150448,4317.544878324675,4385.8263189041445,2219.614933716765,2127.6229014870405,2273.2095022979133,4857.8939614585415,4815.5762288970445,4879.531140776399,10.66168768656163,10.43036116640265,10.854789837264134,8.810994344234475,8.172344412913075,9.255503012026292,22.32967149427842,20.746331409984794,24.596075475655663,3.2236756754418856,3.2144434329991207,3.2412192135585887,35.035709365936206,33.851673457802946,35.67290208327838,145.0,142,148,0.0,0,0,0.0,0.0,0.0,145.0,142,148,0.0,0,0,0.0,0.0,0.0,23.670484987182146,23.047778350991802,24.24963269061772,26.621616250128174,25.813909860717775,27.532070188879395,0.0,0.0,0.0,23.52483953715487,23.11405315760992,24.09619061423772,26.080314498436874,25.473541313008063,26.488709121331727,29.24271007424927,28.488244302951053,29.786927320907594,0.0,0.0,0.0,25.93217464754012,25.52928295497319,26.346298695582185,25.624859912113237,25.15331563231065,26.161495814274097,28.815604936404423,27.701917092581176,29.620013995349122,0.0,0.0,0.0,25.476756549687412,25.199510435320086,26.004439515604894,True,True
random,od_baseline,full_population,3,"[7, 19, 43]",True,queue_shuffle_and_simulator_submission_seed,0.0,0.0,0.0,8387.747398232825,8386.134671385502,8390.729474241933,99.3498931330646,99.31457776420906,99.36899269116621,640.0,640,640,640.0,640,640,0.0,0,0,76.3017780751806,76.27465549505412,76.31644673961138,76.3017780751806,76.27465549505412,76.31644673961138,0.0,0.0,0.0,0.0,0.0,0.0,8387.747398232825,8386.134671385502,8390.729474241933,640.0,640,640,418.33438657436096,418.2168008938368,418.4765666284558,400.5413596855069,400.5413596855069,400.5413596855069,915.9373744307086,915.9373744307086,915.9373744307086,114.95282097699965,114.95282097699965,114.95282097699965,969.0880837650202,967.3228961836401,971.8589527021948,1.0043718335886653,1.0039146850993954,1.0050299145418988,1.0,0.9999999999999999,1.0000000000000002,1.002132598209408,1.0000000000000602,1.0063977946281042,0.9999999999999769,0.9999999999999769,0.9999999999999769,1.1231321215440297,1.1202496402194695,1.1258986386333785,640.0,640,640,607.6666666666666,607,608,94.94791666666667,94.84375,95.0,640.0,640,640,640.0,640,640,100.0,100.0,100.0,4471.7937608449565,4407.258249444137,4504.44453134952,4560.824846701887,4455.001191826941,4623.726411257039,8262.400738282842,8260.901341277633,8265.181331609665,126.53633342003384,125.98790093305468,127.2217740287578,8387.747398232825,8386.134671385502,8390.729474241933,15.127173211811815,14.566189492293853,15.414970715238349,11.067611529489861,10.76217894592825,11.227413307515054,40.79269355699903,38.4132318886345,42.22612751198055,1.049429310976211,1.0462436444557963,1.0548834199193116,72.8764504260057,72.86340684001568,72.9006394220059,640.0,640,640,0.0,0,0,0.0,0.0,0.0,640.0,640,640,37.666666666666664,37,38,5.885416666666667,5.78125,5.9375,23.313363253345596,23.303711213879073,23.321618923201846,28.18397647145996,27.532070188879395,28.67456288474121,0.0,0.0,0.0,23.206284188758847,23.198035176504803,23.210745489714572,25.558408485221577,25.546688984132953,25.57010150087667,30.988491407513425,29.786927320907594,32.28709205340271,0.0,0.0,0.0,25.43982500692636,25.43078205000504,25.44471569578864,25.07425314308392,25.06164100961618,25.08459296022022,30.531813143060305,29.575417214465332,31.495807929226686,0.0,0.0,0.0,24.958281803009513,24.9494100176449,24.96307991741487,False,True
