order,seed,window,comparison,delta_U_percent,delta_admission_slo1_percent,delta_admission_slo1p5_percent,delta_arrival_slo1p5_percent,delta_admission_latency_mean_ms,delta_admission_latency_p95_ms,delta_makespan_ms
random,7,warm_2_4s,OD-minus-ASU,0.0,0.0,0.0,0.0,1.1756241749774858,0.0,14.320175459104576
random,7,long_2_6s,OD-minus-ASU,0.0,0.0,0.0,0.0,-0.23909069901463909,0.0,14.320175459104576
random,7,full_population,OD-minus-ASU,-0.16997287878564293,0.0,0.0,0.0,0.31797465296341443,0.0,14.320175459104576
random,19,warm_2_4s,OD-minus-ASU,0.0,0.0,0.0,0.0,1.4002404303136586,2.2737367544323206e-13,12.083618452252267
random,19,long_2_6s,OD-minus-ASU,0.0,0.0,0.0,0.0,0.0,0.0,12.083618452252267
random,19,full_population,OD-minus-ASU,-0.1433794999100968,0.15625,0.0,0.0,0.30755780461612403,0.0,12.083618452252267
random,43,warm_2_4s,OD-minus-ASU,0.0,0.0,0.0,0.0,2.0408011985799703,0.0,11.168854047946297
random,43,long_2_6s,OD-minus-ASU,0.0,0.0,0.0,0.0,0.2068310993903424,0.0,11.168854047946297
random,43,full_population,OD-minus-ASU,-0.13237329188940805,0.0,0.0,0.0,0.18463512427922524,0.0,11.168854047946297
ordered,7,warm_2_4s,OD-minus-ASU,-0.1631617129626477,-14.375,0.0,0.0,0.6526468518507045,0.0,35.784043710376864
ordered,7,long_2_6s,OD-minus-ASU,-0.1329016454106835,-14.0625,0.0,0.0,0.7645443273968908,0.0,35.784043710376864
ordered,7,full_population,OD-minus-ASU,-0.42445884426111036,-7.5,0.0,0.0,0.8140045080405116,0.0,35.784043710376864
ordered,19,warm_2_4s,OD-minus-ASU,-0.16333280724671795,-14.375,0.0,0.0,0.6533312289869286,0.0,35.75477054143266
ordered,19,long_2_6s,OD-minus-ASU,-0.1323330331647128,-13.28125,0.0,0.0,0.7617012661669946,0.0,35.75477054143266
ordered,19,full_population,OD-minus-ASU,-0.4241101309541051,-7.34375,0.0,0.0,0.8130620864837965,9.094947017729282e-13,35.75477054143266
ordered,43,warm_2_4s,OD-minus-ASU,-0.1636468056437792,-15.0,0.0,0.0,0.6545872225752305,0.0,35.763062875415926
ordered,43,long_2_6s,OD-minus-ASU,-0.1324515530118191,-14.0625,0.0,0.0,0.7622938654026257,0.0,35.763062875415926
ordered,43,full_population,OD-minus-ASU,-0.42420891219497037,-7.5,0.0,0.0,0.8121949110251308,0.0,35.763062875415926
