profile,total_length_k,miss_tokens,category,layer_V_GiB,layer_C_ms,B_GiB_s,semi_count_per_npu,full_count_per_npu,original_legal_pool_width,initial_mild_pool_width,initial_aggressive_pool_width,static_pool_width,initial_mode,initial_waiting_budget_per_layer_ms,isolated_layer_read_fluid_lower_bound_ms,isolated_layer_read_conservative_upper_bound_ms,isolated_cold_request_conservative_upper_bound_ms,request_SLO15_ms,isolated_request_SLO15_feasible_in_model,pre_admission_L0_pool
32:256,32,256,SS,0.042633056640625,1.9974796959734433,21.343424279388426,1,3,96,96,96,96,urgent_full_pool,0.9987398479867217,0.8526611328125,1.2347353271484374,17.214572894935984,23.96975635168132,True,full legal pool; unknown deadline falls back to Once
32:1024,32,1024,SL,0.04162597656250001,7.257231579079756,5.735792789428712,1,2,32,32,32,32,urgent_full_pool,3.628615789539878,0.8325195312500001,1.2056013916015627,59.26345402423961,87.08677894895706,True,full legal pool; unknown deadline falls back to Once
32:2048,32,2048,SL,0.04028320312500001,14.369102622125,2.8034599086914067,1,1,32,16,8,8,slack_shared_prefix,7.1845513110625,0.8056640625000002,1.165357421875,116.118178398875,172.4292314655,True,full legal pool; unknown deadline falls back to Once
32:4096,32,4096,SL,0.03759765625,28.592841995880782,1.3149324665039066,2,1,32,16,8,8,slack_shared_prefix,14.296420997940391,0.751953125,1.0890656494140625,229.83180161646033,343.1141039505694,True,full legal pool; unknown deadline falls back to Once
64:256,64,256,SS,0.085601806640625,3.3396570206571456,25.63191552639771,1,3,96,96,96,96,urgent_full_pool,1.6698285103285728,1.7120361328125,2.476384521484375,29.19364068674154,40.075884247885746,True,full legal pool; unknown deadline falls back to Once
64:1024,64,1024,SL,0.0845947265625,12.625940760424301,6.70007314050293,1,2,32,16,8,8,slack_shared_prefix,6.312970380212151,1.69189453125,2.4472505859375,103.4547766693319,151.51128912509162,True,full legal pool; unknown deadline falls back to Once
64:2048,64,2048,SL,0.083251953125,25.106517917176127,3.31594980234375,1,1,32,16,8,8,slack_shared_prefix,12.553258958588064,1.6650390625,2.411202783203125,203.26334612061214,301.27821500611356,True,full legal pool; unknown deadline falls back to Once
64:4096,64,4096,SL,0.08056640625,50.06766996068876,1.609150302246094,2,1,32,16,8,8,slack_shared_prefix,25.03383498034438,1.611328125,2.33071484375,402.8720745292601,600.8120395282651,True,full legal pool; unknown deadline falls back to Once
80:256,80,256,SS,0.10708618164062501,4.010745621755773,26.699818871521,1,3,96,96,96,96,urgent_full_pool,2.0053728108778865,2.1417236328125,3.099307202148438,35.18527217619462,48.128947461069274,True,full legal pool; unknown deadline falls back to Once
80:1024,80,1024,SL,0.10607910156250001,15.310296145067996,6.928611997924805,1,2,32,16,8,8,slack_shared_prefix,7.655148072533998,2.1215820312500004,3.070173266601563,125.55254242714553,183.72355374081596,True,full legal pool; unknown deadline falls back to Once
80:2048,80,2048,SL,0.104736328125,30.475232543852318,3.436768791650391,1,1,32,16,8,8,slack_shared_prefix,15.237616271926159,2.0947265625,3.0299292968750002,246.83178964769354,365.70279052622783,True,full legal pool; unknown deadline falls back to Once
80:4096,80,4096,SL,0.10205078125,60.80510334800196,1.678325923828125,2,1,32,16,8,8,slack_shared_prefix,30.40255167400098,2.041015625,2.9536375244140625,489.3944643084297,729.6612401760235,True,full legal pool; unknown deadline falls back to Once
128:256,128,256,LS,0.171539306640625,6.024011548589168,28.475925926934814,1,3,96,96,96,96,urgent_full_pool,3.012005774294584,3.4307861328125,4.963879077148437,53.15597146586178,72.28813858307001,True,full legal pool; unknown deadline falls back to Once
128:1024,128,1024,LL,0.1705322265625,23.363359736359623,7.299131138964844,1,2,32,16,8,8,slack_shared_prefix,11.681679868179812,3.41064453125,4.934745141601562,191.84162303247854,280.36031683631546,True,full legal pool; unknown deadline falls back to Once
128:2048,128,2048,LL,0.169189453125,46.58135868432481,3.632127913476562,1,1,32,16,8,8,slack_shared_prefix,23.290679342162406,3.3837890625,4.894501171875,377.5453706464735,558.9763042118977,True,full legal pool; unknown deadline falls back to Once
128:4096,128,4096,LL,0.16650390625,93.01732520235409,1.7900311139648435,2,1,32,16,8,8,slack_shared_prefix,46.50866260117704,3.330078125,4.818209399414062,748.9568110182468,1116.207902428249,True,full legal pool; unknown deadline falls back to Once
160:256,160,256,LS,0.214508056640625,7.366188833782921,29.120629606567384,1,3,96,96,96,96,urgent_full_pool,3.6830944168914606,4.2901611328125,6.205528271484376,65.13503894174775,88.39426600539505,True,full legal pool; unknown deadline falls back to Once
160:1024,160,1024,LL,0.21350097656250003,28.732067426025328,7.4307557961914075,1,2,32,16,8,8,slack_shared_prefix,14.366033713012664,4.270019531250001,6.176394335937501,236.0329337441401,344.78480911230395,True,full legal pool; unknown deadline falls back to Once
160:2048,160,2048,LL,0.21215820312500003,57.31877271428324,3.701373792187501,1,1,32,16,8,8,slack_shared_prefix,28.65938635714162,4.243164062500001,6.140346533203126,464.69052824746905,687.825272571399,True,full legal pool; unknown deadline falls back to Once
160:4096,160,4096,LL,0.20947265625,114.4921718038388,1.8295805988281253,2,1,32,16,8,8,slack_shared_prefix,57.2460859019194,4.189453125,6.0598585937500005,921.9972330244605,1373.9060616460656,True,full legal pool; unknown deadline falls back to Once
200:256,200,256,LS,0.268218994140625,9.043910535256627,29.65741347119751,1,3,96,96,96,96,urgent_full_pool,4.5219552676283135,5.3643798828125,7.760736889648438,80.11202117170146,108.52692642307952,True,full legal pool; unknown deadline falls back to Once
200:1024,200,1024,LL,0.26721191406250006,35.44295093756352,7.539211803588869,1,2,32,16,8,8,slack_shared_prefix,17.72147546878176,5.344238281250001,7.731602954101564,291.27521045460975,425.3154112507623,True,full legal pool; unknown deadline falls back to Once
200:2048,200,2048,LL,0.26586914062500006,70.74053784115809,3.7583703593261726,1,1,32,16,8,8,slack_shared_prefix,35.37026892057904,5.317382812500001,7.691358984375,573.6156617136397,848.8864540938971,True,full legal pool; unknown deadline falls back to Once
200:4096,200,4096,LL,0.26318359375,141.33578827944143,1.86211572421875,2,1,32,16,8,8,slack_shared_prefix,70.66789413972072,5.263671875,7.615067211914063,1138.3013734474455,1696.0294593532972,True,full legal pool; unknown deadline falls back to Once
