scenario,policy,window,seed_count,seeds,mean_U_percent,min_U_percent,max_U_percent,mean_slo_percent,min_slo_percent,max_slo_percent,mean_arrival_slo_percent,min_arrival_slo_percent,max_arrival_slo_percent,mean_timely_completions_per_second,min_timely_completions_per_second,max_timely_completions_per_second,mean_total_completions_per_second,min_total_completions_per_second,max_total_completions_per_second,mean_all_disks_overload_percent,min_all_disks_overload_percent,max_all_disks_overload_percent,mean_SSU0_mean_demand_GiB_s,min_SSU0_mean_demand_GiB_s,max_SSU0_mean_demand_GiB_s,mean_SSU0_overload_percent,min_SSU0_overload_percent,max_SSU0_overload_percent,mean_SSU0_actual_GiB_s,min_SSU0_actual_GiB_s,max_SSU0_actual_GiB_s,mean_SSU1_mean_demand_GiB_s,min_SSU1_mean_demand_GiB_s,max_SSU1_mean_demand_GiB_s,mean_SSU1_overload_percent,min_SSU1_overload_percent,max_SSU1_overload_percent,mean_SSU1_actual_GiB_s,min_SSU1_actual_GiB_s,max_SSU1_actual_GiB_s,mean_SSU2_mean_demand_GiB_s,min_SSU2_mean_demand_GiB_s,max_SSU2_mean_demand_GiB_s,mean_SSU2_overload_percent,min_SSU2_overload_percent,max_SSU2_overload_percent,mean_SSU2_actual_GiB_s,min_SSU2_actual_GiB_s,max_SSU2_actual_GiB_s,mean_LL_slo_percent,min_LL_slo_percent,max_LL_slo_percent,mean_LL_active_U_percent,min_LL_active_U_percent,max_LL_active_U_percent,mean_LS_slo_percent,min_LS_slo_percent,max_LS_slo_percent,mean_LS_active_U_percent,min_LS_active_U_percent,max_LS_active_U_percent,mean_SL_slo_percent,min_SL_slo_percent,max_SL_slo_percent,mean_SL_active_U_percent,min_SL_active_U_percent,max_SL_active_U_percent,mean_SS_slo_percent,min_SS_slo_percent,max_SS_slo_percent,mean_SS_active_U_percent,min_SS_active_U_percent,max_SS_active_U_percent,mean_makespan_ms,min_makespan_ms,max_makespan_ms,pooled_slo_count,pooled_slo_passed
full,aggressive,full_population,3,"[43, 7, 19]",63.651224686998326,63.49840389052517,63.82206909105317,50.86805555555555,50.148809523809526,51.63690476190476,0.0744047619047619,0.0,0.1488095238095238,50.6622139108241,49.824720690518,51.564702633481744,99.59285909830623,99.35374570928218,99.86017339971104,93.91178507946024,93.09958598758216,94.7649354243235,66.16457664846287,65.73125066904507,66.85253662747542,93.91178507946024,93.09958598758216,94.7649354243235,,,,66.16807978033633,65.73429435605824,66.85642285994152,93.91178507946024,93.09958598758216,94.7649354243235,,,,66.16439527272841,65.73058829884955,66.85329876458131,93.91178507946024,93.09958598758216,94.7649354243235,,,,21.180555555555554,20.833333333333332,21.875,62.04322726760599,61.79703833287768,62.17052682154073,26.73611111111111,25.694444444444443,28.819444444444443,52.16953134920891,50.41567131285618,53.60262064763019,79.34027777777777,78.90625,79.6875,85.02368565360968,84.76248477174822,85.36422621250051,76.62037037037037,75.34722222222223,77.77777777777777,71.79124818731673,70.78435781278726,72.3518740234806,13495.002107662518,13458.81900905941,13527.421542139564,4032,2051
full,aggressive,long_2_6s,3,"[43, 7, 19]",67.55854465372796,66.31515526534369,68.94788902537988,52.16871516705637,50.36319612590799,53.98009950248756,0.0,0.0,0.0,51.5,47.25,54.25,100.66666666666667,98.25,103.25,95.78946569689845,91.21400737985482,99.06595065170576,65.15853802622192,63.427676299733626,66.19118293754038,95.78946569689845,91.21400737985482,99.06595065170576,40.0,40.0,40.0,65.15978062920196,63.43532959636769,66.18936639614253,95.78946569689845,91.21400737985482,99.06595065170576,40.0,40.0,40.0,65.15328890667092,63.424414095348354,66.18127970461903,95.78946569689845,91.21400737985482,99.06595065170576,40.0,40.0,40.0,23.57276025164164,16.0,29.508196721311474,63.21629475340006,61.47480326281563,65.5038817587285,26.322967812329512,21.27659574468085,29.487179487179485,56.16903195858182,54.42181563564347,57.06700343873226,81.29730074839281,77.51937984496124,84.48275862068965,86.05781217890687,84.01704417059271,88.81080671670365,80.67037192720254,76.92307692307692,83.60655737704919,75.07296901829493,73.6340720143939,75.99823147441886,13495.002107662518,13458.81900905941,13527.421542139564,1208,630
full,aggressive,warm_2_4s,3,"[43, 7, 19]",64.6145169878446,62.12758234678271,66.6083697881088,48.48137734735673,45.95959595959596,50.0,0.0,0.0,0.0,47.5,41.0,59.0,99.66666666666667,97.0,103.0,97.68522379263284,96.19227179417798,98.73149828030901,67.74759762843672,65.83940588501103,69.34198622442196,97.68522379263284,96.19227179417798,98.73149828030901,40.0,40.0,40.0,67.7476625174949,65.83046717369984,69.34039663419449,97.68522379263284,96.19227179417798,98.73149828030901,40.0,40.0,40.0,67.73977937583561,65.83130782719194,69.33497166332367,97.68522379263284,96.19227179417798,98.73149828030901,40.0,40.0,40.0,19.84271022383545,6.896551724137931,26.31578947368421,59.212476442066965,56.79405444797584,61.95354030726134,20.77691811734365,15.909090909090908,27.272727272727273,54.600435769348984,51.66230157106339,58.69077842585216,80.08559727309728,73.4375,84.12698412698413,85.35559446089731,78.61269034114466,90.21929345625591,75.30309513621451,66.66666666666667,82.92682926829268,72.34034200830234,68.3254905614242,76.35958975355373,13495.002107662518,13458.81900905941,13527.421542139564,598,290
full,baseline,full_population,3,"[43, 7, 19]",63.49631319390332,63.39000338169206,63.64510921966804,41.09623015873016,40.99702380952381,41.145833333333336,1.0912698412698412,0.8928571428571429,1.2648809523809523,40.82918416743348,40.81013896271459,40.85122824795471,99.35047446893914,99.18413520052154,99.5832904391148,96.96942612324453,96.80760953973291,97.16788220537559,113.64136358544822,113.28178370655498,113.87933014486333,96.96942612324453,96.80760953973291,97.16788220537559,,,,113.652419514834,113.29195867705023,113.89025707639264,96.96942612324453,96.80760953973291,97.16788220537559,,,,113.64031091999635,113.28188771752977,113.87732466777638,96.96942612324453,96.80760953973291,97.16788220537559,,,,96.61458333333333,95.83333333333333,97.65625,94.26598728722273,94.0382140782702,94.52240492964647,0.23148148148148148,0.0,0.3472222222222222,24.81026282673672,24.499402316641863,24.992458478325833,46.70138888888889,46.09375,47.395833333333336,70.60181618782697,70.32764213605591,70.89061035469298,0.46296296296296297,0.3472222222222222,0.6944444444444444,12.096705053574212,12.046702713750301,12.159720744661445,13527.906335934947,13496.240122952368,13550.554201867286,4032,1657
full,baseline,long_2_6s,3,"[43, 7, 19]",66.18524728484948,64.66981284887615,68.77474374713131,42.35451432668298,40.28776978417266,44.25,0.0,0.0,0.0,41.833333333333336,39.0,43.5,100.41666666666667,97.0,104.25,100.0,100.0,100.0,113.57849099103628,107.17164989718424,118.46016091081009,100.0,100.0,100.0,40.0,40.0,40.0,113.58674773238643,107.19707937538129,118.48337246246318,100.0,100.0,100.0,40.0,40.0,40.0,113.56004428643763,107.15051777086883,118.44801650516395,100.0,100.0,100.0,40.0,40.0,40.0,96.77723829201102,95.2,98.4375,94.18074667859368,93.37948835864138,94.90165881697799,0.0,0.0,0.0,24.612841214550286,23.22697240155614,26.031908599435553,42.254735822792476,34.146341463414636,48.38709677419355,67.64321267284839,64.11198827197778,70.02766713294008,0.0,0.0,0.0,11.936978999003571,11.577033619448114,12.616480388269173,13527.906335934947,13496.240122952368,13550.554201867286,1205,510
full,baseline,warm_2_4s,3,"[43, 7, 19]",62.384978288533524,59.49004214281458,64.08449864594283,40.29543087150066,37.86407766990291,41.6243654822335,0.0,0.0,0.0,39.666666666666664,36.0,42.5,98.16666666666667,93.0,103.0,100.0,100.0,100.0,123.24903290704434,116.3563011526484,135.0696056090991,100.0,100.0,100.0,40.0,40.0,40.0,123.2416939571083,116.35607545956395,135.1090264781886,100.0,100.0,100.0,40.0,40.0,40.0,123.22632082742093,116.31475704100397,135.05867664740637,100.0,100.0,100.0,40.0,40.0,40.0,95.08079205593748,93.33333333333333,98.36065573770492,92.65193480067838,91.32881238814545,95.09292443110066,0.0,0.0,0.0,22.7927879259307,21.03892652513789,24.318038739862104,40.495706479313036,32.142857142857146,50.0,65.95496491047129,63.16891410368004,68.31049674201459,0.0,0.0,0.0,10.905467261598432,10.401637961580382,11.441140089848007,13527.906335934947,13496.240122952368,13550.554201867286,589,237
full,mild,full_population,3,"[43, 7, 19]",63.09356261411025,62.7198685902692,63.611983031380284,63.51686507936508,62.276785714285715,64.36011904761905,0.3968253968253968,0.1488095238095238,0.5952380952380952,62.70648535674357,61.33880781489824,64.05856553028457,98.7203046341506,98.13559858261277,99.53145904358666,93.97447895548612,93.27051452134191,95.02860214929343,67.47098093981035,66.25823591709924,68.99489440463736,93.97447895548612,93.27051452134191,95.02860214929343,,,,67.47536253808664,66.26129306880082,69.00105084398297,93.97447895548612,93.27051452134191,95.02860214929343,,,,67.4711188695751,66.25545846527764,68.99736475190458,93.97447895548612,93.27051452134191,95.02860214929343,,,,30.29513888888889,29.6875,31.25,59.73231350695795,59.33598533708094,60.181891415705834,39.699074074074076,38.19444444444444,41.666666666666664,54.67194322636802,53.32679284182691,55.525940800000015,93.48958333333333,91.40625,95.3125,93.5504480794076,91.89841879478601,94.43760270168393,91.66666666666667,89.93055555555556,93.05555555555556,80.56205558005634,79.38086441809013,82.04161650880317,13614.708514134349,13503.268342639663,13695.336039231373,4032,2561
full,mild,long_2_6s,3,"[43, 7, 19]",67.41469089084724,66.07367375052353,68.66174747818663,63.84578450952322,60.714285714285715,65.85956416464892,0.0,0.0,0.0,64.5,56.5,69.75,101.33333333333333,98.0,103.25,98.1717395884405,97.65309052856921,98.82942853193533,67.51742207011102,65.93415829102055,69.17259930912239,98.1717395884405,97.65309052856921,98.82942853193533,40.0,40.0,40.0,67.51836612905147,65.94346280771884,69.1684618421797,98.1717395884405,97.65309052856921,98.82942853193533,40.0,40.0,40.0,67.51358502314265,65.93351402069416,69.16241561589656,98.1717395884405,97.65309052856921,98.82942853193533,40.0,40.0,40.0,31.55899167629373,25.806451612903224,35.53719008264463,60.677967278970875,58.08620351286456,62.53103991049619,37.01388888888889,26.041666666666668,47.5,60.57867708378448,55.47954498105622,65.87888759622693,95.4505423865006,92.8,97.36842105263158,94.82520414388648,93.07116831743755,96.24018974283125,96.84758369332731,96.3855421686747,97.43589743589743,85.96626612603806,85.82749167298488,86.10218493774471,13614.708514134349,13503.268342639663,13695.336039231373,1216,777
full,mild,warm_2_4s,3,"[43, 7, 19]",65.11333042137666,62.894463638862895,67.58677412666036,62.49044430488877,59.58549222797927,65.07177033492823,0.0,0.0,0.0,63.5,56.0,73.5,100.16666666666667,96.5,104.5,98.68846646987798,96.06539940963391,100.0,70.99890121558163,66.8139149723069,73.5938090430656,98.68846646987798,96.06539940963391,100.0,40.0,40.0,40.0,71.00116115232079,66.81048052665655,73.60348055408289,98.68846646987798,96.06539940963391,100.0,40.0,40.0,40.0,70.99587629830782,66.81496584226237,73.58877054017591,98.68846646987798,96.06539940963391,100.0,40.0,40.0,40.0,29.7665612117726,26.229508196721312,35.0,57.48449778749435,54.16260734694384,60.33222367305339,34.120370370370374,31.11111111111111,40.0,57.72460777981055,52.15963529922407,64.17808417404248,96.10318225650917,95.58823529411765,96.72131147540983,95.30701660180262,94.49762909042144,96.65447380370826,95.39207868155238,93.93939393939394,97.5,85.28190650536918,84.54481674449552,85.95312384224324,13614.708514134349,13503.268342639663,13695.336039231373,601,376
full,static,full_population,3,"[43, 7, 19]",63.20544596185308,62.926405536088325,63.381924099984744,76.26488095238095,75.29761904761905,77.67857142857143,0.2976190476190476,0.0744047619047619,0.44642857142857145,75.42294771650006,74.64990788627031,76.94516163586641,98.89536461990883,98.45875976363817,99.17149382922578,94.29620662953955,94.13365593772726,94.53462610281812,61.49344157987364,60.89939356687051,62.43641306377264,94.29620662953955,94.13365593772726,94.53462610281812,,,,61.49681382520725,60.90177757295183,62.440176203293156,94.29620662953955,94.13365593772726,94.53462610281812,,,,61.4934337831669,60.89801256618665,62.43747094773096,94.29620662953955,94.13365593772726,94.53462610281812,,,,34.548611111111114,33.854166666666664,35.677083333333336,58.088140262852335,57.54970058422401,58.6084262732831,90.74074074074075,88.54166666666667,94.79166666666667,84.28362724879082,79.90870189641697,88.46173754075365,92.10069444444446,90.10416666666667,93.75,90.54262784250767,88.14353541576031,91.9569223146848,96.2962962962963,94.79166666666667,97.56944444444444,93.18924816190798,91.80016249224134,94.96356880654724,13590.257099327702,13552.281488412187,13650.385229576626,4032,3075
