scenario,seed,policy,window,U_percent,slo_percent,slo_count,slo_passed,arrival_slo_percent,timely_completions_per_second,total_completions_per_second,all_npus_active,all_disks_overload_percent,SSU0_mean_demand_GiB_s,SSU0_overload_percent,SSU0_actual_GiB_s,SSU1_mean_demand_GiB_s,SSU1_overload_percent,SSU1_actual_GiB_s,SSU2_mean_demand_GiB_s,SSU2_overload_percent,SSU2_actual_GiB_s,LL_slo_percent,LL_slo_count,LL_slo_passed,LL_active_U_percent,LS_slo_percent,LS_slo_count,LS_slo_passed,LS_active_U_percent,SL_slo_percent,SL_slo_count,SL_slo_passed,SL_active_U_percent,SS_slo_percent,SS_slo_count,SS_slo_passed,SS_active_U_percent,makespan_ms,manifest_sha256,result_sha256
semi,7,once,warm_2_4s,98.80441232441721,99.42857142857143,175,174,0.0,87.0,87.5,True,26.437646329910443,34.896036734625206,26.437646329910443,34.09469897166589,34.90295601097105,26.437646329910443,34.101412838853385,34.89776741643894,26.437646329910443,34.09738451854087,100.0,62,62,98.55634185371242,94.44444444444444,18,17,90.08350299702909,100.0,79,79,99.91533968534179,100.0,16,16,100.0,11399.157156090521,f7c1ff116e6e71006e9681b435053eb85e2d7161af24867997a5a435be473316,dc9ace447bb9317715b0a83d0dc62b7fd1e4ccd17f1bdcaaf781a4cea354334f
semi,7,once,long_2_6s,99.25333015168695,99.70414201183432,338,337,0.0,84.25,84.5,True,19.70372796906805,33.78722289562933,19.70372796906805,33.20330423355962,33.792957525227536,19.70372796906805,33.20884317398931,33.79119515686694,19.70372796906805,33.207374515542035,100.0,132,132,99.10438109258097,96.875,32,31,93.74036281979416,100.0,138,138,99.93091955068665,100.0,36,36,99.79979283304763,11399.157156090521,f7c1ff116e6e71006e9681b435053eb85e2d7161af24867997a5a435be473316,dc9ace447bb9317715b0a83d0dc62b7fd1e4ccd17f1bdcaaf781a4cea354334f
semi,7,once,full_population,96.54939532850084,99.27083333333333,960,953,3.4375,83.60267228097791,84.21675276992528,False,21.60687646147875,33.86384545519443,21.60687646147875,,33.86568176800987,21.6508363523864,,33.86346869587076,21.6508363523864,,99.47916666666667,384,382,97.8482297726901,94.79166666666667,96,91,90.86354255634994,100.0,384,384,99.64661864566257,100.0,96,96,99.38580354877294,11399.157156090521,f7c1ff116e6e71006e9681b435053eb85e2d7161af24867997a5a435be473316,dc9ace447bb9317715b0a83d0dc62b7fd1e4ccd17f1bdcaaf781a4cea354334f
semi,19,once,warm_2_4s,99.47175529015799,100.0,164,164,0.0,82.0,82.0,True,15.993111268033498,33.533696484033804,15.993111268033498,33.33518788434786,33.540610848723155,15.993111268033498,33.341062518136916,33.54267230580376,15.993111268033498,33.34366414167207,100.0,70,70,99.50516296467745,100.0,15,15,96.73321575792211,100.0,62,62,99.52112945265475,100.0,17,17,99.78029208418887,11371.759161715847,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,7d332e848f5945ed153e38dd76de674f8f9e9502afa8f9e523f6712a1c94be93
semi,19,once,long_2_6s,99.56117867293105,100.0,327,327,0.0,81.75,81.75,True,16.326204798826417,33.457284800456726,16.326204798826417,33.13794941155803,33.465252454900124,16.326204798826417,33.14583820550333,33.46491339065772,16.326204798826417,33.14562839715372,100.0,142,142,99.5501027213265,100.0,31,31,97.1611666093256,100.0,121,121,99.72795459908458,100.0,33,33,99.88259343277593,11371.759161715847,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,7d332e848f5945ed153e38dd76de674f8f9e9502afa8f9e523f6712a1c94be93
semi,19,once,full_population,96.78201191424371,97.8125,960,939,2.6041666666666665,82.57297632201326,84.41965630365573,False,19.05460912435313,34.39874583353342,19.05460912435313,,34.400005135946984,19.05460912435313,,34.39787047040221,19.05460912435313,,98.4375,384,378,98.662081765173,93.75,96,90,84.82343174317782,99.21875,384,381,99.16996971343386,93.75,96,90,90.23896538084473,11371.759161715847,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,7d332e848f5945ed153e38dd76de674f8f9e9502afa8f9e523f6712a1c94be93
semi,43,once,warm_2_4s,99.57487213491923,100.0,154,154,0.0,77.0,77.0,True,14.111524910933758,31.634053904503652,14.111524910933758,31.584334341028583,31.629210839207946,14.111524910933758,31.579718557337163,31.62773031145124,14.111524910933758,31.577704397180913,100.0,73,73,99.49590732943689,100.0,15,15,97.65106153528106,100.0,58,58,99.89833525709238,100.0,8,8,100.0,11378.239544466553,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,12ef3050ebd42c98bf7359e6c1765e7a8c2f081e2a05cd0abd2129be2518b936
semi,43,once,long_2_6s,99.20088015578743,99.6969696969697,330,329,0.0,82.25,82.5,True,18.916150672894673,33.04958659928407,19.515259319914,32.568087898733985,33.05656494769654,18.916150672894673,32.57480176592148,33.053371419487014,19.515259319914,32.571612679007416,99.3103448275862,145,144,98.98200733953335,100.0,32,32,98.44291132851002,100.0,125,125,99.87118369526797,100.0,28,28,99.75962538509938,11378.239544466553,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,12ef3050ebd42c98bf7359e6c1765e7a8c2f081e2a05cd0abd2129be2518b936
semi,43,once,full_population,96.72689051535451,97.29166666666667,960,934,2.3958333333333335,82.08651227194645,84.37157578272868,False,21.23502387758867,34.42284113357177,21.534500296000626,,34.42419633531586,21.23502387758867,,34.42229764326334,21.44563946348067,,97.39583333333333,384,374,98.11291689452898,92.70833333333333,96,89,86.4098154468723,97.91666666666667,384,376,98.66182831756794,98.95833333333333,96,95,98.33193156925458,11378.239544466553,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,12ef3050ebd42c98bf7359e6c1765e7a8c2f081e2a05cd0abd2129be2518b936
full,7,once,warm_2_4s,64.68486716383389,71.9047619047619,210,151,0.0,80.0,105.0,True,96.55955687663948,67.44032405169011,96.55955687663948,40.0,67.44065770674038,96.55955687663948,40.0,67.44021598475695,96.55955687663948,40.0,23.333333333333332,60,14,55.79217337460551,75.0,44,33,72.7088679667873,98.46153846153847,65,64,97.27957043892532,97.5609756097561,41,40,95.72560584638106,13598.61006839216,2579438ed8ad9809db54da540f53bfe0c4020ac9c7b49b4a8c6f4a9808148706,b3e87014a4ef2a91d1e4c62b6d89aba80fd1109b707f799c134b85b52d87e680
full,7,once,long_2_6s,65.04937679976429,73.07692307692308,416,304,0.0,76.5,104.0,True,98.00786720802827,66.27604158478545,98.00786720802827,40.0,66.27685333233818,98.00786720802827,40.0,66.27656303270481,98.00786720802827,40.0,28.68217054263566,129,37,55.813287182667686,78.3132530120482,83,65,77.20174223299237,99.2063492063492,126,125,97.90631957372914,98.71794871794872,78,77,95.77642827502558,13598.61006839216,2579438ed8ad9809db54da540f53bfe0c4020ac9c7b49b4a8c6f4a9808148706,b3e87014a4ef2a91d1e4c62b6d89aba80fd1109b707f799c134b85b52d87e680
full,7,once,full_population,63.16599066817204,71.65178571428571,1344,963,0.22321428571428573,70.81606099128783,98.8336302931369,False,94.54856159290651,64.88092690604111,94.54856159290651,,64.88603769387136,94.54856159290651,,64.88207927729474,94.54856159290651,,33.854166666666664,384,130,57.841939576755976,68.75,288,198,67.81382415626322,95.57291666666667,384,367,94.56793977106713,93.05555555555556,288,268,87.43536539744805,13598.61006839216,2579438ed8ad9809db54da540f53bfe0c4020ac9c7b49b4a8c6f4a9808148706,b3e87014a4ef2a91d1e4c62b6d89aba80fd1109b707f799c134b85b52d87e680
full,19,once,warm_2_4s,63.10141964915474,80.29556650246306,203,163,0.0,78.0,101.5,True,100.0,66.7039298722391,100.0,40.0,66.70672654653517,100.0,40.0,66.7018828915246,100.0,40.0,36.666666666666664,60,22,51.74428402139043,95.65217391304348,46,44,85.94728196974239,100.0,61,61,98.92422821011728,100.0,36,36,98.84254379668388,13547.518185793011,82199c7849ad9a15d1e2ec67d55e538b1027068748eb7e3d7ad2a3c072613fc8,68b97beb2ed4f1de5c92231fa6618f9a4dc7ca69bf3d17d1308ebae9db5950cd
full,19,once,long_2_6s,68.46607249325221,76.86746987951807,415,319,0.0,80.25,103.75,True,97.42193964846058,63.25899013923177,97.42193964846058,40.0,63.26765997670254,97.42193964846058,40.0,63.256494753970614,97.42193964846058,40.0,35.2,125,44,60.0481647247967,83.11688311688312,77,64,77.8621296953888,99.21259842519684,127,126,98.26726939159983,98.83720930232558,86,85,95.11849981805358,13547.518185793011,82199c7849ad9a15d1e2ec67d55e538b1027068748eb7e3d7ad2a3c072613fc8,68b97beb2ed4f1de5c92231fa6618f9a4dc7ca69bf3d17d1308ebae9db5950cd
full,19,once,full_population,63.40420916215871,74.18154761904762,1344,997,0.44642857142857145,73.59281503275872,99.20636249150222,False,94.54837389813102,65.93831489256547,94.54837389813102,,65.94339745848562,94.57695429438817,,65.93973574793141,94.54837389813102,,33.59375,384,129,57.6071883572373,74.65277777777777,288,215,64.88905363916352,98.17708333333333,384,377,98.32633165804188,95.83333333333333,288,276,89.2703581058058,13547.518185793011,82199c7849ad9a15d1e2ec67d55e538b1027068748eb7e3d7ad2a3c072613fc8,68b97beb2ed4f1de5c92231fa6618f9a4dc7ca69bf3d17d1308ebae9db5950cd
full,43,once,warm_2_4s,65.53595269210966,76.19047619047619,189,144,0.0,67.0,94.5,True,100.0,64.55042463971338,100.0,40.0,64.55739607388385,100.0,40.0,64.55101226025798,100.0,40.0,33.333333333333336,57,19,56.06251126123015,83.72093023255815,43,36,77.98195468157594,100.0,50,50,99.62660557148942,100.0,39,39,99.02387272944087,13293.734981208403,a599c1ed8effea4d9b96cc0ca774cb22fb59c034e2c074658c2411354d5311ac,2a904aa4970f5447a91e36f058094278ed0807522c12ace970184138af1110e0
full,43,once,long_2_6s,68.35779763566921,75.57840616966581,389,294,0.0,70.25,97.25,True,99.96394079654792,63.451632934510975,99.96394079654792,40.0,63.44748882340192,99.96394079654792,40.0,63.44505648365231,99.96394079654792,40.0,37.60683760683761,117,44,60.066914087042065,77.41935483870968,93,72,74.27074060296013,99.14529914529915,117,116,99.3489781754359,100.0,62,62,99.00452039554106,13293.734981208403,a599c1ed8effea4d9b96cc0ca774cb22fb59c034e2c074658c2411354d5311ac,2a904aa4970f5447a91e36f058094278ed0807522c12ace970184138af1110e0
full,43,once,full_population,64.61462319614328,72.4702380952381,1344,974,0.6696428571428571,73.26759570405271,101.1002552630871,False,98.19168707587802,66.5427356311879,98.19168707587802,,66.54516639860091,98.19168707587802,,66.54162118738104,98.19168707587802,,33.59375,384,129,58.43444994902431,67.01388888888889,288,193,63.747573516187096,97.39583333333333,384,374,97.28112371497116,96.52777777777777,288,278,93.7329540377476,13293.734981208403,a599c1ed8effea4d9b96cc0ca774cb22fb59c034e2c074658c2411354d5311ac,2a904aa4970f5447a91e36f058094278ed0807522c12ace970184138af1110e0
