group,strategy,seed_count,seeds,status,ssu,warm_U_percent,warm_U_percent_min,warm_U_percent_max,warm_SLO_1p5_percent,warm_SLO_1p5_percent_min,warm_SLO_1p5_percent_max,full_U_percent,full_U_percent_min,full_U_percent_max,full_SLO_1p5_percent,full_SLO_1p5_percent_min,full_SLO_1p5_percent_max,warm_A_SLO_1p5_percent,warm_A_SLO_1p5_percent_min,warm_A_SLO_1p5_percent_max,warm_B_SLO_1p5_percent,warm_B_SLO_1p5_percent_min,warm_B_SLO_1p5_percent_max,full_A_SLO_1p5_percent,full_A_SLO_1p5_percent_min,full_A_SLO_1p5_percent_max,full_B_SLO_1p5_percent,full_B_SLO_1p5_percent_min,full_B_SLO_1p5_percent_max,warm_nominal_any_disk_over40_percent,warm_nominal_any_disk_over40_percent_min,warm_nominal_any_disk_over40_percent_max,full_nominal_any_disk_over40_percent,full_nominal_any_disk_over40_percent_min,full_nominal_any_disk_over40_percent_max,warm_slo_total_count,warm_slo_total_passed,warm_nominal_underload_seed_count,warm_nominal_max_disk_GB_s,warm_internal_pending_underload_seed_count,full_slo_total_count,full_slo_total_passed,full_nominal_underload_seed_count,full_nominal_max_disk_GB_s,full_internal_pending_underload_seed_count,warm_all32_active_seed_count,warm_all32_compute_AB_seed_count,warm_min_mixed_compute_npu_count
XY12_32,asu_baseline,3,"7,19,43",complete,6,99.9996767045073,99.9990301135219,100.0,100.0,100.0,100.0,99.84406452347413,99.82206002473252,99.861905405582,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1187,1187,3,22.741435366914793,3,4992,4992,3,25.764898258919906,3,3,0,30
XY12_32,od_baseline,3,"7,19,43",complete,6,99.9973177514242,99.99195325427262,100.0,100.0,100.0,100.0,99.70118227627432,99.68367387258772,99.73452809487893,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1187,1187,3,22.794180731222568,3,4992,4992,3,25.764898258919917,3,3,0,30
XY12_32,once,3,"7,19,43",complete,6,100.0,100.0,100.0,100.0,100.0,100.0,99.77427419625198,99.7544285116334,99.80474396818131,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1187,1187,3,22.82288849460883,3,4992,4992,3,25.846351386613964,3,3,0,30
XY12_24,asu_baseline,3,"7,19,43",complete,6,99.9865309225723,99.97132559401946,100.0,100.0,100.0,100.0,99.84876718583133,99.82366735742104,99.86397423027063,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1605,1605,3,24.268292608636006,3,6240,6240,3,26.854985645651674,3,3,2,31
XY12_24,od_baseline,3,"7,19,43",complete,6,99.99218789058116,99.98027130103456,99.99917889620858,100.0,100.0,100.0,99.72948286594058,99.66219158771177,99.78113598672557,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1605,1605,3,24.26580075826371,3,6240,6240,3,27.068099538950452,3,3,2,31
XY12_24,once,3,"7,19,43",complete,6,99.98957645753222,99.97358986656856,100.0,100.0,100.0,100.0,99.72158093639796,99.65791925946127,99.79179221653412,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1605,1605,3,24.408641391372683,3,6240,6240,3,25.980145713872215,3,3,2,31
XY12_20,asu_baseline,3,"7,19,43",complete,6,99.98088004014011,99.96508242360599,99.99351145235757,100.0,100.0,100.0,99.69056039365843,99.54771796253384,99.82170377619138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,2008,3,25.640643447390666,3,6240,6240,3,26.92043605532397,3,3,3,32
XY12_20,od_baseline,3,"7,19,43",complete,6,99.97696492209374,99.96726884467677,99.98811301986873,100.0,100.0,100.0,99.6718367702927,99.62267750621609,99.71173622028492,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2010,3,25.939193883573235,3,6240,6240,3,27.120699682674406,3,3,3,32
XY12_20,once,3,"7,19,43",complete,6,99.97816860769386,99.97693856040618,99.97959533530515,100.0,100.0,100.0,99.61800426502627,99.56604864138595,99.66102619589063,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2005,3,25.91243260591783,3,6240,6240,3,26.92043605532397,3,3,3,32
XY12_16,asu_baseline,3,"7,19,43",complete,6,99.74083459747499,99.63800378417213,99.80505010897114,100.0,100.0,100.0,99.31061379712732,99.19578327464697,99.3976893983266,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2555,2555,3,28.79430472826066,3,7488,7488,3,28.794304728260688,3,3,3,32
XY12_16,od_baseline,3,"7,19,43",complete,6,99.89069313118789,99.87029477251488,99.91065073778383,100.0,100.0,100.0,99.52920427975006,99.46597789069574,99.57784752355015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2556,2556,3,28.76507716562997,3,7488,7488,3,28.792781534297283,3,3,3,32
XY12_16,once,3,"7,19,43",complete,6,99.86846476621346,99.85904554705836,99.8828409323133,100.0,100.0,100.0,99.34839376338554,99.25914627200446,99.41613058392845,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2556,2556,3,28.461094202774987,3,7488,7488,3,28.50037730309512,3,3,3,32
X16,asu_baseline,3,"7,19,43",complete,6,99.85219737714687,99.77715679441535,99.89406997629102,100.0,100.0,100.0,99.60732548675355,99.53298921520441,99.66755585967859,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2372,2372,3,26.516159499473247,3,7488,7488,3,28.22728278296058,3,3,3,32
X16,od_baseline,3,"7,19,43",complete,6,99.90024911583518,99.87327653287072,99.91430596720875,100.0,100.0,100.0,99.59760408910981,99.55679325809965,99.62191778567703,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2373,2373,3,26.649450627919308,3,7488,7488,3,28.22728278296058,3,3,3,32
X16,once,3,"7,19,43",complete,6,99.9060720641304,99.89751971816975,99.91777676717695,100.0,100.0,100.0,99.55320606503265,99.47743099976033,99.6075322465023,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2366,2366,3,26.516159499473247,3,7488,7488,3,26.962031695390586,3,3,3,32
R32_A200_B10,asu_baseline,3,"7,19,43",complete,3,97.2703934218048,96.33867121220622,97.89858780528334,85.53812758429802,81.08747044917257,91.68490153172867,93.27664552449637,92.82185993469429,93.71918333071423,79.55128205128206,78.3173076923077,80.96153846153847,100.0,100.0,100.0,84.06040429445167,78.83597883597884,90.68627450980392,100.0,100.0,100.0,77.84722222222223,76.51041666666667,79.375,7.068213798759688,0.0,16.331235929177907,15.919237797582225,11.091569116709376,19.52807124591623,1437,1229,1,50.63317242965685,3,6240,4964,0,79.42146799055206,0,3,3,32
R32_A200_B10,od_baseline,3,"7,19,43",complete,3,98.49681115632585,96.94476236446916,99.55478889349767,96.93938117051113,91.06145251396647,100.0,94.2133203110661,93.27181364505613,95.35655424259262,88.65384615384615,88.26923076923077,88.89423076923076,100.0,100.0,100.0,96.71580751540398,90.41916167664671,100.0,100.0,100.0,100.0,87.70833333333333,87.29166666666667,87.96875,6.286323789330466,0.0,14.841979867494457,14.599058595937818,12.213754030605125,16.37883195871289,1378,1329,1,58.5235716397548,2,6240,5532,0,78.93611781321717,0,3,2,31
R32_A200_B10,once,3,"7,19,43",complete,3,98.50325443492216,97.5207221899655,99.1679424992416,95.464250604265,89.16967509025271,99.7752808988764,94.69940977530949,94.26501878495027,95.28709690762444,87.96474358974359,86.29807692307693,89.47115384615385,100.0,100.0,100.0,95.095471636816,88.37209302325581,99.74937343358395,100.0,100.0,100.0,86.96180555555556,85.15625,88.59375,6.183381130023872,0.0,14.750918939880739,14.620459834885386,11.061667980656662,16.98033351068159,1430,1358,1,54.48249774032851,3,6240,5489,0,80.3628399489928,0,3,2,31
XY12_16_S4_control,asu_baseline,3,"7,19,43",complete,4,96.87568631285312,96.06384760498148,97.91440802718782,99.83955074207782,99.51865222623346,100.0,95.67854906672818,94.98197450227612,96.49587167358183,99.58600427350427,99.31891025641025,100.0,100.0,100.0,100.0,99.82570806100217,99.47712418300654,100.0,100.0,100.0,100.0,99.55150462962963,99.26215277777779,100.0,0.8729746093287986,0.0,1.436235642299721,0.5154747525581869,0.4864909936478694,0.5404595313006433,2475,2471,1,40.56536318368185,3,7488,7457,0,40.565363183681924,3,3,3,32
XY12_16_S4_control,od_baseline,3,"7,19,43",complete,4,99.123723806397,99.02581200155723,99.25660656842922,100.0,100.0,100.0,97.99610187144657,97.69391841809201,98.20905332558641,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.1066694573212088,0.0,1.873392849676361,0.47885157248002114,0.17589628056576748,0.7393877501039223,2531,2531,1,40.48190753180617,3,7488,7488,0,40.574872995709946,3,3,3,32
XY12_16_S4_control,once,3,"7,19,43",complete,4,98.15869570622554,97.91150026818161,98.39197216481779,100.0,100.0,100.0,96.77811622242585,96.10307601369041,97.2113945520104,99.42574786324786,99.11858974358975,99.9599358974359,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.37789351851852,99.04513888888889,99.95659722222221,1.5073781387480267,0.0,3.7893286765374796,0.8420861501068113,0.5144140674779843,1.377944963688488,2501,2501,1,41.00248761748153,3,7488,7445,0,41.08673200690312,3,3,3,32
