group,scenario_kind,strategy,seed,npu,ssu,warm_U_percent,warm_SLO_1p5_percent,warm_slo_passed,warm_slo_count,full_U_percent,full_SLO_1p5_percent,full_slo_passed,full_slo_count,warm_all32_active,warm_mixed_active_npu_count,warm_mixed_compute_npu_count,makespan_ms,input_fingerprint,manifest_sha256,full_ratio_max,warm_missing_compute_A_npu_ids,warm_missing_compute_B_npu_ids,warm_not_continuously_active_npu_ids,warm_nominal_strict_under40,warm_nominal_max_disk_GB_s,warm_nominal_any_disk_over40_percent,warm_internal_pending_strict_under40,warm_internal_pending_max_disk_GB_s,warm_internal_pending_any_disk_over40_percent,warm_A_SLO_1p5_percent,warm_A_slo_passed,warm_A_slo_count,warm_B_SLO_1p5_percent,warm_B_slo_passed,warm_B_slo_count,full_nominal_strict_under40,full_nominal_max_disk_GB_s,full_nominal_any_disk_over40_percent,full_internal_pending_strict_under40,full_internal_pending_max_disk_GB_s,full_internal_pending_any_disk_over40_percent,full_A_SLO_1p5_percent,full_A_slo_passed,full_A_slo_count,full_B_SLO_1p5_percent,full_B_slo_passed,full_B_slo_count
XY12_32,original_five,asu_baseline,7,32,6,99.9990301135219,100.0,392,392,99.861905405582,100.0,1664,1664,True,31,31,7883.0413433435415,34b1c6d9ea0811f1a43b37f73f93ea36e585d5aff7125df51d62f926780ee824,5bc09ca8e5f6fe5e2ef726a39d1974d302daa1d4e02828956f9552a12168a457,1.0816091782384039,,23,,True,21.884022600181908,0.0,True,17.326280144214074,0.0,100.0,34,34,100.0,358,358,True,25.08952925597426,0.0,True,23.4479671496144,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,asu_baseline,19,32,6,100.0,100.0,361,361,99.84822814010789,100.0,1664,1664,True,30,30,7884.1211667034995,b4da8f93d4873b94719e6c2803f2802832d79736dfd419951221ddb0d7f46094,11409f04d6ac1a1b913bb06815077b05ea02603c01ae623c7a0f2c515afc81e8,1.1047118881812257,28,2,,True,20.00430400775188,0.0,True,12.443984522637033,0.0,100.0,36,36,100.0,325,325,True,25.309909147485424,0.0,True,22.960151626248123,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,asu_baseline,43,32,6,100.0,100.0,434,434,99.82206002473252,100.0,1664,1664,True,31,31,7886.187970296553,747090e2ce6fc667ab29698bfb2dab193410c048fcb1df69462ee7f005cebb62,9573ec79ef84e90e73da204a30749c12ac7a8f133944b2f207e34c185a28db01,1.11042596931457,11,,,True,22.741435366914793,0.0,True,15.43485131011709,0.0,100.0,34,34,100.0,400,400,True,25.764898258919906,0.0,True,23.005577610360653,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,od_baseline,7,32,6,100.0,100.0,392,392,99.73452809487893,100.0,1664,1664,True,31,31,7893.109276943437,34b1c6d9ea0811f1a43b37f73f93ea36e585d5aff7125df51d62f926780ee824,5bc09ca8e5f6fe5e2ef726a39d1974d302daa1d4e02828956f9552a12168a457,1.1036005146973649,,23,,True,21.34607245305729,0.0,True,17.117455914182905,0.0,100.0,34,34,100.0,358,358,True,24.747555593167096,0.0,True,22.557086191920366,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,od_baseline,19,32,6,100.0,100.0,361,361,99.68367387258772,100.0,1664,1664,True,30,30,7897.135993838437,b4da8f93d4873b94719e6c2803f2802832d79736dfd419951221ddb0d7f46094,11409f04d6ac1a1b913bb06815077b05ea02603c01ae623c7a0f2c515afc81e8,1.1045491414480173,28,2,,True,19.86403078483732,0.0,True,11.908469183518692,0.0,100.0,36,36,100.0,325,325,True,25.309909147485417,0.0,True,22.960151626248134,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,od_baseline,43,32,6,99.99195325427262,100.0,434,434,99.68534486135631,100.0,1664,1664,True,31,31,7897.003617052595,747090e2ce6fc667ab29698bfb2dab193410c048fcb1df69462ee7f005cebb62,9573ec79ef84e90e73da204a30749c12ac7a8f133944b2f207e34c185a28db01,1.0925004656832598,11,,,True,22.794180731222568,0.0,True,16.259447195322736,0.0,100.0,34,34,100.0,400,400,True,25.764898258919917,0.0,True,23.138254091628774,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,once,7,32,6,100.0,100.0,392,392,99.80474396818131,100.0,1664,1664,True,31,31,7887.556218652656,34b1c6d9ea0811f1a43b37f73f93ea36e585d5aff7125df51d62f926780ee824,5bc09ca8e5f6fe5e2ef726a39d1974d302daa1d4e02828956f9552a12168a457,1.1878050892111625,,23,,True,21.604007650364057,0.0,True,11.61150505461746,0.0,100.0,34,34,100.0,358,358,True,24.59577531306271,0.0,True,18.50281453032164,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,once,19,32,6,100.0,100.0,361,361,99.76365010894122,100.0,1664,1664,True,30,30,7890.805198863822,b4da8f93d4873b94719e6c2803f2802832d79736dfd419951221ddb0d7f46094,11409f04d6ac1a1b913bb06815077b05ea02603c01ae623c7a0f2c515afc81e8,1.2274244529078189,28,2,,True,20.0676525897471,0.0,True,8.556252124764548,0.0,100.0,36,36,100.0,325,325,True,25.309909147485413,0.0,True,19.017160928803037,0.0,100.0,128,128,100.0,1536,1536
XY12_32,original_five,once,43,32,6,100.0,100.0,434,434,99.7544285116334,100.0,1664,1664,True,31,31,7891.5346484638585,747090e2ce6fc667ab29698bfb2dab193410c048fcb1df69462ee7f005cebb62,9573ec79ef84e90e73da204a30749c12ac7a8f133944b2f207e34c185a28db01,1.2363196529774019,11,,,True,22.82288849460883,0.0,True,7.735827468023068,0.0,100.0,34,34,100.0,400,400,True,25.846351386613964,0.0,True,18.34818941352827,0.0,100.0,128,128,100.0,1536,1536
XY12_24,original_five,asu_baseline,7,32,6,99.98826717369742,100.0,511,511,99.85865996980233,100.0,2080,2080,True,32,32,7316.408047607197,cbea8ce6aba6562361bd3d52a4070e31988b1df6f2f3466c03379d89f73b76b8,d2891694d3cff18358b76d78bb5598f0bebb8f8cb34bf36628c5837f1a617851,1.0785848231804294,,,,True,23.301643255066413,0.0,True,15.546902659726108,0.0,100.0,47,47,100.0,464,464,True,26.854985645651674,0.0,True,25.98014571387221,0.0,100.0,160,160,100.0,1920,1920
