condition,label,policy,seed,U_percent,slo_1p5_percent,cohort_count,all_disks_underload_percent,all_disks_overload_percent,any_disk_overload_percent,total_mean_demand_GiB_s,total_actual_supply_GiB_s,source_case
full,持续过载,asu_baseline,7,63.05796619661301,37.37373737373738,198,0.0,100.0,100.0,350.2664907444766,116.67898470023587,full_asu_baseline_seed7_remote
full,持续过载,asu_baseline,19,61.230832601918806,40.526315789473685,190,0.0,100.0,100.0,353.66882227380336,115.58179056632959,full_asu_baseline_seed19_remote
full,持续过载,asu_baseline,43,56.185520922456206,38.20224719101124,178,0.0,100.0,100.0,421.49919490202115,114.87429809570311,full_asu_baseline_seed43_local
full,持续过载,od_baseline,7,61.21773759528999,34.55497382198953,191,0.0,100.0,100.0,384.55365120533645,116.00751495361327,full_od_baseline_seed7_remote
full,持续过载,od_baseline,19,60.112326100900624,35.05154639175258,194,0.0,100.0,100.0,380.50498750929785,115.48911332812499,full_od_baseline_seed19_remote
full,持续过载,od_baseline,43,59.34285884690564,34.25414364640884,181,0.0,100.0,100.0,416.6614685492224,114.92017525975766,full_od_baseline_seed43_local
under,持续欠载,asu_baseline,7,100.0,100.0,148,100.0,0.0,0.0,76.89983762622356,76.4469288254248,random_asu_baseline_seed7_remote
under,持续欠载,asu_baseline,19,100.0,100.0,142,100.0,0.0,0.0,75.55250527066269,74.48472756700204,random_asu_baseline_seed19_remote
under,持续欠载,asu_baseline,43,100.0,100.0,145,100.0,0.0,0.0,73.67463529631053,73.86965581072036,random_asu_baseline_seed43_local
under,持续欠载,od_baseline,7,100.0,100.0,147,100.0,0.0,0.0,76.84151787243945,76.19137542979036,random_od_baseline_seed7_remote
under,持续欠载,od_baseline,19,100.0,100.0,141,100.0,0.0,0.0,75.50316358154326,74.47038330470977,random_od_baseline_seed19_remote
under,持续欠载,od_baseline,43,100.0,100.0,143,100.0,0.0,0.0,73.62658255124298,73.68933134801749,random_od_baseline_seed43_local
semi,局部欠载,asu_baseline,7,98.46492524736092,92.0,175,60.85515675607732,27.68775050584221,39.14484324392268,112.42418656158065,102.11262301675373,semi_asu_baseline_seed7_remote
semi,局部欠载,asu_baseline,19,99.37043630788132,96.47058823529412,170,69.54556268280179,12.756305522197419,30.454437317198224,104.09438120073074,99.7757020561815,semi_asu_baseline_seed19_remote
semi,局部欠载,asu_baseline,43,98.3616992449969,91.13924050632912,158,72.17260544343796,24.154426637644974,27.827394556562034,104.70112326755071,93.64560727211838,semi_asu_baseline_seed43_local
semi,局部欠载,od_baseline,7,98.44046450514662,91.57303370786516,178,54.00991880010683,27.859850588190138,45.99008119989317,113.98539313294772,102.51363561587058,semi_od_baseline_seed7_remote
semi,局部欠载,od_baseline,19,98.42312764436537,94.67455621301775,169,68.7733365110169,23.904173613872697,31.226663488983103,111.91569732642563,99.41524566675255,semi_od_baseline_seed19_remote
semi,局部欠载,od_baseline,43,98.41033790018516,94.33962264150944,159,75.68070677725878,21.916861201505345,24.319293222741223,106.69257165323964,93.85114588462642,semi_od_baseline_seed43_local
