case,family,kind,num_ssu,pressure_ttl_ms,cir_write_threshold_gbps,min_interval_ms,family_anchor_case,mean_npu_utilization_pct,primary_slo_alpha,sensitivity_slo_alpha,equal_npu_slo_pct,request_weighted_slo_pct,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,alpha_1p5_equal_npu_change_vs_alpha_2_pp,alpha_1p5_request_weighted_change_vs_alpha_2_pp,slo_delta_vs_family_anchor_pp,alpha_1p5_equal_npu_delta_vs_family_anchor_pp,alpha_1p5_request_weighted_delta_vs_family_anchor_pp,util_delta_vs_family_anchor_pp,control_rate_reduction_vs_family_anchor_pct,static_baseline_equal_npu_slo_pct,static_baseline_alpha_1p5_equal_npu_slo_pct,static_baseline_alpha_1p5_request_weighted_slo_pct,static_baseline_mean_npu_utilization_pct,slo_delta_vs_static_baseline_pp,alpha_1p5_equal_npu_delta_vs_static_baseline_pp,alpha_1p5_request_weighted_delta_vs_static_baseline_pp,util_delta_vs_static_baseline_pp,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,single_outcome_weight_at_min_sample_pp,measurement_cohort_fingerprint,realized_cohort_fleet_raw_demand_gbps,realized_cohort_per_npu_demand_min_gbps,realized_cohort_per_npu_demand_max_gbps,realized_cohort_per_npu_demand_mean_gbps,realized_cohort_per_npu_demand_cv,realized_cohort_per_npu_ms_per_gb_min,realized_cohort_per_npu_ms_per_gb_max,common_with_anchor_request_count,common_with_anchor_npu_count,common_coverage_current_pct,common_coverage_anchor_pct,common_request_slo_pct,anchor_common_request_slo_pct,common_request_slo_delta_pp,common_equal_npu_slo_pct,anchor_common_equal_npu_slo_pct,common_equal_npu_slo_delta_pp,true_pressure_read_rate_hz_per_ssu,true_pressure_read_rate_hz_max_ssu,true_pressure_read_interval_ms_busiest_ssu,pressure_cache_hit_fraction_pct,cir_entry_write_rate_hz_per_ssu,cir_entry_write_rate_hz_max_ssu,cir_write_transaction_rate_hz_per_ssu,cir_write_transaction_rate_hz_max_ssu,cir_entries_per_transaction,control_evaluation_rate_hz,warmup_reached_ms,measurement_start_ms,tail_drain_ms,fleet_queue_start_blocks,fleet_queue_end_blocks,fleet_queue_drift_blocks,queue_start_by_ssu_json,queue_end_by_ssu_json,queue_drift_by_ssu_json,max_abs_queue_drift_blocks,block_utilization_range_pp,block_first_last_utilization_delta_pp,prefix_margin_at_fastest_npu,fleet_raw_demand_gbps,raw_capacity_knee_ssu,global_raw_load_fraction,max_ssu_raw_demand_gbps,ssu_over_40_count,max_actual_ssu_cir_gbps,backing_prefix_requests_per_npu,backing_fleet_raw_demand_gbps,backing_raw_capacity_knee_ssu,max_actual_npu_cir_gbps,all_invariants_passed,wall_time_s,category_SS_count,category_SS_passed,category_SS_slo_pct,category_SL_count,category_SL_passed,category_SL_slo_pct,category_LS_count,category_LS_passed,category_LS_slo_pct,category_LL_count,category_LL_passed,category_LL_slo_pct,raw_demand_bins_le_10_count,raw_demand_bins_le_10_passed,raw_demand_bins_le_10_slo_pct,raw_demand_bins_gt_10_le_20_count,raw_demand_bins_gt_10_le_20_passed,raw_demand_bins_gt_10_le_20_slo_pct,raw_demand_bins_gt_20_le_40_count,raw_demand_bins_gt_20_le_40_passed,raw_demand_bins_gt_20_le_40_slo_pct,raw_demand_bins_gt_40_le_50_count,raw_demand_bins_gt_40_le_50_passed,raw_demand_bins_gt_40_le_50_slo_pct,raw_demand_bins_gt_50_le_80_count,raw_demand_bins_gt_50_le_80_passed,raw_demand_bins_gt_50_le_80_slo_pct,raw_demand_bins_gt_80_count,raw_demand_bins_gt_80_passed,raw_demand_bins_gt_80_slo_pct
baseline,baseline,baseline,6,0.0,0.0,0.0,baseline,97.11210077113167,2.0,1.5,87.73418504963905,86.86868686868688,83.42779702515725,81.98653198653199,-4.306388024481805,-4.882154882154893,0.0,0.0,0.0,0.0,0.0,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,0.0,0.0,0.0,0.0,594,8,17.0,30,0.390625,60e27ca6bb3d042e1f95b8b52225fe5a3d891d71aaea2a9cc0c3acca3652d7dd,202.45234223917558,2.723650916257914,11.912171215325603,6.326635694974237,0.3354594748255874,83.9477524226188,367.15424654122813,594,32,100.0,100.0,86.86868686868688,86.86868686868688,0.0,87.73418504963905,87.73418504963905,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8985.418338878699,9485.418338878699,1758.9126213345044,1530,430,-1100,"[396,209,243,223,266,193]","[91,64,68,72,71,64]","[-305,-145,-175,-151,-195,-129]",305,9.491766986713046,-1.035014244059107,65,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,,True,464.67159365699627,81,55,67.90123456790124,106,106,100.0,169,117,69.23076923076923,238,238,100.0,264,264,100.0,80,80,100.0,106,102,96.22641509433963,11,8,72.72727272727273,71,59,83.09859154929578,62,3,4.838709677419355
layer_once_ttl_0ms,ttl,layer_once,6,0.0,0.0,0.0,layer_once_ttl_0ms,96.91402539529199,2.0,1.5,92.79869746407525,92.29480737018424,86.32513790018861,85.09212730318258,-6.473559563886639,-7.2026800670016655,0.0,0.0,0.0,0.0,0.0,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,5.064512414436194,2.897340875031361,3.105595316650593,-0.1980753758396787,597,8,17.0,30,0.390625,8e9d15de6f77600dced5e5e295ed6b9676c3bfdcabab063fc2ab2bfe50f364d4,203.29224012105493,2.9990899497087495,11.842477435529807,6.352882503782967,0.32508550919602747,84.44179061720645,333.43448071542934,597,32,100.0,100.0,92.29480737018424,92.29480737018424,0.0,92.79869746407525,92.79869746407525,0.0,1191.5,1191.5,0.839278220730172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9063.671208145599,9563.671208145599,1788.700687281449,122,2053,1931,"[24,12,25,14,29,18]","[310,128,145,144,1214,112]","[286,116,120,130,1185,94]",1185,6.4449687991026465,-3.4569390695831204,65,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.0,128,199.55308290660196,4.988827072665049,,True,1859.4345442680642,82,82,100.0,106,106,100.0,171,126,73.68421052631578,238,237,99.57983193277312,265,265,100.0,79,78,98.73417721518987,106,106,100.0,12,12,100.0,73,68,93.15068493150685,62,22,35.483870967741936
layer_once_ttl_0p25ms,ttl,layer_once,6,0.25,0.0,0.0,layer_once_ttl_0ms,96.72385458516932,2.0,1.5,93.07022988547223,92.48747913188647,86.51937281333366,85.30884808013356,-6.5508570721385695,-7.178631051752916,0.27153242139698364,0.1942349131450527,0.2167207769509787,-0.190170810122666,21.76877885018884,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,5.336044835833178,3.0915757881764137,3.3223160936015717,-0.3882461859623447,599,8,17.5,30,0.390625,a2d6ba6740dbca15f3116f91dcf6466a3d457f463b583178e98cf8f5d9922412,202.4315745617445,2.9990899497087495,11.842477435529807,6.325986705054516,0.326197376243379,84.44179061720645,333.43448071542934,596,32,99.49916527545909,99.83249581239531,92.4496644295302,92.28187919463086,0.1677852348993314,93.02111352840308,92.79348913074192,0.2276243976611525,932.125,932.125,1.0728174869250369,21.439106616097767,0.0,0.0,0.0,0.0,0.0,0.0,9057.829584328856,9557.829584328856,1975.6046786056868,506,3809,3303,"[90,79,88,84,103,62]","[1552,10,22,25,2200,0]","[1462,-69,-66,-59,2097,-62]",2097,7.575137393521459,-5.617492508427291,63,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,,True,1415.0456367230508,82,82,100.0,106,106,100.0,171,127,74.26900584795322,240,239,99.58333333333333,266,266,100.0,80,79,98.75,107,107,100.0,12,12,100.0,73,71,97.26027397260275,61,19,31.147540983606557
layer_once_ttl_1ms,ttl,layer_once,6,1.0,0.0,0.0,layer_once_ttl_0ms,96.8918149128185,2.0,1.5,92.78650718315482,92.15358931552588,86.15497087568005,85.14190317195326,-6.631536307474775,-7.011686143572618,-0.012190280920421515,-0.17016702450855803,0.04977586877068063,-0.022210482473482784,52.9374737725556,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,5.052322133515773,2.727173850522803,3.1553711854212736,-0.2202858583131615,599,8,17.0,30,0.390625,30ac9e58d4a26533034f1063c825745cc2acfc0c8e8fd96460bdf7367df415e5,203.55307642588386,2.9990899497087495,11.74941209605982,6.3610336383088715,0.3120331551723352,85.11064143671932,333.43448071542934,594,32,99.1652754590985,99.49748743718592,92.08754208754209,92.42424242424242,-0.33670033670033517,92.74104597404231,92.90124775143157,-0.16020177738926833,560.75,560.75,1.7833259028087383,52.92759706190976,0.0,0.0,0.0,0.0,0.0,0.0,9039.360492283638,9539.360492283638,1831.8892181464544,630,2377,1747,"[117,108,91,98,125,91]","[1095,0,0,0,1282,0]","[978,-108,-91,-98,1157,-91]",1157,6.953231284803896,-5.161042114945847,65,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,,True,1406.2916933759116,82,82,100.0,106,106,100.0,171,129,75.43859649122807,240,235,97.91666666666666,265,265,100.0,81,76,93.82716049382715,108,108,100.0,12,12,100.0,73,72,98.63013698630137,60,19,31.666666666666664
layer_once_ttl_2ms,ttl,layer_once,6,2.0,0.0,0.0,layer_once_ttl_0ms,96.91153378809543,2.0,1.5,93.43676512558041,92.79731993299832,86.75043288033439,85.42713567839196,-6.686332245246021,-7.370184254606357,0.6380676615051613,0.4252949801457788,0.33500837520938376,-0.002491607196560608,69.92236676458245,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,5.702580075941356,3.3226358551771398,3.4406036918599767,-0.20056698303623932,597,8,17.0,30,0.390625,0f5a9b4a5381a4abca66cd8e7a916b744cac1430d526c9b8873a0a6a17d12aa4,201.3103366524517,2.9990899497087495,11.842477435529807,6.290948020389116,0.3255232904020949,84.44179061720645,333.43448071542934,594,32,99.49748743718592,99.49748743718592,92.76094276094277,92.42424242424242,0.33670033670034627,93.3538038160566,92.92369746407525,0.43010635198135194,358.375,358.375,2.790373212417161,69.80198019801979,0.0,0.0,0.0,0.0,0.0,0.0,9017.70168398345,9517.70168398345,1854.2891988907431,257,5536,5279,"[43,43,43,43,43,42]","[1946,328,512,376,2108,266]","[1903,285,469,333,2065,224]",2065,8.204290194908426,-5.068597710931655,66,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,,True,1430.5730108569842,82,82,100.0,107,107,100.0,170,127,74.70588235294117,238,238,100.0,266,266,100.0,79,79,100.0,107,107,100.0,12,12,100.0,72,70,97.22222222222221,61,20,32.78688524590164
layer_once_ttl_5ms,ttl,layer_once,6,5.0,0.0,0.0,layer_once_ttl_0ms,96.74926946778646,2.0,1.5,92.13473584185385,91.47157190635451,86.55371005579332,85.61872909698997,-5.581025786060536,-5.852842809364546,-0.6639616222213931,0.22857215560470934,0.5266017938073873,-0.16475592750552437,85.15526647083507,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,4.400550792214801,3.1259130306360703,3.63219711045798,-0.3628313033452031,598,8,17.5,30,0.390625,0264131b93fb759d7e56f85162c8c965cb59ef9c2bc76813763e4060c5383a6b,202.1772930271192,2.9990899497087495,11.749412096059821,6.318040407097475,0.31874864096914396,85.1106414367193,333.43448071542934,591,32,98.82943143812709,98.99497487437186,91.37055837563452,92.55499153976311,-1.1844331641285955,92.03369790093377,93.00377177539522,-0.9700738744614523,176.875,176.875,5.6537102473498235,85.09585001053297,0.0,0.0,0.0,0.0,0.0,0.0,9013.57223881561,9513.57223881561,1980.674227887579,2164,1825,-339,"[403,337,345,362,399,318]","[275,229,249,220,647,205]","[-128,-108,-96,-142,248,-113]",248,7.1184080826108165,-5.114992739885704,63,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.0,128,199.55308290660196,4.988827072665049,,True,2109.331980152987,84,82,97.61904761904762,106,106,100.0,169,122,72.18934911242604,239,237,99.16317991631799,265,265,100.0,80,78,97.5,107,107,100.0,13,13,100.0,72,68,94.44444444444444,61,16,26.229508196721312
adaptive_t0_i25ms,threshold_interval,adaptive,6,0.0,0.0,25.0,adaptive_t0_i25ms,97.15814659078426,2.0,1.5,94.99040588700515,94.7107438016529,88.04885356677636,86.94214876033057,-6.941552320228794,-7.768595041322328,0.0,0.0,0.0,0.0,0.0,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,7.256220837366101,4.621056541619112,4.955616773798582,0.04604581965259058,605,8,18.0,33,0.390625,a47e5cad2c430539e104bb48f73a81a4b024a6c38300ef94a869b6eceb55ed5b,199.47934991658525,2.9990899497087495,11.74941209605982,6.233729684893291,0.31981803307443807,85.11064143671932,333.43448071542934,605,32,100.0,100.0,94.7107438016529,94.7107438016529,0.0,94.99040588700515,94.99040588700515,0.0,0.0,0.0,,0.0,500.4166666666667,528.75,37.5,37.5,13.344444444444445,39.375,9321.547865069257,9821.547865069257,1900.5415760004616,1789,1883,94,"[964,155,156,133,229,152]","[400,251,317,303,416,196]","[-564,96,161,170,187,44]",564,7.7818519515069795,2.00664596963529,62,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,50.000000000000014,True,490.2452811289113,84,80,95.23809523809523,107,107,100.0,173,145,83.8150289017341,241,241,100.0,267,267,100.0,81,81,100.0,110,110,100.0,12,12,100.0,74,71,95.94594594594594,61,32,52.459016393442624
adaptive_t0p005_i25ms,threshold,adaptive,6,0.0,0.005,25.0,adaptive_t0_i25ms,97.08819015421686,2.0,1.5,95.92709611832096,95.54455445544554,88.38488244104536,87.29372937293729,-7.542213677275598,-8.250825082508243,0.9366902313158079,0.3360288742690045,0.3515806126067247,-0.06995643656739503,0.6619483763530387,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,8.192911068681909,4.957085415888116,5.307197386405306,-0.02391061691480445,606,8,18.5,33,0.390625,9869f8d4b42d9f89fec49a7659661ec0953d3401a6296e99afc223b154a4a31e,199.38089435349843,2.9990899497087495,11.74941209605982,6.230652948546828,0.3202870663163033,85.11064143671932,333.43448071542934,605,32,99.83498349834983,100.0,95.53719008264463,94.7107438016529,0.8264462809917328,95.9088212645198,94.99040588700515,0.9184153775146475,0.0,0.0,,0.0,497.1041666666667,531.0,38.25,38.25,12.996187363834423,39.5,9315.91806022308,9815.91806022308,1919.0393928406775,346,0,-346,"[193,11,43,0,92,7]","[0,0,0,0,0,0]","[-193,-11,-43,0,-92,-7]",193,7.843307772784547,1.8453405491856145,62,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,50.000000000000014,True,492.2776752600912,84,83,98.80952380952381,107,107,100.0,173,147,84.97109826589595,242,242,100.0,268,268,100.0,81,81,100.0,110,110,100.0,12,12,100.0,74,73,98.64864864864865,61,35,57.377049180327866
adaptive_t0p01_i25ms,threshold,adaptive,6,0.0,0.01,25.0,adaptive_t0_i25ms,96.85354690174914,2.0,1.5,95.16113052066379,94.69320066334991,87.56296149514344,86.7330016583748,-7.598169025520349,-7.9601990049751095,0.17072463365863655,-0.48589207163291803,-0.20914710195576447,-0.3045996890351148,12.489592006661109,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,7.426945471024737,4.135164469986194,4.746469671842817,-0.2585538693825242,603,7,18.5,32,0.44642857142857145,51b2bd459ce10d799fd07ae5500fc456105e00a43e4c3c3405d84fc943838594,201.14398261081544,2.9923386095330424,12.456269877935103,6.285749456587983,0.33897262201669937,80.28085532823826,334.1867784662415,600,32,99.50248756218906,99.17355371900827,94.66666666666667,94.66666666666667,0.0,95.13667977753457,94.98744660670212,0.14923317083244125,0.0,0.0,,0.0,437.9166666666667,496.25,37.875,37.875,11.562156215621561,39.625,9290.410157703473,9790.410157703473,1952.8460963778052,416,120,-296,"[73,61,74,63,78,67]","[116,0,0,0,4,0]","[43,-61,-74,-63,-74,-67]",74,8.895495760904504,1.3757028721839815,62,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000003,128,199.55308290660187,4.988827072665047,50.000000000000014,True,484.44558608694933,83,82,98.79518072289156,105,105,100.0,174,143,82.18390804597702,241,241,100.0,266,266,100.0,80,80,100.0,111,111,100.0,12,12,100.0,73,72,98.63013698630137,61,30,49.18032786885246
adaptive_t0p02_i25ms,threshold,adaptive,6,0.0,0.02,25.0,adaptive_t0_i25ms,97.1100298267369,2.0,1.5,95.54639572603591,95.22240527182866,87.06444110106384,85.83196046128501,-8.481954624972076,-9.390444810543656,0.555989839030758,-0.9844124657125235,-1.1101882990455607,-0.0481167640473501,22.47710241465446,87.73418504963905,83.42779702515725,81.98653198653199,97.11210077113167,7.812210676396859,3.636644075906588,3.845428474753021,-0.002070944394759522,607,8,18.5,33,0.390625,670de5a70353b629b99849b10e199ae3b9c45e574e15ded1ddeb15b81cf63ccb,199.49406327201098,2.9990899497087495,11.74941209605982,6.234189477250345,0.3181039434425631,85.11064143671932,333.43448071542934,604,32,99.50576606260296,99.83471074380165,95.19867549668875,94.70198675496688,0.4966887417218624,95.53108240980725,94.9739585185841,0.5571238912231546,0.0,0.0,,0.0,387.9375,443.625,37.4375,37.5,10.362270450751252,39.5,9274.576610667084,9774.576610667084,1887.8920516426006,5669,38,-5631,"[1697,642,818,845,1104,563]","[38,0,0,0,0,0]","[-1659,-642,-818,-845,-1104,-563]",1659,7.439876232211063,1.8083645424925465,62,209.7682928244016,5.24420732061004,0.8740345534350067,38.33101506501016,0,40.00000000000002,128,199.55308290660187,4.988827072665047,50.000000000000014,True,478.8184699951671,84,82,97.61904761904762,107,107,100.0,173,146,84.39306358381504,243,243,100.0,269,269,100.0,81,81,100.0,110,110,100.0,12,12,100.0,74,72,97.2972972972973,61,34,55.73770491803278
