case,label,window_s,start_s,end_s,npu_utilization_pct,compute_busy_npu_ms,ssd_mean_utilization_pct,ssd_served_gb,npu_link_mean_utilization_pct,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,ssd_outstanding_blocks_start,ssd_outstanding_blocks_end,ssd_outstanding_gb_start,ssd_outstanding_gb_end,npu_link_outstanding_blocks_start,npu_link_outstanding_blocks_end,npu_link_outstanding_gb_start,npu_link_outstanding_gb_end
baseline,Baseline,8.0,0.0,8.0,78.63877341361012,201315.25993884192,95.09070827836727,1217.1610659631003,9.509158303528032,1217.1722628515881,471,202937.73782943486,1223.199462890625,165.90731437198232,6.027461801701465,27.213408227488262,-1622.4778905929415,5195,4290,0.8714119926450083,0.719539449954465,89,23,0.014705845671597625,0.0034537362711504482
baseline,Baseline,8.0,8.0,16.0,78.48946311188396,200933.02556642293,95.54015379307761,1222.9139685513933,9.553869870048173,1222.8953433661661,479,196219.437228477,1222.984619140625,160.4430948333249,6.232739408566275,27.37962126847408,4713.5883379459265,4290,4483,0.719539449954465,0.7522566895767545,23,135,0.0034537362711504482,0.02248567528077043
baseline,Baseline,8.0,16.0,24.0,71.77766142654846,183750.81325196408,95.45172786190592,1221.7821166323956,9.545248933460234,1221.79186348291,484,185556.33249553439,1215.6007080078125,152.6457917251738,6.551114109980953,28.569210659104574,-1805.5192435703066,4483,8621,0.7522566895767545,1.4466033750522207,135,76,0.02248567528077043,0.012452026355097796
baseline,Baseline,8.0,24.0,32.0,78.04844561813519,199804.02078242606,95.23721026280072,1219.0362913638494,9.523629759558107,1219.024609223438,477,196741.20957721284,1223.4169921875,160.81287969152257,6.218407393227697,27.563533422905834,3062.81120521322,8621,6985,1.4466033750522207,1.1718247675505733,76,144,0.012452026355097796,0.024120573913391247
baseline,Baseline,16.0,0.0,16.0,78.56411826274704,402248.2855052649,95.31543103572241,2440.075034514494,9.531514086788103,2440.067606217754,950,399157.17505791096,2446.18408203125,163.1754445587189,6.128373069271146,27.29721459236427,3091.1104473539162,5195,4483,0.8714119926450083,0.7522566895767545,89,135,0.014705845671597625,0.02248567528077043
baseline,Baseline,16.0,16.0,32.0,74.91305352234181,383554.8340343901,95.34446906235333,2440.818407996245,9.53443934650917,2440.8164727063477,961,382297.5420727465,2439.0177001953125,156.74242218173848,6.379893752315042,28.070034757266075,1257.291961643612,4483,6985,0.7522566895767545,1.1718247675505733,135,144,0.02248567528077043,0.024120573913391247
adaptive_t0_i100ms,Adaptive 100 ms,8.0,0.0,8.0,78.18647786723211,200157.3833401142,94.82628474499631,1213.7764447359527,9.482627704561581,1213.7763461838827,468,201657.6502741527,1219.8143310546875,165.3183153700068,6.048936548632572,27.77572777696902,-1500.2669340384891,7824,7422,1.313002289261642,1.245465634363649,4,5,0.0005420607335515448,0.0005783231399629953
adaptive_t0_i100ms,Adaptive 100 ms,8.0,8.0,16.0,77.29178972694325,197866.9817009747,95.09669876378992,1217.237744176511,9.509655751446713,1217.2359361851793,472,193758.60102301702,1207.0311279296875,160.52494135371126,6.229561534593768,26.295735637648107,4108.38067795767,7422,5811,1.245465634363649,0.9746175149816612,5,13,0.0005783231399629953,0.00210704274577603
adaptive_t0_i100ms,Adaptive 100 ms,8.0,16.0,24.0,70.30778192588076,179987.92173025475,94.76635071809618,1213.009289191631,9.476649609661903,1213.0111500367234,490,185297.79267284047,1215.2703857421875,152.47453969651022,6.558472004509272,28.830223098452652,-5309.870942585723,5811,10404,0.9746175149816612,1.745739089951974,13,4,0.00210704274577603,0.00044797281880382356
adaptive_t0_i100ms,Adaptive 100 ms,8.0,24.0,32.0,82.86064573505422,212123.2530817388,94.38383187210546,1208.1130479629498,9.438387310650663,1208.1135757632849,462,207476.2109269368,1202.4925537109375,172.53845796105546,5.795809304298496,27.392838549598586,4647.0421548020095,10404,6683,1.745739089951974,1.1214530288576587,4,2,0.00044797281880382356,0.00010768316679163326
adaptive_t0_i100ms,Adaptive 100 ms,16.0,0.0,16.0,77.73913379708767,398024.3650410889,94.96149175439311,2431.014188912464,9.49614172800415,2431.012282369062,940,395416.2512971686,2426.845458984375,162.9342527078954,6.1374449103269635,27.0325827878632,2608.1137439202867,7824,5811,1.313002289261642,0.9746175149816612,4,13,0.0005420607335515448,0.00210704274577603
adaptive_t0_i100ms,Adaptive 100 ms,16.0,16.0,32.0,76.58421383046748,392111.1748119935,94.57509129510082,2421.122337154581,9.457518460156283,2421.1247258000085,952,392774.00359977636,2417.762939453125,162.45348011191624,6.155608358227153,28.132668832097004,-662.8287877828698,5811,6683,0.9746175149816612,1.1214530288576587,13,2,0.00210704274577603,0.00010768316679163326
