case,label,block,start_s,end_s,duration_ms,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_busy_ssu_ms,ssd_served_gb,npu_link_busy_npu_ms,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,request_weighted_slo_alpha2_pct,ssd_outstanding_blocks_start,ssd_outstanding_blocks_end,ssd_outstanding_blocks_delta,ssd_outstanding_gb_start,ssd_outstanding_gb_end,ssd_outstanding_gb_delta,npu_link_outstanding_blocks_start,npu_link_outstanding_blocks_end,npu_link_outstanding_blocks_delta,npu_link_outstanding_gb_start,npu_link_outstanding_gb_end,npu_link_outstanding_gb_delta,active_remaining_compute_inventory_supported,active_remaining_compute_ms
baseline,Baseline,0,0.0,0.5,500.0,83.99364884388902,94.94150089153072,9.496010817130685,13438.983815022282,1898.8300178306145,75.95320071322459,1519.3617307409095,75.96808653704548,30,12502.734090842023,75.388671875,165.8436709373589,6.029774873819043,36.50377702409165,936.2497241802594,46.666666666666664,5195,2445,-2750,0.8714119926450083,0.41002493908839927,-0.4613870535566092,89,2,-87,0.014705845671597625,9.526077456124684e-05,-0.014610584897036379,False,
baseline,Baseline,1,0.5,1.0,500.0,74.67572473468286,93.28534616500683,9.3275109635636,11948.115957549257,1865.7069233001366,74.62827693200546,1492.401754170176,74.62008770850879,34,13303.074999756445,80.1165771484375,166.04647219399953,6.02241039383032,28.87692859728066,-1354.9590422071888,44.11764705882353,2445,5627,3182,0.41002493908839927,0.9442464812040281,0.5342215421156289,2,51,49,9.526077456124684e-05,0.008250044941542993,0.008154784166981744,False,
baseline,Baseline,2,1.0,1.5,500.0,83.64105538019163,96.75321578979492,9.672677046213254,13382.568860830597,1935.0643157958984,77.40257263183594,1547.6283273941208,77.38141636970606,29,16120.17061305741,83.635986328125,192.742039889551,5.188281708406949,28.717325587536465,-2737.601752226812,51.724137931034484,5627,4859,-768,0.9442464812040281,0.8152639372587157,-0.12898254394531244,51,177,126,0.008250044941542993,0.029330013126128616,0.021079968184585626,False,
baseline,Baseline,3,1.5,2.0,500.0,85.05357752452304,95.65923861393576,9.566723804489039,13608.572403923696,1913.1847722787152,76.52739089114863,1530.6758087182461,76.53379043591231,25,8780.511472222655,66.077880859375,132.88125100302597,7.525516146572311,20.782089215024417,4828.06093170104,64.0,4859,4255,-604,0.8152639372587157,0.7139213249187025,-0.10134261234001314,177,138,-39,0.029330013126128616,0.022967250553666562,-0.006362762572462053,False,
baseline,Baseline,4,2.0,2.5,500.0,71.55676826762596,95.53720303645487,9.549113582891449,11449.082922820142,1910.7440607290973,76.42976242916387,1527.8581732626317,76.39290866313158,29,9170.93131876983,80.08837890625,114.51013797526299,8.732851236420872,37.070017552798625,2278.151604050312,37.93103448275862,4255,6412,2157,0.7139213249187025,1.0759450896024656,0.3620237646837631,138,359,221,0.022967250553666562,0.059883416523645074,0.036916165969978515,False,
baseline,Baseline,5,2.5,3.0,500.0,69.04602315936778,93.06586562530393,9.303393683366732,11047.36370549884,1861.3173125060785,74.45269250024307,1488.5429893386772,74.42714946693383,30,17650.553306981325,83.05859375,212.50724952204388,4.705721815369256,25.04775955069153,-6603.189601482485,63.33333333333333,6412,9238,2826,1.0759450896024656,1.5501782485390152,0.4742331589365496,359,510,151,0.059883416523645074,0.08524096863275307,0.025357552109108002,False,
baseline,Baseline,6,3.0,3.5,500.0,83.27842958509709,95.10487282037448,9.515278822049572,13324.548733615546,1902.0974564074895,76.08389825629968,1522.4446115279316,76.12223057639659,24,8432.02233459721,62.2523193359375,135.44912743081537,7.382845640779631,29.3508652056242,4892.526399018336,50.0,9238,5344,-3894,1.5501782485390152,0.8964939204620909,-0.6536843280769243,510,282,-228,0.08524096863275307,0.046903214501800294,-0.03833775413095278,False,
baseline,Baseline,7,3.5,4.0,500.0,86.81463277726697,94.2702958713382,9.431682151728365,13890.34124436272,1885.405917426764,75.41623669707059,1509.0691442765383,75.45345721382692,33,18055.791209834977,87.140625,207.20291149891312,4.826187010433227,26.744695117492675,-4165.449965472257,63.63636363636363,5344,7388,2044,0.8964939204620909,1.239618490481372,0.3431245700192812,282,60,-222,0.046903214501800294,0.009728654483480014,-0.037174560018320285,False,
baseline,Baseline,8,4.0,4.5,500.0,81.57138386651675,97.15996670051837,9.717178924045777,13051.421418642682,1943.1993340103672,77.72797336041464,1554.7486278473243,77.73743139236622,27,10449.803772933265,78.173583984375,133.67435955119987,7.480866213665909,30.262971056552633,2601.617645709417,44.44444444444444,7388,8950,1562,1.239618490481372,1.5016887702034014,0.26207027972202923,60,2,-58,0.009728654483480014,0.0002483119219518005,-0.009480342561528214,False,
baseline,Baseline,9,4.5,5.0,500.0,75.8514367002756,95.08244275118696,9.504409923127833,12136.229872044096,1901.648855023739,76.06595420094959,1520.7055877004532,76.03527938502269,29,10707.776982709891,71.1119384765625,150.57636188948814,6.64114863350149,23.27283701594523,1428.4528893342049,55.172413793103445,8950,10811,1861,1.5016887702034014,1.8141143910311817,0.31242562082778025,2,186,184,0.0002483119219518005,0.03090215443835535,0.03065384251640355,False,
