case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
baseline,Baseline,8.0,0.0,8.0,78.63877341361012,95.09070827836727,9.509158303528032,201315.25993884192,471,202937.73782943486,1223.199462890625,165.90731437198232,6.027461801701465,27.213408227488262,-1622.4778905929415
baseline,Baseline,8.0,0.5,8.5,78.96363871502788,95.19725174223606,9.519556791869858,202146.9151104714,467,201292.64578956622,1215.5550537109375,165.59730896189765,6.0387454739985555,26.79034413756386,854.2693209051795
baseline,Baseline,8.0,1.0,9.0,79.29298091441892,95.40350556373593,9.5404119048363,202990.03114091244,466,198059.96762454195,1217.9532470703125,162.61705291312217,6.149416571546455,26.73384906431005,4930.0635163704865
baseline,Baseline,8.0,1.5,9.5,78.37987122963887,95.35804271697995,9.535886919561033,200652.4703478755,469,194685.4194244292,1211.03662109375,160.7593164677371,6.22047929770024,26.616141110072547,5967.05092344631
baseline,Baseline,8.0,2.0,10.0,78.18502843112003,95.17669845885952,9.517846779226307,200153.6727836673,477,202143.43146721486,1225.1236572265625,164.99839038683456,6.060665183796794,26.422342144781815,-1989.7586835475522
baseline,Baseline,8.0,2.5,10.5,78.98296143232305,95.1515060663223,9.515378204113258,202196.38126674702,477,204685.05263413175,1222.5347900390625,167.42677124762366,5.9727604644600305,25.909033169988007,-2488.671367384726
baseline,Baseline,8.0,3.0,11.0,79.54591311919529,95.33031325853351,9.53358457190813,203637.53758513994,476,197255.28431758194,1214.1397705078125,162.4650547729609,6.155169808039422,26.30018277661926,6382.2532675580005
baseline,Baseline,8.0,3.5,11.5,79.22028252564931,95.46842423744977,9.546950623528646,202803.92326566222,479,202581.6256953784,1218.8623046875,166.20550567220766,6.016647859862182,26.13875982651231,222.29757028381573
baseline,Baseline,8.0,4.0,12.0,78.84618268363563,95.53649753487564,9.553647782741757,201846.22767010724,476,195535.93087342093,1207.4742431640625,161.9379725740891,6.1752039012498114,26.137154718033447,6310.296796686307
baseline,Baseline,8.0,4.5,12.5,78.30234633729995,95.44265839282181,9.544226284003061,200454.0066234879,484,199537.35774609985,1218.3533935546875,163.77625638151378,6.105891184070775,25.984344429745416,916.648877388041
baseline,Baseline,8.0,5.0,13.0,78.01710134102336,95.39716436372481,9.539794190848134,199723.7794330198,482,201968.64915499598,1216.4600830078125,166.02982044064234,6.023014403954693,26.171813674631345,-2244.869721976167
baseline,Baseline,8.0,5.5,13.5,78.14185979680583,95.32877607375099,9.533308664001169,200043.16107982292,486,199999.29652560517,1220.3447265625,163.8875410958415,6.101745094919691,26.320206985080144,43.86455421775463
baseline,Baseline,8.0,6.0,14.0,77.98813360532922,95.3290646137891,9.533051449574364,199649.6220296428,481,197119.39802731265,1213.880615234375,162.38779625725633,6.158098225656011,26.924021817460428,2530.2240023301565
baseline,Baseline,8.0,6.5,14.5,77.96976937334868,95.33418226242064,9.53360266019284,199602.6095957726,486,202915.14387139367,1224.343505859375,165.73383441844302,6.033770976873742,26.633051830043666,-3312.5342756210594
baseline,Baseline,8.0,7.0,15.0,78.19711264672713,95.44022858142853,9.543328544942158,200184.60837562146,485,206257.15200746816,1232.86474609375,167.29909153536934,5.977318769771001,26.188381784012094,-6072.543631846696
baseline,Baseline,8.0,7.5,15.5,78.72490061945562,95.39412279326909,9.540263018621337,201535.7455858064,483,201094.08575556363,1218.0714111328125,165.0921973191581,6.057221457091571,27.066158599172045,441.65983024277375
baseline,Baseline,8.0,8.0,16.0,78.48946311188396,95.54015379307761,9.553869870048173,200933.02556642293,479,196219.437228477,1222.984619140625,160.4430948333249,6.232739408566275,27.37962126847408,4713.5883379459265
baseline,Baseline,8.0,8.5,16.5,77.74724551761555,95.48304206739022,9.54847015452252,199032.94852509582,483,195887.74425717618,1233.00439453125,158.87027258458932,6.294443785684055,27.01827682920579,3145.2042679196456
baseline,Baseline,8.0,9.0,17.0,77.29395438782747,95.38292071127282,9.538184534638358,197872.52323283834,478,198486.06697812982,1227.2855224609375,161.727701782164,6.183232612474335,27.44631863758766,-613.5437452914775
