case,num_ssu,block,relative_start_ms,relative_end_ms,absolute_start_ms,absolute_end_ms,duration_ms,rolling_window_ms,npu_id,raw_5ms_compute_utilization_pct,rolling_100ms_compute_utilization_pct,cumulative_compute_utilization_pct
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,0,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,1,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,2,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,3,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,4,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,5,15.691000816459564,15.691000816459564,15.691000816459564
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,6,60.226317351916805,60.226317351916805,60.226317351916805
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,7,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,8,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,9,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,10,25.314207976916805,25.314207976916805,25.314207976916805
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,11,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,12,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,13,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,14,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,15,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,16,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,17,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,18,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,19,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,20,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,21,0.0,0.0,0.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,22,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,23,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,24,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,25,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,26,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,27,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,28,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,29,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,30,100.0,100.0,100.0
baseline,4,0,0.0,5.0,10136.618340562687,10141.618340562687,5.0,5.0,31,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,0,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,1,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,2,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,3,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,4,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,5,0.0,7.845500408229782,7.845500408229782
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,6,33.41036640102175,46.818341876469276,46.818341876469276
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,7,76.86313370695643,88.43156685347822,88.43156685347822
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,8,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,9,100.00000000003638,100.00000000001819,100.00000000001819
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,10,65.35517418698873,45.33469108195277,45.33469108195277
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,11,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,12,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,13,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,14,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,15,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,16,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,17,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,18,58.82544842575953,79.41272421287977,79.41272421287977
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,19,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,20,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,21,0.0,0.0,0.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,22,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,23,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,24,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,25,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,26,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,27,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,28,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,29,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,30,100.0,100.0,100.0
baseline,4,1,5.0,10.0,10141.618340562687,10146.618340562687,5.0,10.0,31,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,0,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,1,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,2,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,3,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,4,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,5,15.691000816459564,10.460667210973043,10.460667210973043
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,6,44.24960226402618,45.96209533898824,45.96209533898824
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,7,0.0,58.95437790231881,58.95437790231881
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,8,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,9,100.0,100.00000000001212,100.00000000001212
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,10,0.0,30.223127387968514,30.223127387968514
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,11,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,12,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,13,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,14,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,15,80.7176992156019,93.57256640520063,93.57256640520063
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,16,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,17,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,18,100.0,86.27514947525317,86.27514947525317
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,19,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,20,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,21,39.17910294847388,13.059700982824628,13.059700982824628
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,22,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,23,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,24,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,25,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,26,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,27,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,28,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,29,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,30,100.0,100.0,100.0
baseline,4,2,10.0,15.0,10146.618340562687,10151.618340562687,5.0,15.0,31,100.0,100.0,100.0
baseline,4,3,15.0,20.0,10151.618340562687,10156.618340562687,5.0,20.0,0,100.0,100.0,100.0
baseline,4,3,15.0,20.0,10151.618340562687,10156.618340562687,5.0,20.0,1,100.0,100.0,100.0
