case,request_id,batch_id,npu_id,layer,io_submit_time_ms,io_submit_relative_ms,ssd_first_start_ms,ssd_last_end_ms,max_link_end_ms,io_ready_reported_ms,previous_compute_end_ms,compute_start_ms,compute_end_ms,reported_barrier_ms,reconstructed_barrier_ms,io_ready_minus_max_link_end_ms,compute_start_minus_max_ready_previous_ms,barrier_accounting_error_ms,ssd_interval_count,link_interval_count,complete_inside_trace
baseline,832,613,0,14,,,,,,10118.855666662865,,10129.592597986804,10147.587247277837,0.0,,,,,0,0,False
baseline,832,613,0,15,10129.592597986804,-7.025742575882759,10137.983445851825,10144.986037756615,10144.989394690208,10144.989394690208,10147.587247277837,10147.587247277837,10165.58189656887,0.0,0.0,0.0,0.0,0.0,403,403,False
baseline,864,629,0,0,10147.587247277837,10.968906715150297,10150.725307814422,10161.107711340599,10161.111068274193,10161.111068274193,10165.58189656887,10165.58189656887,10204.912157909883,0.0,0.0,0.0,0.0,0.0,352,352,False
baseline,417,564,1,13,,,,,,10053.070258642845,,10124.600650819508,10206.880578917382,0.0,,,,,0,0,False
baseline,610,556,2,11,,,,,,10034.571456457787,,10126.104391636956,10229.859184200519,0.0,,,,,0,0,False
baseline,579,616,3,4,,,,,,10070.224189306908,,10106.598443943649,10153.179802627974,0.0,,,,,0,0,False
baseline,579,616,3,5,,,,,,10117.794036413841,10153.179802627974,10153.179802627974,10199.761161312299,0.0,0.0,,,0.0,0,0,False
baseline,452,618,4,5,,,,,,10097.283172156029,,10119.98689765285,10148.718965078875,0.0,,,,,0,0,False
baseline,452,618,4,6,,,,,,10130.98049118679,10148.718965078875,10148.718965078875,10177.4510325049,0.0,0.0,,,0.0,0,0,False
baseline,452,618,4,7,10148.718965078875,12.100624516187963,10153.043790077605,10164.762572790794,10164.765929724388,10164.765929724388,10177.4510325049,10177.4510325049,10206.183099930924,0.0,0.0,0.0,0.0,0.0,1272,1272,False
baseline,549,625,5,4,10126.31854965847,-10.299790904216934,10137.411956335716,10137.714080359154,10137.717437292747,10137.717437292747,,10137.717437292747,10138.501987333571,10.614337593453456,,0.0,,,72,72,False
baseline,549,625,5,5,10137.717437292747,1.0990967300604098,10138.940472816863,10148.512916113548,10148.516273047142,10148.516273047142,10138.501987333571,10148.516273047142,10149.300823087966,10.014285713570644,10.014285713570644,0.0,0.0,0.0,256,256,True
baseline,549,625,5,6,10148.516273047142,11.897932484454941,10152.068081251922,10162.773589636497,10162.776946570091,10162.776946570091,10149.300823087966,10162.776946570091,10163.561496610915,13.476123482125331,13.476123482125331,0.0,0.0,0.0,256,256,True
baseline,549,625,5,7,10162.776946570091,26.15860600740416,10166.664548134246,10178.553275610619,10178.556632544212,10178.556632544212,10163.561496610915,10178.556632544212,10179.341182585036,14.995135933297206,14.995135933297206,0.0,0.0,0.0,256,256,True
baseline,646,623,6,12,10127.992820288353,-8.625520274334121,10137.714080359154,10138.603667761497,10138.607024695091,10138.607024695091,,10138.607024695091,10143.288858882739,5.932370219090444,,0.0,,,212,212,False
baseline,646,623,6,13,10138.607024695091,1.9886841324041598,10139.150281166472,10149.402503515892,10149.405860449486,10149.405860449486,10143.288858882739,10149.405860449486,10154.087694637134,6.117001566746694,6.117001566746694,0.0,0.0,0.0,766,766,True
baseline,646,623,6,14,10149.405860449486,12.787519886798691,10154.336209511199,10165.652160193138,10165.655517126732,10165.655517126732,10154.087694637134,10165.655517126732,10170.33735131438,11.567822489598257,11.567822489598257,0.0,0.0,0.0,766,766,True
baseline,646,623,6,15,10165.655517126732,29.037176564044785,10168.036694740691,10180.84018662136,10180.843543554955,10180.843543554955,10170.33735131438,10180.843543554955,10185.525377742602,10.50619224057482,10.50619224057482,0.0,0.0,0.0,766,766,True
baseline,583,549,7,15,,,,,,9996.04854538601,,10061.893702622712,10144.173630720587,0.0,,,,,0,0,False
baseline,615,627,7,0,,,,,,10070.962714697533,10144.173630720587,10144.173630720587,10145.461497248034,0.0,0.0,,,0.0,0,0,False
baseline,615,627,7,1,10144.173630720587,7.555290157899435,10146.850247597136,10157.78224899929,10157.785605932884,10157.785605932884,10145.461497248034,10157.785605932884,10159.073472460332,12.324108684850216,12.324108684850216,0.0,0.0,0.0,640,640,True
baseline,615,627,7,2,10157.785605932884,21.16726537019713,10161.222119545379,10172.999648596458,10173.003005530052,10173.003005530052,10159.073472460332,10173.003005530052,10174.2908720575,13.929533069720492,13.929533069720492,0.0,0.0,0.0,640,640,True
baseline,584,619,8,2,,,,,,10054.736136938744,,10105.539561196678,10168.22704928684,0.0,,,,,0,0,False
baseline,584,619,8,3,,,,,,10116.60232498806,10168.22704928684,10168.22704928684,10230.914537377,0.0,0.0,,,0.0,0,0,False
baseline,521,621,9,0,,,,,,10001.021003271751,9985.074690304564,10001.021003271751,10142.356791551192,15.946312967187623,15.946312967187623,,,0.0,0,0,False
baseline,521,621,9,1,,,,,,10014.82009842556,10142.356791551192,10142.356791551192,10283.692579830633,0.0,0.0,,,0.0,0,0,False
baseline,490,626,10,1,10128.142733504843,-8.475607057844172,10138.603667761497,10140.349273230247,10140.352630163841,10140.352630163841,,10140.352630163841,10144.886099272037,7.676427550803055,,0.0,,,386,386,False
baseline,490,626,10,2,10140.352630163841,3.7342896011541598,10141.367855421844,10152.419547583275,10152.422904516869,10152.422904516869,10144.886099272037,10152.422904516869,10156.956373625064,7.536805244832067,7.536805244832067,0.0,0.0,0.0,1535,1535,True
baseline,490,626,10,3,10152.422904516869,15.804563954181504,10155.062146400847,10167.271880652122,10167.275237585716,10167.275237585716,10156.956373625064,10167.275237585716,10171.808706693912,10.31886396065238,10.31886396065238,0.0,0.0,0.0,1535,1535,True
baseline,490,626,10,4,10167.275237585716,30.65689702302916,10169.467587685027,10183.357886816673,10183.361243750267,10183.361243750267,10171.808706693912,10183.361243750267,10187.894712858462,11.552537056355504,11.552537056355504,0.0,0.0,0.0,1535,1535,False
baseline,555,567,11,7,,,,,,9970.741462256126,,10097.368438952446,10238.704227231887,0.0,,,,,0,0,False
baseline,556,575,12,10,,,,,,10024.041175390892,,10092.98856580567,10175.268493903544,0.0,,,,,0,0,False
baseline,556,575,12,11,,,,,,10098.835753943138,10175.268493903544,10175.268493903544,10257.548422001419,0.0,0.0,,,0.0,0,0,False
baseline,493,611,13,10,,,,,,10092.430305029564,,10113.369483491831,10142.101550917856,0.0,,,,,0,0,False
baseline,493,611,13,11,,,,,,10125.827598120384,10142.101550917856,10142.101550917856,10170.83361834388,0.0,0.0,,,0.0,0,0,False
baseline,493,611,13,12,10142.101550917856,5.4832103551689215,10144.047208046355,10154.840735937767,10154.84409287136,10154.84409287136,10170.83361834388,10170.83361834388,10199.565685769905,0.0,0.0,0.0,0.0,0.0,1272,1272,False
baseline,782,602,14,14,,,,,,10106.495856787376,,10128.635064988295,10160.051484043313,0.0,,,,,0,0,False
baseline,782,602,14,15,10128.635064988295,-7.983275574391882,10136.615495412372,10143.61389115017,10143.617248083763,10143.617248083763,10160.051484043313,10160.051484043313,10191.467903098332,0.0,0.0,0.0,0.0,0.0,580,581,False
baseline,943,620,15,11,,,,,,10135.002517248802,,10135.494837060709,10147.250033984485,0.0,,,,,0,0,False
baseline,943,620,15,12,10135.494837060709,-1.1235035019781208,10137.857861732879,10148.21079209011,10148.214149023705,10148.214149023705,10147.250033984485,10148.214149023705,10159.96934594748,0.9641150392199052,0.9641150392199052,0.0,0.0,0.0,1020,1020,False
