case,num_ssu,bin,relative_start_ms,relative_end_ms,absolute_start_ms,absolute_end_ms,duration_ms,npu_id,compute_busy_ms,compute_utilization,compute_utilization_pct,npu_link_busy_ms,npu_link_utilization,npu_link_utilization_pct,npu_link_served_gb,actual_npu_link_bandwidth_gbps,compute_request_ids,compute_layers,link_request_ids,link_layers
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,0,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[832],[14],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,1,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[417],[13],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,2,0.5,1.0,100.0,0.39959101408021525,0.7991820281604305,79.91820281604305,0.01997955070401076,39.959101408021525,[610],[11],[610],[12]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,3,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[579],[4],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,4,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[452],[5],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,7,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[583],[15],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,8,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[584],[2],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,9,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[521],[0],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,11,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[555],[7],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,12,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[556],[10],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,13,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[493],[10],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,14,0.5,1.0,100.0,0.3999868809351028,0.7999737618702056,79.99737618702056,0.01999934404675514,39.99868809351028,[782],[14],[782],[15]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,15,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[943],[11],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,16,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[560],[10],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,17,0.5,1.0,100.0,0.5,1.0,100.0,0.025,50.0,[753],[5],[753],[6]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,18,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[594],[12],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,19,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[563],[1],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,20,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[724],[3],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,21,0.0,0.0,0.0,0.3792769499250426,0.7585538998500851,75.85538998500851,0.01896384749625213,37.92769499250426,[],[],[501],[13]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,22,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[566],[4],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,23,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[631],[13],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,24,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[696],[14],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,25,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[537],[9],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,26,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[922],[8],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,27,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[315],[14],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,28,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[732],[9],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,29,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[541],[9],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,30,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[574],[14],[],[]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,31,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[735],[13],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,0,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[832],[14],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,1,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[417],[13],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,2,0.5,1.0,100.0,0.23822636873228475,0.4764527374645695,47.64527374645695,0.011911318436614238,23.822636873228475,[610],[11],[610],[12]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,3,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[579],[4],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,4,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[452],[5],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,5,0.0,0.0,0.0,0.16190485685365275,0.3238097137073055,32.38097137073055,0.008095242842682638,16.190485685365275,[],[],[549],[4]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,7,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[583],[15],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,8,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[584],[2],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,9,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[521],[0],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,11,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[555],[7],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,12,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[556],[10],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,13,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[493],[10],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,14,0.5,1.0,100.0,0.2886962890625,0.577392578125,57.7392578125,0.014434814453125,28.86962890625,[782],[14],[782],[15]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,15,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[943],[11],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,16,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[560],[10],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,17,0.5,1.0,100.0,0.08901528640308243,0.17803057280616486,17.803057280616486,0.004450764320154121,8.901528640308243,[753],[5],[753],[6]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,18,0.5,1.0,100.0,0.11077880859375,0.2215576171875,22.15576171875,0.0055389404296875,11.077880859375,[594],[12],[594],[13]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,19,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[563],[1],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,20,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[724],[3],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,21,0.0,0.0,0.0,0.5,1.0,100.0,0.025,50.0,[],[],[501],[13]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,22,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[566],[4],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,23,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[631],[13],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,24,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[696],[14],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,25,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[537],[9],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,26,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[922],[8],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,27,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[315],[14],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,28,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[732],[9],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,29,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[541],[9],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,30,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[574],[14],[],[]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,31,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[735],[13],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,0,0.5,1.0,100.0,0.10468230851802218,0.20936461703604436,20.936461703604436,0.005234115425901109,10.468230851802218,[832],[14],[832],[15]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,1,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[417],[13],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,2,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[610],[11],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,3,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[579],[4],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,4,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[452],[5],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,5,0.40090326993959025,0.8018065398791805,80.18065398791805,0.07979436189634725,0.1595887237926945,15.958872379269451,0.003989718094817363,7.9794361896347255,[549],[4],[549],[4]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,6,0.0,0.0,0.0,0.32033686368959025,0.6406737273791805,64.06737273791805,0.01601684318447951,32.033686368959025,[],[],[646],[12]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,7,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[583],[15],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,8,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[584],[2],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,9,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[521],[0],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,11,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[555],[7],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,12,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[556],[10],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,13,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[493],[10],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,14,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[782],[14],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,15,0.5,1.0,100.0,0.21945639328441757,0.43891278656883514,43.891278656883514,0.010972819664220878,21.945639328441757,[943],[11],[943],[12]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,16,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[560],[10],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,17,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[753],[5],[],[]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,18,0.5,1.0,100.0,0.29541015625,0.5908203125,59.08203125,0.0147705078125,29.541015625,[594],[12],[594],[13]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,19,0.5,1.0,100.0,0.0,0.0,0.0,0.0,0.0,[563],[1],[],[]
