case,family,kind,tuning_slo_alpha,num_ssu,pressure_ttl_ms,cir_write_threshold_gbps,min_interval_ms,explicit_spill_threshold,target_ratio,required_ratio,background_reserve_fraction,mean_npu_utilization_pct,primary_slo_alpha,sensitivity_slo_alpha,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,alpha_2_equal_npu_slo_pct,alpha_2_request_weighted_slo_pct,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,measurement_cohort_fingerprint,input_simulator_fingerprint,source_fingerprint,config_fingerprint,definition_fingerprint,campaign_spec_sha256,all_invariants_passed,source_artifact
baseline,baseline,baseline,,8,0.0,0.0,0.0,,,,,35.172385559006685,2.0,1.5,18.497989640567766,18.19663226507333,24.57639365842491,24.2802824551874,1841,12,14.0,16,45ba2555e3f6be712b2bbf4a1cc14ccbab739aee68718b0c0a50b6efb021dbfd,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
layer_once_ttl_0ms,ttl,layer_once,,8,0.0,0.0,0.0,,,,,35.67819166043239,2.0,1.5,48.12757660702581,50.51546391752577,58.5599350538601,61.25881714595768,1843,7,13.0,28,9b8c9b72fe8bc29db6ee1803bd3c4f56da85b425f62f10409f5e15299a4c95af,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
layer_once_ttl_2ms,ttl,layer_once,,8,2.0,0.0,0.0,,,,,35.56956194300464,2.0,1.5,48.80134040295812,51.4054054054054,58.62130885463092,61.4054054054054,1850,7,13.0,28,e5f4741fe03d122e4889c2dd06472af853d0385e185f80c18bd1e3edd5b95140,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
layer_once_ttl_5ms,ttl,layer_once,,8,5.0,0.0,0.0,,,,,35.67626575157756,2.0,1.5,46.66821626972119,48.974082073434126,57.598801838439684,59.98920086393088,1852,7,13.5,28,7b889b9b9395b948124d07455c44c40c0301ad7b1ee33fad2ceb80677d8ae43c,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
adaptive_a1p5_t0_i25ms,adaptive_alpha_a1p5,adaptive,1.5,8,0.0,0.0,25.0,0.75,0.6866666666666666,0.6666666666666666,0.05,34.21962386558297,2.0,1.5,72.91227108222608,77.76572668112797,79.92385148143094,84.32754880694144,1844,2,14.0,36,55ad54238c6b3cbd13499aeeb1736528327689cc68e13765e3ccbd80018c8af8,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
adaptive_a1p5_t0_i100ms,adaptive_alpha_a1p5,adaptive,1.5,8,0.0,0.0,100.0,0.75,0.6866666666666666,0.6666666666666666,0.05,35.50715213181056,2.0,1.5,61.13311704583298,65.08972267536704,73.48687583418602,78.5753126699293,1839,2,14.0,34,ef923fbd7bfcc3b988139983b59cecb4a8dd129e24842940aaa877c57e2e8fa0,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
adaptive_a1p5_t0_i200ms,adaptive_alpha_a1p5,adaptive,1.5,8,0.0,0.0,200.0,0.75,0.6866666666666666,0.6666666666666666,0.05,36.320185397691226,2.0,1.5,55.48719575486514,58.69918699186992,68.5020451722984,71.92411924119241,1845,3,14.0,31,f8e411bcbfcf86bfdaad732e6d213a0f33b223e6a20f1406fea8e99158214f3d,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
adaptive_a2_t0_i25ms,adaptive_alpha_a2,adaptive,2.0,8,0.0,0.0,25.0,0.75,0.52,0.5,0.05,35.179275153959736,2.0,1.5,28.07175891274628,29.446534121440088,76.69571144436146,79.31219774314884,1861,2,14.0,35,cab12ef78bf3df6a86f347bbd854af3f410e521d71e0ffbf63159a1cbf793e32,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
adaptive_a2_t0_i100ms,adaptive_alpha_a2,adaptive,2.0,8,0.0,0.0,100.0,0.75,0.52,0.5,0.05,34.84910615030577,2.0,1.5,28.23862596704997,29.354313619099294,68.4858490085827,71.67661421595226,1843,3,14.0,35,1baa44d5b106b7b655071b00028288804185ee24a11e05bc63afd200f7401347,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
adaptive_a2_t0_i200ms,adaptive_alpha_a2,adaptive,2.0,8,0.0,0.0,200.0,0.75,0.52,0.5,0.05,35.23616543690774,2.0,1.5,28.67916372656538,30.184581976112923,60.00728087962683,61.997828447339856,1842,2,15.0,29,3dce9d9e98c2eb0bfe120b78c1da8caff77f3f647114874ecc127397e2f0c322,4fbf085191ee07617ee53eec64ecfac899d84ec78b608ed4e23c7edc6a3240da,6c9cfe0b06839feba3da38c44199fdf539736232357b59602297cf8d7b8948dc,adab67e8cdd1d60634f3eeeeeb7652de5a2f1e6e41ab34a2484c425260960dbd,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,1069ea307a9680e1ff236314577a84d7d8004a1f5794ad274bfb5345afcd8d28,True,results/ms_scale_control/selected128_alpha_tuned_v2_public_raw/selected128_seed42_ssu8.json
