case,family,kind,num_ssu,pressure_ttl_ms,cir_write_threshold_gbps,min_interval_ms,mean_npu_utilization_pct,primary_slo_alpha,sensitivity_slo_alpha,equal_npu_slo_pct,request_weighted_slo_pct,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,measurement_cohort_fingerprint,input_simulator_fingerprint,all_invariants_passed,source_artifact
baseline,baseline,baseline,2,0.0,0.0,0.0,42.610825790417856,2.0,1.5,28.78844246031746,27.95275590551181,23.728918650793652,22.83464566929134,254,6,8.0,9,88c0c370711b3a8f9db274e26f18a67bbd49795b124f6e7eb40ca8d32c92dc21,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
layer_once_ttl_0ms,ttl,layer_once,2,0.0,0.0,0.0,38.11814731227619,2.0,1.5,55.1110955017205,56.91056910569105,40.438138250638254,42.68292682926829,246,4,7.0,13,bd6f73a0ee438d4bc86abea79e6e9043bbe6a4d3cf5a274a61073635ee9027e0,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
layer_once_ttl_2ms,ttl,layer_once,2,2.0,0.0,0.0,38.226280629066196,2.0,1.5,51.39593045843046,53.2520325203252,40.0525863025863,42.27642276422765,246,4,7.0,13,29466b0c1a3459c2ff97823d8714f6fdb004fe9ee94b3d89bca5b41230a6ce6f,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
layer_once_ttl_5ms,ttl,layer_once,2,5.0,0.0,0.0,38.3821421374683,2.0,1.5,49.34365981240981,51.229508196721305,38.10459505772006,40.57377049180328,244,3,7.0,12,0fbf1e8179f1d4847627af1326a8864794c2d4da497f88f672ab2d6247b679e3,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
adaptive_t0_i25ms,threshold_interval,adaptive,2,0.0,0.0,25.0,39.64190314194661,2.0,1.5,72.92092068202265,79.75206611570248,53.37701338318115,55.78512396694215,242,1,7.0,19,50e04dbba1635a21da00df8d530db0927042d4ce3efd428a56972a8a3159b006,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
adaptive_t0_i100ms,interval,adaptive,2,0.0,0.0,100.0,36.13246144939586,2.0,1.5,64.42640692640693,73.06122448979592,44.34309613997114,49.38775510204081,245,1,7.0,18,61d0af52e1281693d295c13b9cc7f59910754ca67a74d0b6485235603d1cf123,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
adaptive_t0_i200ms,interval,adaptive,2,0.0,0.0,200.0,38.9914208056732,2.0,1.5,58.73685699512905,62.24899598393574,42.6932860848302,43.373493975903614,249,1,7.5,17,3c9305cf01f449a238bc6c414d074eaf560430a7039d17c37198ac85dbab6b4e,9dd1c2569f8c16d868ea66b156ae907c2130767360c72ca254ae86847c7ff7f6,True,results/ms_scale_control/frozen32_ssu2_selected7_measure8_backing128.json
baseline,baseline,baseline,3,0.0,0.0,0.0,57.90995496872885,2.0,1.5,40.61619803807304,38.81019830028329,36.605521214896214,34.56090651558073,353,7,11.0,15,ead63a916697535f2c03f6cf5adc191aa76acc5b0d6367a077296d386cc09ae9,4c7858bcf0027470d24c710a68c0ce87299dd6bb3794de2fc84ea507a501916f,True,results/ms_scale_control/frozen32_ssu3_selected7_measure8_backing128.json
layer_once_ttl_0ms,ttl,layer_once,3,0.0,0.0,0.0,59.39289691990247,2.0,1.5,65.95650851395337,67.13483146067416,52.80994026398438,54.49438202247191,356,6,10.5,22,5727a237131931be03011dcb7bc6ba938129d70906344a7fb0169a7f554af8bc,4c7858bcf0027470d24c710a68c0ce87299dd6bb3794de2fc84ea507a501916f,True,results/ms_scale_control/frozen32_ssu3_selected7_measure8_backing128.json
layer_once_ttl_2ms,ttl,layer_once,3,2.0,0.0,0.0,59.51639443721201,2.0,1.5,64.63675749291559,65.4494382022472,51.682075073619195,52.80898876404494,356,6,10.0,22,0aa10e293676a7ab8f0e339634f8f8dc671096c436d22c372fb0f0cbf4a70925,4c7858bcf0027470d24c710a68c0ce87299dd6bb3794de2fc84ea507a501916f,True,results/ms_scale_control/frozen32_ssu3_selected7_measure8_backing128.json
