scenario,policy,seed,window,category,count,passed,percent,active_U_percent
full,aggressive,19,warm_2_4s,SS,33,23,69.6969696969697,66.74136588422645
full,aggressive,19,warm_2_4s,SL,64,32,50.0,75.72106062009519
full,aggressive,19,warm_2_4s,LS,46,12,26.08695652173913,54.78383823851056
full,aggressive,19,warm_2_4s,LL,52,9,17.307692307692307,54.6233330686614
full,aggressive,19,long_2_6s,SS,74,58,78.37837837837837,71.24192928850219
full,aggressive,19,long_2_6s,SL,122,75,61.47540983606557,78.61882231492805
full,aggressive,19,long_2_6s,LS,77,25,32.467532467532465,55.89050175069003
full,aggressive,19,long_2_6s,LL,115,24,20.869565217391305,61.94258899928825
full,aggressive,19,full_population,SS,288,219,76.04166666666667,70.2005696341691
full,aggressive,19,full_population,SL,384,283,73.69791666666667,83.74339846725597
full,aggressive,19,full_population,LS,288,81,28.125,51.035119229847396
full,aggressive,19,full_population,LL,384,57,14.84375,58.7086691192518
full,aggressive,43,warm_2_4s,SS,37,24,64.86486486486487,70.58171645620433
full,aggressive,43,warm_2_4s,SL,50,36,72.0,85.42406641237399
full,aggressive,43,warm_2_4s,LS,45,8,17.77777777777778,50.88975888299807
full,aggressive,43,warm_2_4s,LL,52,6,11.538461538461538,54.60602139113256
full,aggressive,43,long_2_6s,SS,62,44,70.96774193548387,72.74536603243462
full,aggressive,43,long_2_6s,SL,107,82,76.6355140186916,87.11622521546202
full,aggressive,43,long_2_6s,LS,93,19,20.43010752688172,49.586054783700085
full,aggressive,43,long_2_6s,LL,119,32,26.89075630252101,57.95796219201316
full,aggressive,43,full_population,SS,288,196,68.05555555555556,69.93667395427869
full,aggressive,43,full_population,SL,384,280,72.91666666666667,83.03648134080105
full,aggressive,43,full_population,LS,288,71,24.65277777777778,50.85134784160728
full,aggressive,43,full_population,LL,384,79,20.572916666666668,59.662890566200154
full,aggressive,7,warm_2_4s,SS,40,31,77.5,74.07421251837674
full,aggressive,7,warm_2_4s,SL,63,52,82.53968253968254,89.79636072147838
full,aggressive,7,warm_2_4s,LS,40,10,25.0,55.03183163702745
full,aggressive,7,warm_2_4s,LL,61,6,9.836065573770492,59.15908085271889
full,aggressive,7,long_2_6s,SS,77,67,87.01298701298701,75.32017944704903
full,aggressive,7,long_2_6s,SL,125,88,70.4,83.66558185253788
