scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
full,aggressive,19,warm_2_4s,0,40,65.21294586452494,45.64227049366153,89.6096438035765,100.0,36.66642552013122,91.66606380032803
full,aggressive,19,warm_2_4s,1,40,71.477320090289,49.36361185833445,99.18670476104703,100.0,40.0,100.0
full,aggressive,19,warm_2_4s,2,40,69.5453342012283,48.150842697930976,97.4695319184078,100.0,38.858669246920414,97.14667311730105
full,aggressive,19,long_2_6s,0,40,60.680749130724394,29.97066204962765,90.51668191143484,93.87393978715654,36.41220751104217,91.03051877760542
full,aggressive,19,long_2_6s,1,40,66.51404836144187,33.291394906091284,101.48869304173246,96.12196484740586,40.0,100.0
full,aggressive,19,long_2_6s,2,40,64.90527839560377,32.430664443109016,98.62585767004366,95.87116471065714,38.96028795537809,97.40071988844525
full,aggressive,19,full_population,0,40,63.03038824720802,3.982911649740769,172.85634907853375,92.7086597033515,35.779883686037955,89.44970921509488
full,aggressive,19,full_population,1,40,69.17792609990148,4.62072130801373,190.76460179527552,94.50225825486048,39.299064762770975,98.24766190692743
full,aggressive,19,full_population,2,40,67.4933606315271,4.756968331576427,178.6706812367246,93.89467398053029,38.35558328883178,95.88895822207945
full,aggressive,43,warm_2_4s,0,40,65.7220531526707,38.49474254244697,107.79582805341782,96.6042056185971,35.909737107421876,89.77434276855469
full,aggressive,43,warm_2_4s,1,40,72.26314163962878,43.09848198208006,114.10272432126146,100.0,40.0,100.0
full,aggressive,43,warm_2_4s,2,40,70.07622642890092,40.805749377703954,109.67554425019213,100.0,38.46681118209273,96.16702795523183
full,aggressive,43,long_2_6s,0,40,65.17008891667803,35.76423824571533,113.09091671528299,95.93343356344023,36.17087173461914,90.42717933654785
full,aggressive,43,long_2_6s,1,40,72.01064007987294,40.3696039852294,125.75051369932197,100.0,40.0,100.0
full,aggressive,43,long_2_6s,2,40,69.89587951387011,39.87864330104367,122.05615081292693,99.94098369143745,38.71652331858542,96.79130829646355
full,aggressive,43,full_population,0,40,63.250943568094335,3.377723525637886,131.25629521398912,93.10961837996462,35.91089778047442,89.77724445118605
full,aggressive,43,full_population,1,40,69.40708157249775,3.5796464247072244,144.98788315590807,95.50654887636493,39.44296493380769,98.60741233451922
full,aggressive,43,full_population,2,40,67.80685929997561,3.7296124069061944,141.21394419177224,95.38902686546638,38.49602874291049,96.24007185727622
full,aggressive,7,warm_2_4s,0,40,62.235437152273775,32.14553281113287,94.92957544199517,91.22674821102143,36.91706638081229,92.29266595203072
full,aggressive,7,warm_2_4s,1,40,67.70828177972433,34.687799269519125,102.57217036202087,95.33095028714872,40.0,100.0
full,aggressive,7,warm_2_4s,2,40,66.00712680316984,34.30104806092536,100.82414603701167,95.33095028714872,39.2613067626953,98.15326690673824
full,aggressive,7,long_2_6s,0,40,63.30206858126473,32.14553281113287,101.95487269042954,95.61337410551073,36.62143759791216,91.5535939947804
full,aggressive,7,long_2_6s,1,40,69.25339071456791,34.687799269519125,111.94931264039613,97.66547514357437,40.0,100.0
full,aggressive,7,long_2_6s,2,40,67.53358699791345,34.30104806092536,108.19767840063163,97.66547514357437,39.14805221557616,97.8701305389404
full,aggressive,7,full_population,0,40,61.74608005473106,0.48307078399656866,149.29728024794306,90.13725281827195,35.18876906585559,87.97192266463897
full,aggressive,7,full_population,1,40,67.74276263091764,0.6404138393556551,166.98059509278255,94.19151038580023,38.649810227887386,96.62452556971846
full,aggressive,7,full_population,2,40,66.17322092093973,0.5548413004758879,162.14819368210135,94.19151038580023,37.721915883800555,94.30478970950138
full,asu_baseline,19,warm_2_4s,0,40,112.17381705519644,83.54831601737358,146.41245856472156,100.0,36.53087961662256,91.32719904155641
