scenario,policy,seed,window,profile,count,passed,percent
full,aggressive,19,warm_2_4s,128:1024,7,0,0.0
full,aggressive,19,warm_2_4s,128:2048,3,0,0.0
full,aggressive,19,warm_2_4s,128:256,12,2,16.666666666666668
full,aggressive,19,warm_2_4s,128:4096,3,1,33.333333333333336
full,aggressive,19,warm_2_4s,160:1024,13,0,0.0
full,aggressive,19,warm_2_4s,160:2048,6,0,0.0
full,aggressive,19,warm_2_4s,160:256,20,6,30.0
full,aggressive,19,warm_2_4s,160:4096,2,0,0.0
full,aggressive,19,warm_2_4s,200:1024,8,0,0.0
full,aggressive,19,warm_2_4s,200:2048,0,0,
full,aggressive,19,warm_2_4s,200:256,14,4,28.571428571428573
full,aggressive,19,warm_2_4s,200:4096,10,8,80.0
full,aggressive,19,warm_2_4s,32:1024,11,4,36.36363636363637
full,aggressive,19,warm_2_4s,32:2048,5,2,40.0
full,aggressive,19,warm_2_4s,32:256,10,7,70.0
full,aggressive,19,warm_2_4s,32:4096,3,1,33.333333333333336
full,aggressive,19,warm_2_4s,64:1024,12,5,41.666666666666664
full,aggressive,19,warm_2_4s,64:2048,4,1,25.0
full,aggressive,19,warm_2_4s,64:256,10,8,80.0
full,aggressive,19,warm_2_4s,64:4096,7,7,100.0
full,aggressive,19,warm_2_4s,80:1024,11,5,45.45454545454545
full,aggressive,19,warm_2_4s,80:2048,6,2,33.333333333333336
full,aggressive,19,warm_2_4s,80:256,13,8,61.53846153846154
full,aggressive,19,warm_2_4s,80:4096,5,5,100.0
full,aggressive,19,long_2_6s,128:1024,13,1,7.6923076923076925
full,aggressive,19,long_2_6s,128:2048,10,1,10.0
full,aggressive,19,long_2_6s,128:256,20,7,35.0
full,aggressive,19,long_2_6s,128:4096,12,3,25.0
full,aggressive,19,long_2_6s,160:1024,18,1,5.555555555555555
full,aggressive,19,long_2_6s,160:2048,15,2,13.333333333333334
full,aggressive,19,long_2_6s,160:256,28,10,35.714285714285715
full,aggressive,19,long_2_6s,160:4096,7,2,28.571428571428573
full,aggressive,19,long_2_6s,200:1024,19,2,10.526315789473685
full,aggressive,19,long_2_6s,200:2048,6,1,16.666666666666668
full,aggressive,19,long_2_6s,200:256,29,8,27.586206896551722
full,aggressive,19,long_2_6s,200:4096,15,11,73.33333333333333
full,aggressive,19,long_2_6s,32:1024,23,12,52.17391304347826
full,aggressive,19,long_2_6s,32:2048,10,6,60.0
full,aggressive,19,long_2_6s,32:256,25,20,80.0
full,aggressive,19,long_2_6s,32:4096,6,4,66.66666666666667
full,aggressive,19,long_2_6s,64:1024,24,13,54.166666666666664
full,aggressive,19,long_2_6s,64:2048,6,3,50.0
full,aggressive,19,long_2_6s,64:256,23,18,78.26086956521739
full,aggressive,19,long_2_6s,64:4096,10,10,100.0
full,aggressive,19,long_2_6s,80:1024,21,9,42.857142857142854
full,aggressive,19,long_2_6s,80:2048,13,9,69.23076923076923
full,aggressive,19,long_2_6s,80:256,26,20,76.92307692307692
full,aggressive,19,long_2_6s,80:4096,9,9,100.0
full,aggressive,19,full_population,128:1024,64,4,6.25
full,aggressive,19,full_population,128:2048,32,3,9.375
full,aggressive,19,full_population,128:256,96,27,28.125
full,aggressive,19,full_population,128:4096,32,5,15.625
full,aggressive,19,full_population,160:1024,64,6,9.375
full,aggressive,19,full_population,160:2048,32,2,6.25
full,aggressive,19,full_population,160:256,96,29,30.208333333333332
full,aggressive,19,full_population,160:4096,32,9,28.125
full,aggressive,19,full_population,200:1024,64,3,4.6875
full,aggressive,19,full_population,200:2048,32,3,9.375
full,aggressive,19,full_population,200:256,96,25,26.041666666666668
full,aggressive,19,full_population,200:4096,32,22,68.75
full,aggressive,19,full_population,32:1024,64,35,54.6875
full,aggressive,19,full_population,32:2048,32,23,71.875
full,aggressive,19,full_population,32:256,96,72,75.0
full,aggressive,19,full_population,32:4096,32,30,93.75
full,aggressive,19,full_population,64:1024,64,36,56.25
full,aggressive,19,full_population,64:2048,32,29,90.625
full,aggressive,19,full_population,64:256,96,69,71.875
full,aggressive,19,full_population,64:4096,32,32,100.0
full,aggressive,19,full_population,80:1024,64,38,59.375
full,aggressive,19,full_population,80:2048,32,28,87.5
full,aggressive,19,full_population,80:256,96,78,81.25
full,aggressive,19,full_population,80:4096,32,32,100.0
full,aggressive,43,warm_2_4s,128:1024,11,0,0.0
full,aggressive,43,warm_2_4s,128:2048,5,0,0.0
full,aggressive,43,warm_2_4s,128:256,14,1,7.142857142857143
full,aggressive,43,warm_2_4s,128:4096,1,1,100.0
full,aggressive,43,warm_2_4s,160:1024,7,0,0.0
full,aggressive,43,warm_2_4s,160:2048,7,0,0.0
