scenario,policy,seed,request_id,npu_id,category,profile,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,in_warm_2_4s,in_long_2_6s
full,aggressive,19,0,0,SS,L80_M256,0.0,80.54809232585734,80.54809232585734,32.085964974046185,2.5103839760160365,False,False,False
full,aggressive,19,1,0,SL,L80_M1024,80.54809232585734,260.1933109474595,179.64521862160217,122.48236916054397,1.4667026760899105,True,False,False
full,aggressive,19,2,0,LS,L200_M256,260.1933109474595,481.2000774297878,221.00676648232832,72.35128428205302,3.0546350168541485,False,False,False
full,aggressive,19,3,0,SL,L32_M2048,481.2000774297878,655.067170439617,173.8670930098292,114.952820977,1.512508275413414,False,False,False
full,aggressive,19,4,0,SS,L80_M256,655.067170439617,695.1188585419634,40.05168810234636,32.085964974046185,1.2482619155990329,True,False,False
full,aggressive,19,5,0,SL,L32_M1024,695.1188585419634,781.382085264583,86.2632267226196,58.057852632638046,1.4858149726696146,True,False,False
full,aggressive,19,6,0,LS,L160_M256,781.382085264583,884.7267724493893,103.34468718480628,58.92951067026337,1.753700073348062,False,False,False
full,aggressive,19,7,0,LS,L128_M256,884.7267724493893,967.8854549323783,83.15868248298898,48.19209238871334,1.7255669625680097,False,False,False
full,aggressive,19,8,0,LS,L200_M256,967.8854549323783,1092.0288848156304,124.14342988325211,72.35128428205302,1.7158427955375812,False,False,False
full,aggressive,19,9,0,LS,L128_M256,1092.0288848156304,1182.2197844741315,90.19089965850117,48.19209238871334,1.8714875239495516,False,False,False
full,aggressive,19,10,0,SS,L32_M256,1182.2197844741315,1201.1899319908953,18.970147516763745,15.979837567787547,1.18713018428949,True,False,False
full,aggressive,19,11,0,SL,L64_M1024,1201.1899319908953,1354.6178262474111,153.42789425651586,101.00752608339441,1.5189748745043201,False,False,False
full,aggressive,19,12,0,LL,L160_M1024,1354.6178262474111,1974.9513446721191,620.333518424708,229.85653940820262,2.6987855991473735,False,False,False
full,aggressive,19,13,0,LL,L200_M1024,1974.9513446721191,2479.7850156592435,504.8336709871244,283.5436075005082,1.7804445511479907,False,False,False
full,aggressive,19,14,0,LL,L128_M2048,2479.7850156592435,3218.575963162349,738.7909475031056,372.6508694745985,1.9825284415536961,False,True,True
full,aggressive,19,15,0,LS,L200_M256,3218.575963162349,3369.9477316063617,151.37176844401256,72.35128428205302,2.0921780441921034,False,True,True
full,aggressive,19,16,0,SL,L80_M4096,3369.9477316063617,3856.388558390377,486.44082678401537,486.44082678401566,0.9999999999999994,True,True,True
full,aggressive,19,17,0,LL,L200_M4096,3856.388558390377,5100.259049962928,1243.8704915725507,1130.6863062355314,1.1001021987379072,True,True,True
full,aggressive,19,18,0,SL,L32_M4096,5100.259049962928,5375.906334528871,275.64728456594366,228.74273596704626,1.2050537185393055,True,False,True
full,aggressive,19,19,0,SL,L80_M2048,5375.906334528871,5736.153425805292,360.2470912764202,243.80186035081854,1.4776224051696851,True,False,True
full,aggressive,19,20,0,LL,L160_M4096,5736.153425805292,7112.648689213146,1376.4952634078545,915.9373744307104,1.502826832744322,False,False,True
full,aggressive,19,21,0,SS,L32_M256,7112.648689213146,7132.719549300466,20.07086008731949,15.979837567787547,1.2560115209042362,True,False,False
full,aggressive,19,22,0,LL,L200_M1024,7132.719549300466,7659.694490449346,526.9749411488801,283.5436075005082,1.8585322582098263,False,False,False
full,aggressive,19,23,0,LL,L128_M4096,7659.694490449346,8787.555473706518,1127.860983257172,744.1386016188327,1.5156598257415652,False,False,False
full,aggressive,19,24,0,LL,L128_M1024,8787.555473706518,9186.393206145958,398.8377324394405,186.90687789087698,2.133884728802203,False,False,False
full,aggressive,19,25,0,LS,L160_M256,9186.393206145958,9271.837384164859,85.44417801890086,58.92951067026337,1.4499386987446536,True,False,False
full,aggressive,19,26,0,LS,L160_M256,9271.837384164859,9364.354109366604,92.51672520174543,58.92951067026337,1.5699557683317167,False,False,False
full,aggressive,19,27,0,SL,L64_M1024,9364.354109366604,9518.194061480057,153.83995211345245,101.00752608339441,1.523054351281094,False,False,False
full,aggressive,19,28,0,SL,L64_M4096,9518.194061480057,9918.735421165564,400.5413596855069,400.5413596855101,0.999999999999992,True,False,False
full,aggressive,19,29,0,SS,L64_M256,9918.735421165564,9958.77028245267,40.03486128710574,26.717256165257165,1.4984645518788957,True,False,False
full,aggressive,19,30,0,SL,L32_M1024,9958.77028245267,10050.868482471818,92.09820001914886,58.057852632638046,1.5863177131593489,False,False,False
full,aggressive,19,31,0,SS,L80_M256,10050.868482471818,10097.939811469634,47.071328997815726,32.085964974046185,1.4670379723935671,True,False,False
full,aggressive,19,32,0,SS,L64_M256,10097.939811469634,10138.332413054082,40.39260158444813,26.717256165257165,1.5118544110444334,False,False,False
full,aggressive,19,33,0,SL,L80_M1024,10138.332413054082,10346.231120611112,207.8987075570294,122.48236916054397,1.6973766018889285,False,False,False
full,aggressive,19,34,0,LL,L200_M2048,10346.231120611112,11203.033213867788,856.802093256676,565.9243027292647,1.513987098848034,False,False,False
full,aggressive,19,35,0,LS,L128_M256,11203.033213867788,11287.66451101537,84.63129714758179,48.19209238871334,1.7561241471931308,False,False,False
full,aggressive,19,36,0,LL,L128_M1024,11287.66451101537,11720.662562972033,432.9980519566634,186.90687789087698,2.316651248165749,False,False,False
full,aggressive,19,37,0,SL,L64_M2048,11720.662562972033,11968.482592545883,247.82002957384975,200.85214333740902,1.2338430920178929,True,False,False
full,aggressive,19,38,0,LL,L160_M1024,11968.482592545883,12447.429141777564,478.9465492316813,229.85653940820262,2.083675976610434,False,False,False
full,aggressive,19,39,0,SS,L64_M256,12447.429141777564,12482.521250567905,35.09210879034072,26.717256165257165,1.3134623021646257,True,False,False
full,aggressive,19,40,0,LL,L160_M2048,12482.521250567905,13247.07876239669,764.5575118287852,458.55018171426593,1.6673366238140541,False,False,False
full,aggressive,19,41,0,SS,L32_M256,13247.07876239669,13263.058599964483,15.979837567792856,15.979837567787547,1.0000000000003322,True,False,False
full,aggressive,19,1000000,1,SL,L64_M4096,0.0,465.00092538938134,465.00092538938134,400.5413596855101,1.1609311102216322,True,False,False
full,aggressive,19,1000001,1,LS,L128_M256,465.00092538938134,602.5084102546439,137.50748486526254,48.19209238871334,2.8533204940789623,False,False,False
full,aggressive,19,1000002,1,SL,L32_M2048,602.5084102546439,768.3943948828671,165.88598462822324,114.952820977,1.4430788493778162,True,False,False
full,aggressive,19,1000003,1,LS,L128_M256,768.3943948828671,840.1860167739362,71.7916218910691,48.19209238871334,1.4896971335463907,True,False,False
full,aggressive,19,1000004,1,LL,L200_M2048,840.1860167739362,1789.0995550774862,948.91353830355,565.9243027292647,1.6767499358611313,False,False,False
full,aggressive,19,1000005,1,LL,L200_M4096,1789.0995550774862,3541.644912642868,1752.5453575653817,1130.6863062355314,1.5499837115744743,False,False,False
full,aggressive,19,1000006,1,SL,L64_M2048,3541.644912642868,3878.3284349337778,336.6835222909099,200.85214333740902,1.6762754765594878,False,True,True
full,aggressive,19,1000007,1,LL,L160_M2048,3878.3284349337778,4590.890275348199,712.5618404144211,458.55018171426593,1.5539451707347403,False,True,True
full,aggressive,19,1000008,1,LS,L160_M256,4590.890275348199,4694.047303280652,103.15702793245327,58.92951067026337,1.7505156034582128,False,False,True
full,aggressive,19,1000009,1,LS,L128_M256,4694.047303280652,4756.831225196051,62.78392191539842,48.19209238871334,1.3027847267760988,True,False,True
full,aggressive,19,1000010,1,SS,L80_M256,4756.831225196051,4793.724819620779,36.89359442472869,32.085964974046185,1.1498359003561625,True,False,True
full,aggressive,19,1000011,1,SS,L32_M256,4793.724819620779,4816.150551295957,22.425731675177303,15.979837567787547,1.4033766976695377,True,False,True
full,aggressive,19,1000012,1,SS,L32_M256,4816.150551295957,4832.130388863742,15.97983756778558,15.979837567787547,0.999999999999877,True,False,True
full,aggressive,19,1000013,1,LS,L160_M256,4832.130388863742,4905.3349840757755,73.20459521203338,58.92951067026337,1.2422399979128524,True,False,True
full,aggressive,19,1000014,1,SS,L64_M256,4905.3349840757755,4935.02264886636,29.687664790584677,26.717256165257165,1.111179404312865,True,False,True
full,aggressive,19,1000015,1,SL,L80_M2048,4935.02264886636,5178.824509217177,243.80186035081715,243.80186035081854,0.9999999999999943,True,False,True
full,aggressive,19,1000016,1,SL,L32_M1024,5178.824509217177,5269.388374059548,90.563864842371,58.057852632638046,1.5598900189336187,False,False,True
full,aggressive,19,1000017,1,LL,L128_M2048,5269.388374059548,5992.367647816157,722.9792737566086,372.6508694745985,1.9400981803046349,False,False,True
full,aggressive,19,1000018,1,LL,L128_M4096,5992.367647816157,7217.353720131271,1224.9860723151141,744.1386016188327,1.64617998535518,False,False,True
full,aggressive,19,1000019,1,SS,L80_M256,7217.353720131271,7260.079286360699,42.725566229428296,32.085964974046185,1.3315967359556837,True,False,False
full,aggressive,19,1000020,1,SS,L80_M256,7260.079286360699,7309.4612087809355,49.38192242023615,32.085964974046185,1.5390505618322647,False,False,False
full,aggressive,19,1000021,1,SL,L64_M1024,7309.4612087809355,7437.41926362534,127.95805484440461,101.00752608339441,1.266817036373697,True,False,False
full,aggressive,19,1000022,1,SL,L32_M4096,7437.41926362534,7666.1619995923875,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,False
full,aggressive,19,1000023,1,LL,L160_M1024,7666.1619995923875,8359.858560744138,693.6965611517508,229.85653940820262,3.0179544290441696,False,False,False
full,aggressive,19,1000024,1,LL,L200_M1024,8359.858560744138,8839.875879173203,480.0173184290652,283.5436075005082,1.6929223785382108,False,False,False
full,aggressive,19,1000025,1,LS,L160_M256,8839.875879173203,8936.095851190452,96.21997201724844,58.92951067026337,1.6327977429787541,False,False,False
full,aggressive,19,1000026,1,LS,L200_M256,8936.095851190452,9069.325749431187,133.22989824073557,72.35128428205302,1.841431006550684,False,False,False
full,aggressive,19,1000027,1,LL,L200_M1024,9069.325749431187,9596.07759681474,526.7518473835535,283.5436075005082,1.8577454523731747,False,False,False
full,aggressive,19,1000028,1,SL,L80_M4096,9596.07759681474,10082.51842359876,486.440826784019,486.44082678401566,1.0000000000000069,True,False,False
full,aggressive,19,1000029,1,SL,L32_M1024,10082.51842359876,10192.07369792592,109.55527432716008,58.057852632638046,1.887001832816187,False,False,False
full,aggressive,19,1000030,1,LL,L160_M4096,10192.07369792592,11620.41108892125,1428.3373909953298,915.9373744307104,1.5594269115648822,False,False,False
full,aggressive,19,1000031,1,SL,L80_M1024,11620.41108892125,11806.5308032283,186.11971430704943,122.48236916054397,1.5195633100719395,False,False,False
full,aggressive,19,1000032,1,LS,L200_M256,11806.5308032283,11921.68933905732,115.15853582902128,72.35128428205302,1.591658489158108,False,False,False
full,aggressive,19,1000033,1,SS,L32_M256,11921.68933905732,11942.588209718915,20.89887066159463,15.979837567787547,1.307827477778808,True,False,False
full,aggressive,19,1000034,1,SL,L80_M1024,11942.588209718915,12101.227611089627,158.63940137071222,122.48236916054397,1.2952019336168732,True,False,False
full,aggressive,19,1000035,1,SS,L64_M256,12101.227611089627,12141.07543815174,39.84782706211263,26.717256165257165,1.4914640491387854,True,False,False
full,aggressive,19,1000036,1,LL,L160_M1024,12141.07543815174,12712.67451359617,571.5990754444301,229.85653940820262,2.4867644702042884,False,False,False
full,aggressive,19,1000037,1,SS,L64_M256,12712.67451359617,12754.169005046271,41.49449145010112,26.717256165257165,1.5530970393606556,False,False,False
full,aggressive,19,1000038,1,LS,L200_M256,12754.169005046271,12866.12440297005,111.95539792377895,72.35128428205302,1.5473864636228698,False,False,False
full,aggressive,19,1000039,1,SL,L64_M1024,12866.12440297005,12997.584622282133,131.4602193120827,101.00752608339441,1.3014893484624677,True,False,False
full,aggressive,19,1000040,1,LL,L128_M1024,12997.584622282133,13301.527413684891,303.9427914027583,186.90687789087698,1.6261723208506598,False,False,False
full,aggressive,19,1000041,1,LL,L128_M1024,13301.527413684891,13547.235473851004,245.70806016611277,186.90687789087698,1.3146014899974203,True,False,False
full,aggressive,19,2000000,2,SS,L32_M256,0.0,57.44489109734064,57.44489109734064,15.979837567787547,3.594835733070223,False,False,False
full,aggressive,19,2000001,2,SL,L32_M1024,57.44489109734064,179.25737735544695,121.8124862581063,58.057852632638046,2.0981224887678276,False,False,False
full,aggressive,19,2000002,2,LL,L200_M1024,179.25737735544695,950.8780027197901,771.6206253643431,283.5436075005082,2.7213472811689474,False,False,False
full,aggressive,19,2000003,2,LS,L200_M256,950.8780027197901,1076.2188982561604,125.34089553637034,72.35128428205302,1.7323935128468975,False,False,False
full,aggressive,19,2000004,2,LS,L128_M256,1076.2188982561604,1162.9283205588536,86.70942230269316,48.19209238871334,1.7992458514418153,False,False,False
full,aggressive,19,2000005,2,SL,L80_M4096,1162.9283205588536,1650.895918046075,487.9675974872214,486.44082678401566,1.0031386565829592,True,False,False
full,aggressive,19,2000006,2,SS,L32_M256,1650.895918046075,1671.0772328145124,20.18131476843746,15.979837567787547,1.262923648806001,True,False,False
full,aggressive,19,2000007,2,LL,L128_M1024,1671.0772328145124,2116.3477737012036,445.27054088669115,186.90687789087698,2.3823122290162924,False,False,False
full,aggressive,19,2000008,2,LL,L160_M1024,2116.3477737012036,2617.460042181885,501.11226848068145,229.85653940820262,2.1801088181822634,False,True,True
full,aggressive,19,2000009,2,SL,L64_M2048,2617.460042181885,2938.4332443682906,320.9732021864056,200.85214333740902,1.5980571421994074,False,True,True
full,aggressive,19,2000010,2,LL,L160_M1024,2938.4332443682906,3422.566014471924,484.13277010363345,229.85653940820262,2.1062388364068303,False,True,True
full,aggressive,19,2000011,2,SL,L64_M4096,3422.566014471924,3823.1073741574346,400.54135968551054,400.5413596855101,1.000000000000001,True,True,True
full,aggressive,19,2000012,2,SL,L64_M1024,3823.1073741574346,3975.6531556285886,152.545781471154,101.00752608339441,1.5102417353060233,False,True,True
full,aggressive,19,2000013,2,SS,L64_M256,3975.6531556285886,4013.929932840143,38.27677721155442,26.717256165257165,1.4326612349261048,True,True,True
full,aggressive,19,2000014,2,SS,L64_M256,4013.929932840143,4052.690419252103,38.760486411959846,26.717256165257165,1.4507659833109499,True,False,True
full,aggressive,19,2000015,2,LL,L200_M1024,4052.690419252103,4478.729870395571,426.03945114346834,283.5436075005082,1.5025535398208714,False,False,True
full,aggressive,19,2000016,2,LL,L128_M2048,4478.729870395571,5085.473935095994,606.7440647004232,372.6508694745985,1.6281836818356907,False,False,True
full,aggressive,19,2000017,2,SL,L80_M2048,5085.473935095994,5446.891042993071,361.4171078970767,243.80186035081854,1.4824214523097392,True,False,True
full,aggressive,19,2000018,2,LL,L200_M4096,5446.891042993071,7137.264385593895,1690.373342600824,1130.6863062355314,1.494997625140341,True,False,True
full,aggressive,19,2000019,2,LS,L200_M256,7137.264385593895,7263.040974036234,125.77658844233883,72.35128428205302,1.7384154226207447,False,False,False
full,aggressive,19,2000020,2,LS,L128_M256,7263.040974036234,7329.966126052756,66.92515201652259,48.19209238871334,1.3887164615453915,True,False,False
full,aggressive,19,2000021,2,LL,L128_M1024,7329.966126052756,7662.675218076267,332.7090920235105,186.90687789087698,1.7800794480006141,False,False,False
full,aggressive,19,2000022,2,LS,L128_M256,7662.675218076267,7734.205557497331,71.53033942106413,48.19209238871334,1.4842754459405179,True,False,False
