total_K,miss,requests_per_seed,blocks_per_disk_min,blocks_per_disk_max,exceeds_256
32,256,96,84,85,False
32,1024,64,82,83,False
32,2048,32,80,80,False
32,4096,32,74,75,False
64,256,96,170,170,False
64,1024,64,168,168,False
64,2048,32,165,166,False
64,4096,32,160,160,False
80,256,96,212,213,False
80,1024,64,210,211,False
80,2048,32,208,208,False
80,4096,32,202,203,False
128,256,96,340,341,True
128,1024,64,338,339,True
128,2048,32,336,336,True
128,4096,32,330,331,True
160,256,96,426,426,True
160,1024,64,424,424,True
160,2048,32,421,422,True
160,4096,32,416,416,True
200,256,96,532,533,True
200,1024,64,530,531,True
200,2048,32,528,528,True
200,4096,32,522,523,True
