case,policy,constructed_profile,selected_addresses,U,SLO,passed,count,warm_under,full_under,all_npus_active,mixed_cards,warm_peak,full_peak
boundary_od_seed7_local,od_baseline,False,False,97.9693266801704,100.0,101,101,True,True,True,32,30.93150765922852,31.457156392108157
fixedssu1_safe38_od_local,od_baseline,True,True,97.28109814546997,96.37243047158404,797,827,True,True,True,32,37.858637158208104,37.858637158208104
fixedssu1_safe38_once_remote,once,True,True,99.54611963163846,100.0,883,883,True,True,True,32,37.858637158208104,37.858637158208104
fixedssu1_safe38_ordinary_addresses_od_remote,od_baseline,True,False,97.53486348365065,96.07361963190183,783,815,False,False,True,32,41.515627636099246,41.609534529239276
fixedssu1_safe38_random_od_remote,od_baseline,True,True,99.48612620603684,100.0,755,755,False,False,True,32,41.3138816082557,70.68345943366027
fixedssu1_safe38_spread_od_remote,od_baseline,True,True,97.50704117131968,100.0,744,744,True,False,True,32,37.858637158208104,46.49674828332709
fixedssu1_safe39_od_local,od_baseline,True,True,97.01122758036719,98.81376037959667,833,843,True,True,True,32,39.16183560050321,39.16183560050321
fixedssu1_tight40_od_local,od_baseline,True,True,96.937100083876,98.94613583138174,845,854,True,True,True,32,39.97416195728518,39.97416195728518
native_phase_lock_a101_b0995_od_local,od_baseline,True,True,94.05798732445932,73.75296912114014,621,842,True,True,True,32,37.752890830583375,37.752890830583375
native_phase_lock_a101_b0995_once_remote,once,True,True,99.49781452172067,100.0,884,884,True,True,True,32,37.752890830583375,37.752890830583375
native_phase_lock_a102_od_local,od_baseline,True,True,95.90345292667801,86.87943262411348,735,846,True,True,True,32,37.46980592997879,37.46980592997879
native_phase_lock_a102_once_remote,once,True,True,99.0647643865165,100.0,886,886,False,False,True,32,40.82784257296906,47.5439158589496
raw32_128_a3b1_p3_od_local,od_baseline,False,False,98.82247676091366,100.0,286,286,True,False,True,32,37.50702090633545,42.380665211563105
raw32_128_a4b1_p3_od_remote,od_baseline,False,False,99.1394674833254,100.0,334,334,True,True,True,32,37.66236016066589,38.02022569481506
raw32_128_a5b1_p3_od_remote,od_baseline,False,False,99.04208869437336,100.0,369,369,True,True,True,32,37.8237528985199,38.09851683717041
raw32_200_a5b1_p3_od_remote,od_baseline,False,False,98.56239395616014,100.0,224,224,True,True,True,32,38.0017741414032,38.16135535579834
raw32_200_a7b1_p3_od_remote,od_baseline,False,False,98.0448356209826,100.0,307,307,True,True,True,32,38.142413159820556,38.16779853439636
raw32_200_proxy_best_od_local,od_baseline,False,False,99.05745385404332,100.0,312,312,True,True,True,32,38.354070666934206,38.354070666934206
raw32_32_a3b1_p4_od_local,od_baseline,False,False,99.68350349115236,100.0,640,640,False,False,True,32,40.9288529831543,47.19795264641419
raw_boundary_32m2048_200m4096_sync_once_remote,once,False,False,98.49108816617878,100.0,122,122,True,True,True,32,29.850963754742434,31.457156392108157
synth_phase180_1039_c103_od_remote,od_baseline,True,False,98.79126921434795,100.0,435,435,False,False,True,32,41.16547480155655,41.16547480155655
synth_phase180_1039_od_local,od_baseline,True,False,99.01274799354637,100.0,449,449,False,False,True,32,41.875114965981,42.090713031263256
synth_phase80_1210_c103_od_remote,od_baseline,True,False,98.07295694995109,97.86223277909738,824,842,False,False,True,32,41.692643383596064,41.83151566186508
synth_phase80_1210_od_local,od_baseline,True,False,98.1512378864922,98.75,869,880,False,False,True,32,43.1776455264482,43.1776455264482
synth_phase80_1210_once_remote,once,True,False,98.78615540601082,100.0,929,929,False,False,True,32,44.410498670593235,46.11288902825509
