time_ms,event,npu,request,layer,role
56.26220703125,compute_start,0,0,0,1
56.26220703125,compute_start,8,0,0,1
56.26220703125,compute_start,16,0,0,1
56.26220703125,compute_start,24,0,0,1
805.24970127306,admission,0,1,0,1
805.24970127306,admission,8,1,0,0
805.24970127306,admission,16,1,0,1
805.24970127306,admission,24,1,0,1
805.24970127306,compute_start,0,1,0,1
805.24970127306,compute_start,8,1,0,0
805.24970127306,compute_start,16,1,0,1
805.24970127306,compute_start,24,1,0,1
833.46402190981,admission,8,2,0,0
835.32782627306,compute_start,8,2,0,0
863.44143890199,admission,8,3,0,0
863.44143890199,compute_start,8,3,0,0
878.60912899593,admission,8,4,0,0
878.60912899593,compute_start,8,4,0,0
893.77681908987,admission,8,5,0,0
893.77681908987,compute_start,8,5,0,0
916.39972663684,admission,8,6,0,0
918.2635310001,compute_start,8,6,0,0
946.47785163684,admission,8,7,0,0
948.3416560001,compute_start,8,7,0,0
966.54468199093,admission,8,8,0,0
966.54468199093,compute_start,8,8,0,0
981.71237208487,admission,8,9,0,0
981.71237208487,compute_start,8,9,0,0
998.74386654207,admission,8,10,0,0
1000.6076709053,compute_start,8,10,0,0
1028.8219915421,admission,8,11,0,0
1030.6857959053,compute_start,8,11,0,0
1054.4802349859,admission,8,12,0,0
1054.4802349859,compute_start,8,12,0,0
1069.6479250799,admission,8,13,0,0
1069.6479250799,compute_start,8,13,0,0
1084.8156151738,admission,8,14,0,0
1084.8156151738,compute_start,8,14,0,0
1111.1661314473,admission,8,15,0,0
1113.0299358106,compute_start,8,15,0,0
1141.2442564473,admission,8,16,0,0
1142.4157879809,compute_start,8,16,0,0
1157.5834780749,admission,8,17,0,0
1157.5834780749,compute_start,8,17,0,0
1172.7511681688,admission,8,18,0,0
1172.7511681688,compute_start,8,18,0,0
1193.5102713525,admission,8,19,0,0
1195.3740757158,compute_start,8,19,0,0
1223.5883963525,admission,8,20,0,0
1225.4522007158,compute_start,8,20,0,0
1245.5190310699,admission,8,21,0,0
1245.5190310699,compute_start,8,21,0,0
1260.6867211638,admission,8,22,0,0
1260.6867211638,compute_start,8,22,0,0
1275.8544112577,admission,8,23,0,0
1277.718215621,compute_start,8,23,0,0
1305.9325362577,admission,8,24,0,0
1307.796340621,compute_start,8,24,0,0
1333.4545840649,admission,8,25,0,0
1333.4545840649,compute_start,8,25,0,0
1348.6222741588,admission,8,26,0,0
1348.6222741588,compute_start,8,26,0,0
1363.7899642527,admission,8,27,0,0
1363.7899642527,compute_start,8,27,0,0
1388.276676163,admission,8,28,0,0
1390.1404805262,compute_start,8,28,0,0
1418.354801163,admission,8,29,0,0
1420.2186055262,compute_start,8,29,0,0
1436.5578271538,admission,8,30,0,0
1436.5578271538,compute_start,8,30,0,0
1451.7255172477,admission,8,31,0,0
1451.7255172477,compute_start,8,31,0,0
1469.483686388,admission,8,32,0,0
1470.407549345,compute_start,8,32,0,0
1492.042280138,admission,8,33,0,0
1492.966143095,compute_start,8,33,0,0
1511.3677697972,admission,8,34,0,0
1511.3677697972,compute_start,8,34,0,0
1526.5354598912,admission,8,35,0,0
1526.5354598912,compute_start,8,35,0,0
1541.7031499851,admission,8,36,0,1
1553.8727404812,compute_start,8,36,0,1
1554.2371955149,admission,0,2,0,1
1554.2371955149,admission,16,2,0,0
1554.2371955149,admission,24,2,0,1
1554.2371955149,compute_start,0,2,0,1
1554.2371955149,compute_start,16,2,0,0
1554.2371955149,compute_start,24,2,0,1
1582.4515161516,admission,16,3,0,0
1584.3153205149,compute_start,16,3,0,0
