time_ms,event,npu,request,layer,role
0,admission,0,0,0,1
0,admission,8,0,0,1
0,admission,16,0,0,1
0,admission,24,0,0,1
54.158528645833,compute_start,0,0,0,1
54.158528645833,compute_start,8,0,0,1
54.158528645833,compute_start,16,0,0,1
54.158528645833,compute_start,24,0,0,1
774.33881157066,admission,0,1,0,1
774.33881157066,admission,8,1,0,0
774.33881157066,admission,16,1,0,1
774.33881157066,admission,24,1,0,1
774.33881157066,compute_start,0,1,0,1
774.33881157066,compute_start,8,1,0,0
774.33881157066,compute_start,16,1,0,1
774.33881157066,compute_start,24,1,0,1
801.24465482639,admission,8,2,0,0
802.98464490399,compute_start,8,2,0,0
829.89048815972,admission,8,3,0,0
829.89048815972,compute_start,8,3,0,0
844.61640087229,admission,8,4,0,0
844.61640087229,compute_start,8,4,0,0
859.34231358485,admission,8,5,0,0
859.34231358485,compute_start,8,5,0,0
881.02818660779,admission,8,6,0,0
882.76817668539,compute_start,8,6,0,0
909.67401994113,admission,8,7,0,0
911.41401001872,compute_start,8,7,0,0
929.45241233005,admission,8,8,0,0
929.45241233005,compute_start,8,8,0,0
944.17832504261,admission,8,9,0,0
944.17832504261,compute_start,8,9,0,0
960.64422783277,admission,8,10,0,0
962.38421791037,compute_start,8,10,0,0
989.2900611661,admission,8,11,0,0
991.0300512437,compute_start,8,11,0,0
1013.9527304284,admission,8,12,0,0
1013.9527304284,compute_start,8,12,0,0
1028.678643141,admission,8,13,0,0
1028.678643141,compute_start,8,13,0,0
1043.4045558536,admission,8,14,0,0
1043.4045558536,compute_start,8,14,0,0
1068.5704090317,admission,8,15,0,0
1070.3103991093,compute_start,8,15,0,0
1097.216242365,admission,8,16,0,0
1098.4530485268,compute_start,8,16,0,0
1113.1789612394,admission,8,17,0,0
1113.1789612394,compute_start,8,17,0,0
1127.904873952,admission,8,18,0,0
1127.904873952,compute_start,8,18,0,0
1147.8507568973,admission,8,19,0,0
1149.5907469749,compute_start,8,19,0,0
1176.4965902306,admission,8,20,0,0
1178.2365803082,compute_start,8,20,0,0
1197.6792793378,admission,8,21,0,0
1197.6792793378,compute_start,8,21,0,0
1212.4051920504,admission,8,22,0,0
1212.4051920504,compute_start,8,22,0,0
1227.1311047629,admission,8,23,0,0
1228.8710948405,compute_start,8,23,0,0
1255.7769380963,admission,8,24,0,0
1257.5169281738,compute_start,8,24,0,0
1282.1795974362,admission,8,25,0,0
1282.1795974362,compute_start,8,25,0,0
1296.9055101487,admission,8,26,0,0
1296.9055101487,compute_start,8,26,0,0
1311.6314228613,admission,8,27,0,0
1311.6314228613,compute_start,8,27,0,0
1335.0572859619,admission,8,28,0,0
1336.7972760395,compute_start,8,28,0,0
1363.7031192952,admission,8,29,0,0
1365.4431093728,compute_start,8,29,0,0
1381.4058282471,admission,8,30,0,0
1381.4058282471,compute_start,8,30,0,0
1396.1317409597,admission,8,31,0,0
1396.1317409597,compute_start,8,31,0,0
1413.1628257774,admission,8,32,0,0
1414.0076335633,compute_start,8,32,0,0
1434.6472007774,admission,8,33,0,0
1435.4920085633,compute_start,8,33,0,0
1453.2616964757,admission,8,34,0,0
1453.2616964757,compute_start,8,34,0,0
1467.9876091883,admission,8,35,0,0
1467.9876091883,compute_start,8,35,0,0
1482.7135219009,admission,8,36,0,1
1494.4124149733,compute_start,8,36,0,1
1494.5190944955,admission,0,2,0,1
1494.5190944955,admission,16,2,0,0
1494.5190944955,admission,24,2,0,1
1494.5190944955,compute_start,0,2,0,1
1494.5190944955,compute_start,16,2,0,0
1494.5190944955,compute_start,24,2,0,1
1521.4249377512,admission,16,3,0,0
1523.1649278288,compute_start,16,3,0,0
1550.0707710845,admission,16,4,0,0
1550.0707710845,compute_start,16,4,0,0
1564.7966837971,admission,16,5,0,0
1564.7966837971,compute_start,16,5,0,0
1579.5225965097,admission,16,6,0,0
1579.5225965097,compute_start,16,6,0,0
1601.2084695326,admission,16,7,0,0
1602.9484596102,compute_start,16,7,0,0
1629.854302866,admission,16,8,0,0
1631.5942929436,compute_start,16,8,0,0
1649.5260157327,admission,16,9,0,0
1649.5260157327,compute_start,16,9,0,0
1664.2519284452,admission,16,10,0,0
1664.2519284452,compute_start,16,10,0,0
1680.7178312354,admission,16,11,0,0
1682.457821313,compute_start,16,11,0,0
1709.3636645687,admission,16,12,0,0
1711.1036546463,compute_start,16,12,0,0
1734.026333831,admission,16,13,0,0
1734.026333831,compute_start,16,13,0,0
1748.7522465436,admission,16,14,0,0
1748.7522465436,compute_start,16,14,0,0
1763.4781592562,admission,16,15,0,0
1763.4781592562,compute_start,16,15,0,0
1788.6440124343,admission,16,16,0,0
1790.3840025119,compute_start,16,16,0,0
1817.2898457676,admission,16,17,0,0
1818.5266519294,compute_start,16,17,0,0
1833.252564642,admission,16,18,0,0
1833.252564642,compute_start,16,18,0,0
1847.9784773546,admission,16,19,0,0
1847.9784773546,compute_start,16,19,0,0
1867.9243602999,admission,16,20,0,0
1869.6643503775,compute_start,16,20,0,0
1896.5701936332,admission,16,21,0,0
1898.3101837108,compute_start,16,21,0,0
1917.7528827404,admission,16,22,0,0
1917.7528827404,compute_start,16,22,0,0
1932.478795453,admission,16,23,0,0
1932.478795453,compute_start,16,23,0,0
1947.2047081655,admission,16,24,0,0
1948.9446982431,compute_start,16,24,0,0
1975.8505414988,admission,16,25,0,0
1977.5905315764,compute_start,16,25,0,0
2002.2532008388,admission,16,26,0,0
2002.2532008388,compute_start,16,26,0,0
2016.9791135513,admission,16,27,0,0
2016.9791135513,compute_start,16,27,0,0
2031.7050262639,admission,16,28,0,0
2031.7050262639,compute_start,16,28,0,0
2055.1308893644,admission,16,29,0,0
2056.870879442,compute_start,16,29,0,0
2083.7767226978,admission,16,30,0,0
2085.5167127754,compute_start,16,30,0,0
2101.4794316497,admission,16,31,0,0
2101.4794316497,compute_start,16,31,0,0
2116.2053443623,admission,16,32,0,0
2116.2053443623,compute_start,16,32,0,0
