npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
0,True,2,4,B,2,5,B,155.25:4096,155.25:4096,B,1928.6043183926238,2022.2277551728507,93.62343678022687,93.62343678022687,93.62343678022694,"[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.6812582455285444,0.751176854938053,0.7368345760848204]","complete-cycle volume conservation, not independently logged SSD rates",1928.6043183926238,1979.0847197592577,,False,2022.2277551728507,50.48040136663394,0,0.0,0.0,99.99999999999993,56.26220703125,False,B,B
0,True,2,5,B,2,6,B,155.25:4096,155.25:4096,B,2022.2277551728507,2115.8511919530774,93.62343678022687,93.62343678022687,93.62343678022671,"[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.6812582455285461,0.7511768549380547,0.7368345760848222]","complete-cycle volume conservation, not independently logged SSD rates",2022.2277551728507,2072.650694900283,,False,2115.8511919530774,50.422939727432095,0,0.0,0.0,100.00000000000017,56.26220703125,False,B,B
0,True,2,6,B,2,7,B,155.25:4096,155.25:4096,B,2115.8511919530774,2209.474628733304,93.62343678022687,93.62343678022687,93.62343678022671,"[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.6812582455285461,0.7511768549380547,0.7368345760848222]","complete-cycle volume conservation, not independently logged SSD rates",2115.8511919530774,2166.3441818206884,,False,2209.474628733304,50.49298986761096,0,0.0,0.0,100.00000000000017,56.26220703125,False,B,B
0,False,2,7,B,3,0,A,10.25:256,155.25:4096,A,2209.474628733304,2303.098065513531,93.62343678022687,1.8959612617422492,93.62343678022671,"[0.06378173828125,0.0703277587890625,0.0689849853515625]","[0.004364013671875,0.00469970703125,0.004364013671875]","[0.681258245528545,0.7511768549380535,0.736834576084821]","[0.0466124062730057,0.050197975986313835,0.0466124062730057]","[0.04661240627300579,0.05019797598631392,0.04661240627300579]","complete-cycle volume conservation, not independently logged SSD rates",2209.474628733304,2212.875321146284,,False,2303.098065513531,3.400692412979879,0,0.0,0.0,100.00000000000017,3.759765625,False,B,A
0,True,3,0,A,3,1,A,10.25:256,10.25:256,A,2303.098065513531,2305.301565635048,1.8959612617422492,1.8959612617422492,2.2035001215172088,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[1.980491686503825,2.132837200850273,1.980491686503825]","complete-cycle volume conservation, not independently logged SSD rates",2303.098065513531,2305.301565635048,,False,2304.994026775273,2.2035001215172088,0.30753885977492246,0.30753885977492246,0.0,86.04316574472412,3.759765625,False,A,A
0,True,3,1,A,3,2,A,10.25:256,10.25:256,A,2305.301565635048,2307.5549073098528,1.8959612617422492,1.8959612617422492,2.2533416748046875,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[1.9366852886405959,2.085661080074488,1.9366852886405959]","complete-cycle volume conservation, not independently logged SSD rates",2305.301565635048,2307.5549073098528,,False,2307.1975268967904,2.2533416748046875,0.3573804130624012,0.3573804130624012,0.0,84.13998120842393,3.759765625,False,A,A
0,True,3,2,A,3,3,A,10.25:256,10.25:256,A,2307.5549073098528,2309.8292298196184,1.8959612617422492,1.8959612617422492,2.274322509765625,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[1.918819188191882,2.066420664206642,1.918819188191882]","complete-cycle volume conservation, not independently logged SSD rates",2307.5549073098528,2309.8292298196184,,False,2309.450868571595,2.274322509765625,0.3783612480233387,0.3783612480233387,0.0,83.36378211978534,3.759765625,False,A,A
0,True,3,3,A,3,4,A,10.25:256,10.25:256,A,2309.8292298196184,2312.0741791604387,1.8959612617422492,1.8959612617422492,2.2449493408203125,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[1.9439252336448598,2.0934579439252334,1.9439252336448598]","complete-cycle volume conservation, not independently logged SSD rates",2309.8292298196184,2312.0741791604387,,False,2311.7251910813607,2.2449493408203125,0.3489880790780262,0.3489880790780262,0.0,84.45452319424983,3.759765625,False,A,A
0,True,3,4,A,3,5,A,10.25:256,10.25:256,A,2312.0741791604387,2314.314932334267,1.8959612617422492,1.8959612617422492,2.240753173828125,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[1.9475655430711611,2.097378277153558,1.9475655430711611]","complete-cycle volume conservation, not independently logged SSD rates",2312.0741791604387,2314.314932334267,,False,2313.970140422181,2.240753173828125,0.3447919120858387,0.3447919120858387,0.0,84.61267773206677,3.759765625,False,A,A
0,True,3,5,A,3,6,A,10.25:256,10.25:256,A,2314.314932334267,2316.48854683622,1.8959612617422492,1.8959612617422492,2.173614501953125,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.0077220077220077,2.1621621621621623,2.0077220077220077]","complete-cycle volume conservation, not independently logged SSD rates",2314.314932334267,2316.48854683622,,False,2316.210893596009,2.173614501953125,0.2776532402108387,0.2776532402108387,0.0,87.22619673537385,3.759765625,False,A,A
0,True,3,6,A,3,7,A,10.25:256,10.25:256,A,2316.48854683622,2318.5824341653215,1.8959612617422492,1.8959612617422492,2.0938873291015625,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.004364013671875,0.00469970703125,0.004364013671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.0841683366733466,2.244488977955912,2.0841683366733466]","complete-cycle volume conservation, not independently logged SSD rates",2316.48854683622,2318.5824341653215,,False,2318.384508097962,2.0938873291015625,0.1979260673592762,0.1979260673592762,0.0,90.54743468722175,3.759765625,False,A,A
0,False,3,7,A,4,0,A,10.25:256,10.25:256,A,2318.5824341653215,2320.630163657509,1.8959612617422492,1.8959612617422492,2.0477294921875,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.0491803278688523,2.2950819672131146,2.2131147540983607]","complete-cycle volume conservation, not independently logged SSD rates",2318.5824341653215,2320.630163657509,,False,2320.478395427064,2.0477294921875,0.1517682304452137,0.1517682304452137,0.0,92.58846292812224,3.759765625,False,A,A
0,True,4,0,A,4,1,A,10.25:256,10.25:256,A,2320.630163657509,2322.5261249192513,1.8959612617422492,1.8959612617422492,1.8959612617422863,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516106,2.478799079961804,2.3902705413917396]","complete-cycle volume conservation, not independently logged SSD rates",2320.630163657509,2322.4806733010637,,False,2322.5261249192513,1.8505096435546875,0,0.0,0.0,99.99999999999805,3.759765625,False,A,A
0,True,4,1,A,4,2,A,10.25:256,10.25:256,A,2322.5261249192513,2324.4220861809936,1.8959612617422492,1.8959612617422492,1.8959612617422863,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516106,2.478799079961804,2.3902705413917396]","complete-cycle volume conservation, not independently logged SSD rates",2322.5261249192513,2324.3731446145403,,False,2324.4220861809936,1.8470196952889637,0,0.0,0.0,99.99999999999805,3.759765625,False,A,A
0,True,4,2,A,4,3,A,10.25:256,10.25:256,A,2324.4220861809936,2326.318047442736,1.8959612617422492,1.8959612617422492,1.8959612617422863,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516106,2.478799079961804,2.3902705413917396]","complete-cycle volume conservation, not independently logged SSD rates",2324.4220861809936,2326.265615928017,,False,2326.318047442736,1.84352974702324,0,0.0,0.0,99.99999999999805,3.759765625,False,A,A
