npu_id,compute_ms,active_ms,io_stall_ms,compute_queue_ms,role_compute_ms,role_active_ms,role_requests_computing,U_percent,idle_ms,A_and_B_actually_computing
0,1945.064583777249,2000.0,54.93541622275097,0.0,"{""B"":1414.1954304894089,""A"":530.8691532878402}","{""B"":1442.11461512994,""A"":557.8853848700601}","{""B"":3,""A"":35}",97.25322918886245,0.0,True
1,1931.2214288700225,2000.0,68.77857112997754,0.0,"{""B"":1400.3522755821823,""A"":530.8691532878402}","{""B"":1431.3039095352838,""A"":568.6960904647162}","{""B"":3,""A"":35}",96.56107144350112,0.0,True
2,1927.2560510624053,2000.0,72.74394893759472,0.0,"{""B"":1396.386897774565,""A"":530.8691532878402}","{""B"":1421.9506533096978,""A"":578.0493466903022}","{""B"":3,""A"":35}",96.36280255312026,0.0,True
3,1928.5316858280303,2000.0,71.46831417196972,0.0,"{""B"":1397.66253254019,""A"":530.8691532878402}","{""B"":1425.1649172257135,""A"":574.8350827742865}","{""B"":3,""A"":35}",96.42658429140151,0.0,True
4,1926.3874444950225,2000.0,73.61255550497754,0.0,"{""B"":1395.5182912071823,""A"":530.8691532878402}","{""B"":1419.4875032852838,""A"":580.5124967147162}","{""B"":3,""A"":35}",96.31937222475112,0.0,True
5,1925.770607947171,2000.0,74.2293920528291,0.0,"{""B"":1394.9014546593307,""A"":530.8691532878402}","{""B"":1418.1615145157525,""A"":581.8384854842475}","{""B"":3,""A"":35}",96.28853039735854,0.0,True
6,1925.7118616092803,2000.0,74.28813839071972,0.0,"{""B"":1394.84270832144,""A"":530.8691532878402}","{""B"":1417.9978640030572,""A"":582.0021359969428}","{""B"":3,""A"":35}",96.28559308046401,0.0,True
7,1925.88390445596,2000.0,74.11609554404004,0.0,"{""B"":1395.0147511681198,""A"":530.8691532878402}","{""B"":1418.4006960343072,""A"":581.5993039656928}","{""B"":3,""A"":35}",96.294195222798,0.0,True
8,1983.8234638354666,2000.0,16.176536164533445,0.0,"{""B"":1790.2775680102768,""A"":193.54589582518975}","{""B"":1790.2775680102768,""A"":209.7224319897232}","{""B"":3,""A"":13}",99.19117319177333,0.0,True
9,1978.2908382289506,2000.0,21.709161771049367,0.0,"{""B"":1792.9169570483627,""A"":185.3738811805879}","{""B"":1792.9169570483627,""A"":207.08304295163725}","{""B"":3,""A"":13}",98.91454191144754,0.0,True
