npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
1,False,1000037,7,A,1000038,0,B,155.25:4096,10.25:256,B,2869.9317640524423,2902.779359267286,1.8959612617422492,93.62343678022687,32.84759521484375,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.064117431640625,0.0703277587890625,0.0686492919921875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[33.81790173376527,37.093457660857716,36.208172275157054]","[1.9519672968829842,2.1410321921308126,2.0899335717935617]","complete-cycle volume conservation, not independently logged SSD rates",2869.9317640524423,2902.779359267286,,False,2871.8277253141846,32.84759521484375,30.951633953101464,30.951633953101464,0.0,5.771994112023973,56.26220703125,False,A,B
0,False,37,7,A,38,0,B,155.25:4096,10.25:256,B,2859.0874891218486,2888.902635024122,1.8959612617422492,93.62343678022687,29.815145902273343,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.064117431640625,0.0703277587890625,0.0686492919921875]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[33.81790173376527,37.093457660857716,36.208172275157054]","[2.15049867107094,2.358793044970481,2.302497268240875]","complete-cycle volume conservation, not independently logged SSD rates",2859.0874891218486,2888.902635024122,,False,2860.983450383591,29.815145902273343,27.919184640531057,27.919184640531057,0.0,6.359054112821518,56.26220703125,False,A,B
3,False,3000037,7,A,3000038,0,B,155.25:4096,10.25:256,B,2876.1378950338876,2905.5362409811532,1.8959612617422492,93.62343678022687,29.398345947265625,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.7293731951952,37.093457660857716,36.29670081372712]","[2.1752783328575505,2.39223522694833,2.340850699400514]","complete-cycle volume conservation, not independently logged SSD rates",2876.1378950338876,2905.5362409811532,,False,2878.03385629563,29.398345947265625,27.50238468552334,27.50238468552334,0.0,6.449210663563182,56.26220703125,False,A,B
2,False,2000037,7,A,2000038,0,B,155.25:4096,10.25:256,B,2879.3185896139657,2906.7783064108407,1.8959612617422492,93.62343678022687,27.459716796875,"[0.004364013671875,0.00469970703125,0.004364013671875]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.30174200282172,2.4787990799618522,2.30174200282172]","[33.7293731951952,37.093457660857716,36.29670081372712]","[2.3288508557457215,2.5611246943765282,2.5061124694376526]","complete-cycle volume conservation, not independently logged SSD rates",2879.3185896139657,2906.7783064108407,,False,2881.214550875708,27.459716796875,25.563755535132714,25.563755535132714,0.0,6.904518629114251,56.26220703125,False,A,B
4,False,4000037,7,A,4000038,0,B,155.25:4096,10.25:256,B,2881.848878310255,2907.7140516500986,1.8959612617422492,93.62343678022687,25.86517333984375,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0642852783203125,0.0703277587890625,0.0684814453125]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.906430272335335,37.093457660857716,36.119643736586994]","[2.4853990914990267,2.719013627514601,2.6476314081765087]","complete-cycle volume conservation, not independently logged SSD rates",2881.848878310255,2907.7140516500986,,False,2883.744839571997,25.86517333984375,23.969212078101464,23.969212078101464,0.0,7.330170329156985,56.26220703125,False,A,B
7,False,7000037,7,A,7000038,0,B,155.25:4096,10.25:256,B,2883.036393569044,2908.3182996969736,1.8959612617422492,93.62343678022687,25.281906127929688,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.7293731951952,37.093457660857716,36.29670081372712]","[2.529460580912863,2.7817427385892115,2.7219917012448134]","complete-cycle volume conservation, not independently logged SSD rates",2883.036393569044,2908.3182996969736,,False,2884.932354830786,25.281906127929688,23.3859448661874,23.3859448661874,0.0,7.499281312684424,56.26220703125,False,A,B
5,False,5000037,7,A,5000038,0,B,155.25:4096,10.25:256,B,2883.2084364157236,2908.3644575338876,1.8959612617422492,93.62343678022687,25.156021118164062,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.064117431640625,0.0703277587890625,0.0686492919921875]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[33.81790173376527,37.093457660857716,36.208172275157054]","[2.548790658882402,2.7956630525437864,2.7289407839866557]","complete-cycle volume conservation, not independently logged SSD rates",2883.2084364157236,2908.3644575338876,,False,2885.104397677466,25.156021118164062,23.260059856421776,23.260059856421776,0.0,7.536808992314205,56.26220703125,False,A,B
6,False,6000037,7,A,6000038,0,B,155.25:4096,10.25:256,B,2883.4056562643564,2908.4567732077157,1.8959612617422492,93.62343678022687,25.051116943359375,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.7293731951952,37.093457660857716,36.29670081372712]","[2.5527638190954773,2.8073701842546064,2.747068676716918]","complete-cycle volume conservation, not independently logged SSD rates",2883.4056562643564,2908.4567732077157,,False,2885.3016175260987,25.051116943359375,23.15515568161709,23.15515568161709,0.0,7.568370168998937,56.26220703125,False,A,B
27,False,27000038,7,A,27000039,0,B,155.25:4096,10.25:256,B,3615.9595026792804,3638.4824907278967,1.8959612617422492,93.62343678022687,22.5229880486163,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.06781005859375,0.0703277587890625,0.0649566650390625]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[35.765529582306726,37.093457660857716,34.2605444266156]","[3.010704372234301,3.122487950411317,2.884016316967016]","complete-cycle volume conservation, not independently logged SSD rates",3615.9595026792804,3638.4824907278967,,False,3617.8554639410227,22.5229880486163,20.627026786874012,20.627026786874012,0.0,8.41789400966595,56.26220703125,False,A,B
24,False,24000038,7,A,24000039,0,B,155.25:4096,10.25:256,B,3604.2347470297486,3626.0534440970373,1.8959612617422492,93.62343678022687,21.818697067288667,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0631103515625,0.0703277587890625,0.0696563720703125]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.286730502344874,37.093457660857716,36.739343506577455]","[2.892489472119634,3.223279491537571,3.1925083269405534]","complete-cycle volume conservation, not independently logged SSD rates",3604.2347470297486,3626.0534440970373,,False,3606.130708291491,21.818697067288667,19.92273580554638,19.92273580554638,0.0,8.689617239265578,56.26220703125,False,A,B
