npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
19,True,19000030,6,A,19000030,7,A,10.25:256,10.25:256,A,2116.161292079535,2119.7247665374853,1.8959612617422492,1.8959612617422492,3.5634744579501785,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.00469970703125,0.00469970703125,0.0040283203125]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[1.318855259580959,1.318855259580959,1.1304473653551077]","complete-cycle volume conservation, not independently logged SSD rates",2116.161292079535,2119.7247665374853,,False,2118.0572533412774,3.5634744579501785,1.6675131962078922,1.6675131962078922,0.0,53.20541185618222,3.759765625,False,A,A
18,True,18000026,5,A,18000026,6,A,10.25:256,10.25:256,A,2041.4228201444234,2044.9853659207906,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[1.1307420494699647,1.3191990577149588,1.3191990577149588]","complete-cycle volume conservation, not independently logged SSD rates",2041.4228201444234,2044.9853659207906,,False,2043.3187814061657,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
18,True,18000031,3,A,18000031,4,A,10.25:256,10.25:256,A,2134.7680252044775,2138.3305709808446,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.390270541391786,2.4787990799618522,2.2132134642516537]","[2.390270541391786,2.4787990799618522,2.2132134642516537]","[1.2720848056537102,1.3191990577149588,1.1778563015312131]","complete-cycle volume conservation, not independently logged SSD rates",2134.7680252044775,2138.3305709808446,,False,2136.6639864662197,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
19,True,19000031,1,A,19000031,2,A,10.25:256,10.25:256,A,2126.833073422251,2130.395619198618,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[1.1307420494699647,1.3191990577149588,1.3191990577149588]","complete-cycle volume conservation, not independently logged SSD rates",2126.833073422251,2130.395619198618,,False,2128.729034683993,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
19,True,19000031,4,A,19000031,5,A,10.25:256,10.25:256,A,2137.4997299163915,2141.0622756927587,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[1.1307420494699647,1.3191990577149588,1.3191990577149588]","complete-cycle volume conservation, not independently logged SSD rates",2137.4997299163915,2141.0622756927587,,False,2139.395691178134,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
20,True,20000026,1,A,20000026,2,A,10.25:256,10.25:256,A,2027.7055502469625,2031.2680960233297,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0045318603515625,0.00469970703125,0.0041961669921875]","[2.390270541391786,2.4787990799618522,2.2132134642516537]","[2.390270541391786,2.4787990799618522,2.2132134642516537]","[1.2720848056537102,1.3191990577149588,1.1778563015312131]","complete-cycle volume conservation, not independently logged SSD rates",2027.7055502469625,2031.2680960233297,,False,2029.6015115087048,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
20,True,20000031,3,A,20000031,4,A,10.25:256,10.25:256,A,2135.410038754282,2138.9725845306493,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[1.1307420494699647,1.3191990577149588,1.3191990577149588]","complete-cycle volume conservation, not independently logged SSD rates",2135.410038754282,2138.9725845306493,,False,2137.3060000160244,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
21,True,21000031,2,A,21000031,3,A,10.25:256,10.25:256,A,2132.027928158579,2135.590473934946,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.00469970703125,0.00469970703125,0.0040283203125]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[1.3191990577149588,1.3191990577149588,1.1307420494699647]","complete-cycle volume conservation, not independently logged SSD rates",2132.027928158579,2135.590473934946,,False,2133.9238894203213,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
23,True,23000030,6,A,23000030,7,A,10.25:256,10.25:256,A,2117.857472225962,2121.420018002329,1.8959612617422492,1.8959612617422492,3.5625457763671875,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.00469970703125,0.00469970703125,0.0040283203125]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[1.3191990577149588,1.3191990577149588,1.1307420494699647]","complete-cycle volume conservation, not independently logged SSD rates",2117.857472225962,2121.420018002329,,False,2119.753433487704,3.5625457763671875,1.6665845146249012,1.6665845146249012,0.0,53.21928140038122,3.759765625,False,A,A
17,True,17000026,3,A,17000026,4,A,10.25:256,10.25:256,A,2032.2793722684469,2035.8377218778219,1.8959612617422492,1.8959612617422492,3.558349609375,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[1.179245283018868,1.320754716981132,1.2735849056603774]","complete-cycle volume conservation, not independently logged SSD rates",2032.2793722684469,2035.8377218778219,,False,2034.1753335301892,3.558349609375,1.6623883476327137,1.6623883476327137,0.0,53.28203998693827,3.759765625,False,A,A
17,True,17000026,5,A,17000026,6,A,10.25:256,10.25:256,A,2039.3918753202047,2042.9502249295797,1.8959612617422492,1.8959612617422492,3.558349609375,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[1.179245283018868,1.320754716981132,1.2735849056603774]","complete-cycle volume conservation, not independently logged SSD rates",2039.3918753202047,2042.9502249295797,,False,2041.287836581947,3.558349609375,1.6623883476327137,1.6623883476327137,0.0,53.28203998693827,3.759765625,False,A,A
