npu_id,compute_ms,active_ms,io_stall_ms,compute_queue_ms,role_compute_ms,role_active_ms,role_requests_computing,U_percent,idle_ms,A_and_B_actually_computing
0,1799.7041234661979,2000.0,200.29587653380213,0.0,"{""B"":1263.5262786454755,""A"":536.1778448207224}","{""B"":1272.1555861890847,""A"":727.8444138109153}","{""B"":3,""A"":35}",89.98520617330989,0.0,True
1,1796.2758550335807,2000.0,203.72414496641932,0.0,"{""B"":1260.0980102128583,""A"":536.1778448207224}","{""B"":1271.3205489576394,""A"":728.6794510423606}","{""B"":3,""A"":35}",89.81379275167903,0.0,True
2,1795.5750951458854,2000.0,204.42490485411463,0.0,"{""B"":1259.397250325163,""A"":536.1778448207224}","{""B"":1271.089759773069,""A"":728.9102402269309}","{""B"":3,""A"":35}",89.77875475729427,0.0,True
3,1797.9291448285026,2000.0,202.07085517149744,0.0,"{""B"":1261.7513000077802,""A"":536.1778448207224}","{""B"":1271.8828353345925,""A"":728.1171646654075}","{""B"":3,""A"":35}",89.89645724142513,0.0,True
4,1795.2561864544791,2000.0,204.74381354552088,0.0,"{""B"":1259.0783416337567,""A"":536.1778448207224}","{""B"":1270.9470900953347,""A"":729.0529099046653}","{""B"":3,""A"":35}",89.76280932272395,0.0,True
5,1795.184851615612,2000.0,204.81514838438807,0.0,"{""B"":1259.0070067948895,""A"":536.1778448207224}","{""B"":1270.9177169263894,""A"":729.0822830736106}","{""B"":3,""A"":35}",89.7592425807806,0.0,True
6,1794.270087211315,2000.0,205.72991278868494,0.0,"{""B"":1258.0922423905927,""A"":536.1778448207224}","{""B"":1270.240665314725,""A"":729.759334685275}","{""B"":3,""A"":35}",89.71350436056575,0.0,True
7,1794.3540105511588,2000.0,205.6459894488412,0.0,"{""B"":1258.1761657304364,""A"":536.1778448207224}","{""B"":1270.3203924875766,""A"":729.6796075124234}","{""B"":3,""A"":35}",89.71770052755794,0.0,True
8,1986.4602451889973,2000.0,13.539754811002695,0.0,"{""B"":1782.1603770804727,""A"":204.2998681085246}","{""B"":1782.1603770804727,""A"":217.8396229195273}","{""B"":3,""A"":14}",99.32301225944987,0.0,True
9,1979.1446473849178,2000.0,20.85535261508221,0.0,"{""B"":1782.2736735892618,""A"":196.87097379565603}","{""B"":1782.2736735892618,""A"":217.72632641073824}","{""B"":3,""A"":13}",98.95723236924589,0.0,True
10,1977.7047031157504,2000.0,22.295296884249638,0.0,"{""B"":1782.3827739310586,""A"":195.32192918469173}","{""B"":1782.3827739310586,""A"":217.61722606894136}","{""B"":3,""A"":13}",98.88523515578753,0.0,True
11,1982.1940020730904,2000.0,17.80599792690964,0.0,"{""B"":1782.1729655814493,""A"":200.0210364916411}","{""B"":1782.1729655814493,""A"":217.82703441855074}","{""B"":3,""A"":14}",99.10970010365452,0.0,True
12,1976.7555596404409,2000.0,23.24444035955912,0.0,"{""B"":1782.2526927543008,""A"":194.50286688614005}","{""B"":1782.2526927543008,""A"":217.74730724569918}","{""B"":3,""A"":13}",98.83777798202205,0.0,True
13,1976.5835167937612,2000.0,23.41648320623881,0.0,"{""B"":1782.3995585990274,""A"":194.1839581947338}","{""B"":1782.3995585990274,""A"":217.6004414009726}","{""B"":3,""A"":13}",98.82917583968806,0.0,True
14,1975.801561007292,2000.0,24.198438992707906,0.0,"{""B"":1783.553504521879,""A"":192.24805648541314}","{""B"":1783.553504521879,""A"":216.44649547812105}","{""B"":3,""A"":13}",98.79007805036461,0.0,True
15,1975.9400345180343,2000.0,24.05996548196572,0.0,"{""B"":1783.5577006888711,""A"":192.38233382916314}","{""B"":1783.5577006888711,""A"":216.44229931112886}","{""B"":3,""A"":13}",98.79700172590172,0.0,True
16,1922.919068687739,2000.0,77.0809313122611,0.0,"{""B"":1709.3267824178606,""A"":213.5922862698783}","{""B"":1720.8304643511183,""A"":279.1695356488817}","{""A"":14,""B"":3}",96.14595343438694,0.0,True
17,1922.3693708117623,2000.0,77.63062918823766,0.0,"{""B"":1708.7183382039934,""A"":213.6510326077689}","{""B"":1720.6961870073683,""A"":279.3038129926317}","{""A"":14,""B"":3}",96.11846854058811,0.0,True
18,1922.3750357046767,2000.0,77.62496429532325,0.0,"{""B"":1708.7015535360247,""A"":213.67348216865207}","{""B"":1720.691990840376,""A"":279.3080091596239}","{""A"":14,""B"":3}",96.11875178523384,0.0,True
19,1922.8827719107314,2000.0,77.11722808926856,0.0,"{""B"":1709.1631319051653,""A"":213.71964000556613}","{""B"":1720.8094835161573,""A"":279.19051648384266}","{""A"":14,""B"":3}",96.14413859553657,0.0,True
20,1922.3246817007705,2000.0,77.6753182992295,0.0,"{""B"":1708.5462953573137,""A"":213.77838634345676}","{""B"":1720.6164598345167,""A"":279.3835401654833}","{""A"":14,""B"":3}",96.11623408503853,0.0,True
21,1922.2281698599502,2000.0,77.77183014004981,0.0,"{""B"":1708.3994295125872,""A"":213.828740347363}","{""B"":1720.5199479936964,""A"":279.4800520063036}","{""A"":14,""B"":3}",96.11140849299751,0.0,True
22,1922.270131529872,2000.0,77.72986847012794,0.0,"{""B"":1708.349075508681,""A"":213.92105602119113}","{""B"":1720.4947709917433,""A"":279.5052290082567}","{""A"":14,""B"":3}",96.1135065764936,0.0,True
