npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
23,False,23000036,7,A,23000037,0,B,155.25:4096,10.25:256,B,2277.6868199747173,2291.7558286661238,1.9149208743596717,93.15531959632574,14.069008691406452,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.06781005859375,0.0703277587890625,0.0649566650390625]","[2.366604496427511,2.454256514813715,2.191300459655103]","[35.41141542802646,36.72619570381952,33.921331115460994]","[4.8198178052991985,4.99877143668407,4.617003689729678]","complete-cycle volume conservation, not independently logged SSD rates",2277.6868199747173,2291.7558286661238,,False,2279.601740849077,14.069008691406452,12.15408781704673,12.15408781704673,0.0,13.610915426680574,56.26220703125,False,A,B
6,False,6000037,7,A,6000038,0,B,155.25:4096,10.25:256,B,3019.9090829264424,3033.9724267249344,1.9149208743596717,93.15531959632574,14.063343798492042,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.191300459655103,2.454256514813715,2.366604496427511]","[33.395419005143765,36.72619570381952,35.93732753834369]","[4.547253190794821,5.000785005099816,4.893369575396002]","complete-cycle volume conservation, not independently logged SSD rates",3019.9090829264424,3033.9724267249344,,False,3021.824003800802,14.063343798492042,12.14842292413232,12.14842292413232,0.0,13.616398075719383,56.26220703125,False,A,B
22,False,22000036,7,A,22000037,0,B,155.25:4096,10.25:256,B,2277.590308133897,2291.650924491319,1.9149208743596717,93.15531959632574,14.060616357422077,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.0679779052734375,0.0703277587890625,0.064788818359375]","[2.454256514813715,2.454256514813715,2.1036484412688985]","[35.49906744641267,36.72619570381952,33.833679097074786]","[4.8346319638793425,5.001755044112208,4.607822069277595]","complete-cycle volume conservation, not independently logged SSD rates",2277.590308133897,2291.650924491319,,False,2279.5052290082567,14.060616357422077,12.145695483062354,12.145695483062354,0.0,13.619039348505202,56.26220703125,False,A,B
7,False,7000037,7,A,7000038,0,B,155.25:4096,10.25:256,B,3019.8629250895283,3033.922072721028,1.9149208743596717,93.15531959632574,14.059147631499854,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.191300459655103,2.454256514813715,2.366604496427511]","[33.395419005143765,36.72619570381952,35.93732753834369]","[4.5486103878486155,5.002277565639291,4.8948300761625525]","complete-cycle volume conservation, not independently logged SSD rates",3019.8629250895283,3033.922072721028,,False,3021.777845963888,14.059147631499854,12.144226757140132,12.144226757140132,0.0,13.620462097355361,56.26220703125,False,A,B
21,False,21000036,7,A,21000037,0,B,155.25:4096,10.25:256,B,2277.565131131944,2291.600570487413,1.9149208743596717,93.15531959632574,14.035439355468952,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0656280517578125,0.0703277587890625,0.067138671875]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[34.271939189005806,36.72619570381952,35.060807354481646]","[4.675881537847287,5.010727274572924,4.783510524651956]","complete-cycle volume conservation, not independently logged SSD rates",2277.565131131944,2291.600570487413,,False,2279.4800520063036,14.035439355468952,12.12051848110923,12.12051848110923,0.0,13.643469405277411,56.26220703125,False,A,B
20,False,20000036,7,A,20000037,0,B,155.25:4096,10.25:256,B,2277.4686192911236,2291.4537046426863,1.9149208743596717,93.15531959632574,13.985085351562702,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0689849853515625,0.0703277587890625,0.06378173828125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[36.02497955672989,36.72619570381952,33.307766986757564]","[4.932753974494269,5.028768650396834,4.560697105371831]","complete-cycle volume conservation, not independently logged SSD rates",2277.4686192911236,2291.4537046426863,,False,2279.3835401654833,13.985085351562702,12.07016447720298,12.07016447720298,0.0,13.692593403769946,56.26220703125,False,A,B
18,False,18000036,7,A,18000037,0,B,155.25:4096,10.25:256,B,2277.393088285264,2291.2984464639753,1.9149208743596717,93.15531959632574,13.90535817871114,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0649566650390625,0.0703277587890625,0.06781005859375]","[2.366604496427511,2.454256514813715,2.191300459655103]","[33.921331115460994,36.72619570381952,35.41141542802646]","[4.671340659064073,5.057601385394953,4.876541669927353]","complete-cycle volume conservation, not independently logged SSD rates",2277.393088285264,2291.2984464639753,,False,2279.308009159624,13.90535817871114,11.990437304351417,11.990437304351417,0.0,13.771100677517117,56.26220703125,False,A,B
17,False,17000036,7,A,17000037,0,B,155.25:4096,10.25:256,B,2277.388892118272,2291.2816617960066,1.9149208743596717,93.15531959632574,13.892769677734577,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0683135986328125,0.0703277587890625,0.064453125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[35.67437148318508,36.72619570381952,33.658375060302376]","[4.917205151849322,5.062184173525469,4.639328693636706]","complete-cycle volume conservation, not independently logged SSD rates",2277.388892118272,2291.2816617960066,,False,2279.3038129926317,13.892769677734577,11.977848803374854,11.977848803374854,0.0,13.783578931914805,56.26220703125,False,A,B
5,False,5000037,7,A,5000038,0,B,155.25:4096,10.25:256,B,3019.1984619788404,3033.0240929847,1.9149208743596717,93.15531959632574,13.825631005859577,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.064117431640625,0.0703277587890625,0.0686492919921875]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[33.48307102352997,36.72619570381952,35.84967551995748]","[4.63757723704985,5.086766655298134,4.965364109825625]","complete-cycle volume conservation, not independently logged SSD rates",3019.1984619788404,3033.0240929847,,False,3021.1133828532,13.825631005859577,11.910710131499854,11.910710131499854,0.0,13.850513394637034,56.26220703125,False,A,B
4,False,4000037,7,A,4000038,0,B,155.25:4096,10.25:256,B,3019.1355194739576,3032.9191888098953,1.9149208743596717,93.15531959632574,13.783669335937702,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0642852783203125,0.0703277587890625,0.0684814453125]","[2.191300459655103,2.454256514813715,2.366604496427511]","[33.570723041916175,36.72619570381952,35.76202350157128]","[4.663872641859133,5.102252315767564,4.96830297096221]","complete-cycle volume conservation, not independently logged SSD rates",3019.1355194739576,3032.9191888098953,,False,3021.0504403483174,13.783669335937702,11.86874846157798,11.86874846157798,0.0,13.892678558146793,56.26220703125,False,A,B
