npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
24,False,24000038,7,A,24000039,0,B,155.25:4096,10.25:256,B,3580.3607989199895,3600.1186515374443,1.9149208743596717,93.15531959632574,19.757852617454773,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0631103515625,0.0703277587890625,0.0696563720703125]","[2.191300459655103,2.454256514813715,2.366604496427511]","[32.957158913212744,36.72619570381952,36.37558763027471]","[3.1941908255123903,3.559483925238541,3.5255031717756435]","complete-cycle volume conservation, not independently logged SSD rates",3580.3607989199895,3600.1186515374443,,False,3582.2757197943492,19.757852617454773,17.84293174309505,17.84293174309505,0.0,9.691948368255181,56.26220703125,False,A,B
27,False,27000038,7,A,27000039,0,B,155.25:4096,10.25:256,B,3579.9411822207708,3598.654189257171,1.9149208743596717,93.15531959632574,18.713007036400086,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.06781005859375,0.0703277587890625,0.0649566650390625]","[2.454256514813715,2.454256514813715,2.1036484412688985]","[35.41141542802646,36.72619570381952,33.921331115460994]","[3.6236858385104824,3.7582286295442873,3.47120400867217]","complete-cycle volume conservation, not independently logged SSD rates",3579.9411822207708,3598.654189257171,,False,3581.8561030951305,18.713007036400086,16.798086162040363,16.798086162040363,0.0,10.233100808623725,56.26220703125,False,A,B
29,False,29000038,7,A,29000039,0,B,155.25:4096,10.25:256,B,3579.9369860537786,3598.4024192376396,1.9149208743596717,93.15531959632574,18.465433183861023,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0636138916015625,0.0703277587890625,0.06915283203125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[33.220114968371355,36.72619570381952,36.1126315751161]","[3.445025684919306,3.8086167862300506,3.7449883435006703]","complete-cycle volume conservation, not independently logged SSD rates",3579.9369860537786,3598.4024192376396,,False,3581.8519069281383,18.465433183861023,16.5505123095013,16.5505123095013,0.0,10.370300308109382,56.26220703125,False,A,B
5,False,5000037,7,A,5000038,0,B,155.25:4096,10.25:256,B,2830.8846198648316,2845.5689963781674,1.9149208743596717,93.15531959632574,14.684376513335792,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.064117431640625,0.0703277587890625,0.0686492919921875]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[33.48307102352997,36.72619570381952,35.84967551995748]","[4.366370719410251,4.789291443541611,4.6749885451277295]","complete-cycle volume conservation, not independently logged SSD rates",2830.8846198648316,2845.5689963781674,,False,2832.7995407391913,14.684376513335792,12.76945563897607,12.76945563897607,0.0,13.040532382294975,56.26220703125,False,A,B
17,False,17000036,7,A,17000037,0,B,155.25:4096,10.25:256,B,2087.4188222527173,2100.979365245545,1.9149208743596717,93.15531959632574,13.560542992827777,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0683135986328125,0.0703277587890625,0.064453125]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[35.67437148318508,36.72619570381952,33.658375060302376]","[5.037674278157137,5.186205215105259,4.752989982339904]","complete-cycle volume conservation, not independently logged SSD rates",2087.4188222527173,2100.979365245545,,False,2089.333743127077,13.560542992827777,11.645622118468054,11.645622118468054,0.0,14.12126988847335,56.26220703125,False,A,B
25,False,25000038,7,A,25000039,0,B,155.25:4096,10.25:256,B,3579.190068329169,3591.7077544183035,1.9149208743596717,93.15531959632574,12.517686089134259,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0626068115234375,0.0703277587890625,0.070159912109375]","[2.191300459655103,2.454256514813715,2.366604496427511]","[32.69420285805413,36.72619570381952,36.63854368543332]","[5.001468408588882,5.618271483106545,5.604862720617031]","complete-cycle volume conservation, not independently logged SSD rates",3579.190068329169,3591.7077544183035,,False,3581.104989203529,12.517686089134259,10.602765214774536,10.602765214774536,0.0,15.297722444261344,56.26220703125,False,A,B
21,False,21000036,7,A,21000037,0,B,155.25:4096,10.25:256,B,2087.229576066019,2099.32775391742,1.9149208743596717,93.15531959632574,12.098177851401033,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0656280517578125,0.0703277587890625,0.067138671875]","[2.1036484412688985,2.454256514813715,2.454256514813715]","[34.271939189005806,36.72619570381952,35.060807354481646]","[5.424622828652864,5.813086867533376,5.5494862697216]","complete-cycle volume conservation, not independently logged SSD rates",2087.229576066019,2099.32775391742,,False,2089.1444969403788,12.098177851401033,10.18325697704131,10.18325697704131,0.0,15.828175927649417,56.26220703125,False,A,B
4,False,4000037,7,A,4000038,0,B,155.25:4096,10.25:256,B,2829.822989615808,2841.188298038324,1.9149208743596717,93.15531959632574,11.365308422515682,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0642852783203125,0.0703277587890625,0.0684814453125]","[2.191300459655103,2.454256514813715,2.366604496427511]","[33.570723041916175,36.72619570381952,35.76202350157128]","[5.656272221610605,6.187932273772438,6.025480591167433]","complete-cycle volume conservation, not independently logged SSD rates",2829.822989615808,2841.188298038324,,False,2831.737910490168,11.365308422515682,9.450387548155959,9.450387548155959,0.0,16.848824538417663,56.26220703125,False,A,B
31,False,31000038,7,A,31000039,0,B,155.25:4096,10.25:256,B,3578.7075091250676,3589.8757079095144,1.9149208743596717,93.15531959632574,11.168198784446759,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.064453125,0.0703277587890625,0.0683135986328125]","[2.191300459655103,2.454256514813715,2.366604496427511]","[33.658375060302376,36.72619570381952,35.67437148318508]","[5.771129816363922,6.297144252751258,6.116796445989886]","complete-cycle volume conservation, not independently logged SSD rates",3578.7075091250676,3589.8757079095144,,False,3580.6224299994274,11.168198784446759,9.253277910087036,9.253277910087036,0.0,17.14619260741007,56.26220703125,False,A,B
3,False,3000037,7,A,3000038,0,B,155.25:4096,10.25:256,B,2830.7251655191285,2841.6749534094174,1.9149208743596717,93.15531959632574,10.949787890288917,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0639495849609375,0.0703277587890625,0.068817138671875]","[2.191300459655103,2.454256514813715,2.366604496427511]","[33.395419005143765,36.72619570381952,35.93732753834369]","[5.840257875465581,6.42275078692934,6.2847919394773974]","complete-cycle volume conservation, not independently logged SSD rates",2830.7251655191285,2841.6749534094174,,False,2832.640086393488,10.949787890288917,9.034867015929194,9.034867015929194,0.0,17.488200625858383,56.26220703125,False,A,B
